S.No.,State Code,State Name,District Code,District Name,Sub-district Code,Sub-district Version,Sub-district Name,Census 2001 Code,Census 2011 Code
305,28,Andhra Pradesh,744,Anakapalli,4878,3,Atchuthapuram,38,4878
306,6,Haryana,69,Mahendragarh,6457,1,Ateli,0,0
307,23,Madhya Pradesh,395,Bhind,3391,2,Ater,1,3391
308,18,Assam,285,Dhubri,7116,13,Athani,0,0
309,21,Odisha,350,Cuttack,2950,5,Athgarh,12,2950
310,13,Nagaland,613,Peren,1853,1,Athibung,9,1853
311,36,Telangana,686,Hanumakonda,4694,4,Athmakur,23,4694
312,10,Bihar,212,Patna,1415,1,Athmalgola,18,1415
313,21,Odisha,344,Angul,3017,5,Athmallik,20,3017
314,23,Madhya Pradesh,394,Betul,3599,1,Athner,0,3599
315,29,Karnataka,527,Belagavi,5434,4,Athni,2,5434
316,1,Jammu And Kashmir,620,Kishtwar,71,5,Atholi (Paddar),4,71
317,33,Tamil Nadu,572,Dindigul,5994,1,Athoor,0,0
318,28,Andhra Pradesh,749,Ntr,4998,3,Atlapragada Konduru,9,4998
319,28,Andhra Pradesh,504,Y.S.R. Kadapa,5227,1,Atlur,29,5227
320,28,Andhra Pradesh,755,Nandyal,5265,2,Atmakur,16,5265
321,28,Andhra Pradesh,502,Ananthapuramu,5322,1,Atmakur,19,5322
322,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,5164,1,Atmakur,12,5164
323,36,Telangana,693,Wanaparthy,4592,5,Atmakur,44,4592
324,36,Telangana,697,Yadadri Bhuvanagiri,4626,3,Atmakur (M),14,4626
325,36,Telangana,696,Suryapet,4622,2,Atmakur (S),10,4622
326,13,Nagaland,251,Zunheboto,1773,1,Atoizu,7,1773
327,27,Maharashtra,493,Sangli,4300,1,Atpadi,5,4300
328,9,Uttar Pradesh,119,Aligarh,754,2,Atrauli,3,754
329,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4919,2,Atreyapuram,35,4919
330,10,Bihar,196,Gaya,1493,1,Atri,7,1493
331,8,Rajasthan,89,Baran,673,2,Atru,4,673
332,21,Odisha,347,Bargarh,2769,1,Attabira,14,2769
333,28,Andhra Pradesh,523,West Godavari,4973,1,Attili,30,4973
334,33,Tamil Nadu,584,Salem,5743,3,Attur,8,5743
335,27,Maharashtra,477,Hingoli,4113,1,Aundha (Nagnath),3,4113
336,22,Chhattisgarh,761,Mohla-Manpur-Ambagarh Chouki,7278,3,Aundhi,0,0
337,29,Karnataka,529,Bidar,5456,9,Aurad,3,5456
338,9,Uttar Pradesh,179,Bhadohi,999,8,Aurai,1,999
339,10,Bihar,208,Muzaffarpur,1207,1,Aurai,9,1207
340,9,Uttar Pradesh,122,Auraiya,842,4,Auraiya,2,842
341,10,Bihar,189,Aurangabad,1481,1,Aurangabad,6,1481
342,27,Maharashtra,481,Latur,4232,2,Ausa,7,4232
343,19,West Bengal,306,Purba Bardhaman,2277,1,Ausgram - I,10,2277
344,19,West Bengal,306,Purba Bardhaman,2276,1,Ausgram - II,9,2276
345,2,Himachal Pradesh,22,Mandi,134,7,Aut,11,134
346,33,Tamil Nadu,589,Thiruvallur,6621,1,Avadi,0,0
347,28,Andhra Pradesh,510,Krishna,5037,1,Avanigadda,48,5037
348,23,Madhya Pradesh,430,Shajapur,6510,2,Avantipur Barodia,0,0
349,33,Tamil Nadu,634,Tiruppur,5903,2,Avinashi,2,5903
350,33,Tamil Nadu,582,Pudukkottai,5828,1,Avudayarkoil,9,5828
351,1,Jammu And Kashmir,11,Pulwama,49,9,Awantipora,1,49
