entity_id,time,product,value,source_id
assam,2022,diesel-hsd,1327.5294485535078,src-cba8334fedc5
assam,2022,kerosene,10.670526536964953,src-cba8334fedc5
assam,2022,lpg,509.3977180000008,src-cba8334fedc5
assam,2022,naphtha,217.482166,src-cba8334fedc5
assam,2022,others,44.748291792262265,src-cba8334fedc5
assam,2022,petrol,611.2136631246084,src-cba8334fedc5
assam,2022,petroleum-coke,184.03231000000002,src-cba8334fedc5
assam,2023,diesel-hsd,1312.1991882472048,src-cba8334fedc5
assam,2023,kerosene,8.812208544747065,src-cba8334fedc5
assam,2023,lpg,536.1690585120009,src-cba8334fedc5
assam,2023,naphtha,260.11726300000004,src-cba8334fedc5
assam,2023,others,37.904056054789734,src-cba8334fedc5
assam,2023,petrol,668.1388142277524,src-cba8334fedc5
assam,2023,petroleum-coke,158.57202,src-cba8334fedc5
assam,2024,diesel-hsd,1278,src-cba8334fedc5
assam,2024,kerosene,4.7,src-cba8334fedc5
assam,2024,lpg,614.5,src-cba8334fedc5
assam,2024,naphtha,306.7,src-cba8334fedc5
assam,2024,petrol,720.1,src-cba8334fedc5
assam,2024,petroleum-coke,158.8,src-cba8334fedc5
bihar,2010,diesel-hsd,1854,src-cba8334fedc5
bihar,2010,kerosene,638,src-cba8334fedc5
bihar,2010,lpg,370,src-cba8334fedc5
bihar,2010,others,195,src-cba8334fedc5
bihar,2010,petrol,271,src-cba8334fedc5
bihar,2011,diesel-hsd,1951,src-cba8334fedc5
bihar,2011,kerosene,635,src-cba8334fedc5
bihar,2011,lpg,441,src-cba8334fedc5
bihar,2011,others,171,src-cba8334fedc5
bihar,2011,petrol,297,src-cba8334fedc5
bihar,2012,diesel-hsd,2030,src-cba8334fedc5
bihar,2012,kerosene,634,src-cba8334fedc5
bihar,2012,lpg,474,src-cba8334fedc5
bihar,2012,others,133,src-cba8334fedc5
bihar,2012,petrol,322,src-cba8334fedc5
bihar,2013,diesel-hsd,2024,src-cba8334fedc5
bihar,2013,kerosene,627,src-cba8334fedc5
bihar,2013,lpg,553,src-cba8334fedc5
bihar,2013,others,146,src-cba8334fedc5
bihar,2013,petrol,375,src-cba8334fedc5
bihar,2014,diesel-hsd,1980.6,src-cba8334fedc5
bihar,2014,kerosene,626,src-cba8334fedc5
bihar,2014,lpg,665.9,src-cba8334fedc5
bihar,2014,others,172,src-cba8334fedc5
bihar,2014,petrol,432,src-cba8334fedc5
bihar,2015,diesel-hsd,2254.8,src-cba8334fedc5
bihar,2015,kerosene,619,src-cba8334fedc5
bihar,2015,lpg,768.9,src-cba8334fedc5
bihar,2015,others,165,src-cba8334fedc5
bihar,2015,petrol,545,src-cba8334fedc5
bihar,2016,diesel-hsd,2183.998,src-cba8334fedc5
bihar,2016,kerosene,549.0395900000002,src-cba8334fedc5
bihar,2016,lpg,943.93,src-cba8334fedc5
bihar,2016,others,8.595,src-cba8334fedc5
bihar,2016,petrol,610.14,src-cba8334fedc5
bihar,2016,petroleum-coke,168.046,src-cba8334fedc5
bihar,2017,diesel-hsd,2278.4,src-cba8334fedc5
bihar,2017,kerosene,381.69,src-cba8334fedc5
bihar,2017,lpg,1127.6,src-cba8334fedc5
bihar,2017,others,5.368,src-cba8334fedc5
bihar,2017,petrol,697.03,src-cba8334fedc5
bihar,2017,petroleum-coke,188.6,src-cba8334fedc5
bihar,2018,diesel-hsd,2441.78,src-cba8334fedc5
bihar,2018,kerosene,256.592,src-cba8334fedc5
bihar,2018,lpg,1234.835,src-cba8334fedc5
bihar,2018,others,6.354,src-cba8334fedc5
bihar,2018,petrol,793.003,src-cba8334fedc5
bihar,2018,petroleum-coke,188.573,src-cba8334fedc5
bihar,2019,diesel-hsd,2366.717,src-cba8334fedc5
bihar,2019,kerosene,189.935,src-cba8334fedc5
bihar,2019,lpg,1404.387,src-cba8334fedc5
bihar,2019,others,5.650807969999999,src-cba8334fedc5
bihar,2019,petrol,852.051594168503,src-cba8334fedc5
bihar,2019,petroleum-coke,194.41858000000002,src-cba8334fedc5
bihar,2020,diesel-hsd,2136.6,src-cba8334fedc5
bihar,2020,kerosene,165.4,src-cba8334fedc5
bihar,2020,lpg,1642.9933540800107,src-cba8334fedc5
bihar,2020,others,5.7019541290322575,src-cba8334fedc5
bihar,2020,petrol,848.9,src-cba8334fedc5
bihar,2020,petroleum-coke,198.03688999999994,src-cba8334fedc5
bihar,2021,diesel-hsd,2055.1456471049405,src-cba8334fedc5
bihar,2021,kerosene,132.18429929182835,src-cba8334fedc5
bihar,2021,lpg,1624.9763297399993,src-cba8334fedc5
bihar,2021,others,4.968648999999999,src-cba8334fedc5
bihar,2021,petrol,926.6854533517591,src-cba8334fedc5
bihar,2021,petroleum-coke,155.01899999999998,src-cba8334fedc5
bihar,2022,diesel-hsd,2398.44577551725,src-cba8334fedc5
bihar,2022,kerosene,37.735013377431855,src-cba8334fedc5
bihar,2022,lpg,1528.3411805199987,src-cba8334fedc5
bihar,2022,others,7.6986979999999985,src-cba8334fedc5
bihar,2022,petrol,1034.2516683687422,src-cba8334fedc5
bihar,2022,petroleum-coke,185.18720000000002,src-cba8334fedc5
bihar,2023,diesel-hsd,2366.8596460658987,src-cba8334fedc5
bihar,2023,kerosene,19.343671673151732,src-cba8334fedc5
bihar,2023,lpg,1607.1991937850019,src-cba8334fedc5
bihar,2023,others,17.053507209999992,src-cba8334fedc5
bihar,2023,petrol,1081.6997675628238,src-cba8334fedc5
bihar,2023,petroleum-coke,240.10345,src-cba8334fedc5
bihar,2024,diesel-hsd,2445,src-cba8334fedc5
bihar,2024,kerosene,5.9,src-cba8334fedc5
bihar,2024,lpg,1736.5,src-cba8334fedc5
bihar,2024,petrol,1161.2,src-cba8334fedc5
bihar,2024,petroleum-coke,238.7,src-cba8334fedc5
chandigarh,2010,diesel-hsd,77,src-cba8334fedc5
chandigarh,2010,kerosene,7,src-cba8334fedc5
chandigarh,2010,lpg,43,src-cba8334fedc5
chandigarh,2010,others,9,src-cba8334fedc5
chandigarh,2010,petrol,91,src-cba8334fedc5
chandigarh,2011,diesel-hsd,73,src-cba8334fedc5
chandigarh,2011,kerosene,6,src-cba8334fedc5
chandigarh,2011,lpg,45,src-cba8334fedc5
chandigarh,2011,others,8,src-cba8334fedc5
chandigarh,2011,petrol,88,src-cba8334fedc5
chandigarh,2012,diesel-hsd,75,src-cba8334fedc5
chandigarh,2012,kerosene,3,src-cba8334fedc5
chandigarh,2012,lpg,42,src-cba8334fedc5
chandigarh,2012,others,2,src-cba8334fedc5
chandigarh,2012,petrol,83,src-cba8334fedc5
chandigarh,2013,diesel-hsd,71,src-cba8334fedc5
chandigarh,2013,kerosene,3,src-cba8334fedc5
chandigarh,2013,lpg,41,src-cba8334fedc5
chandigarh,2013,others,75,src-cba8334fedc5
chandigarh,2013,petrol,82,src-cba8334fedc5
chandigarh,2014,diesel-hsd,83,src-cba8334fedc5
chandigarh,2014,kerosene,2,src-cba8334fedc5
chandigarh,2014,lpg,42.3,src-cba8334fedc5
chandigarh,2014,others,97,src-cba8334fedc5
chandigarh,2014,petrol,85,src-cba8334fedc5
chandigarh,2015,diesel-hsd,115,src-cba8334fedc5
chandigarh,2015,kerosene,1,src-cba8334fedc5
chandigarh,2015,lpg,45.7,src-cba8334fedc5
chandigarh,2015,others,63,src-cba8334fedc5
chandigarh,2015,petrol,101,src-cba8334fedc5
chandigarh,2016,diesel-hsd,102.07113000000001,src-cba8334fedc5
chandigarh,2016,kerosene,0.06537,src-cba8334fedc5
