external_key,external_short,external_full,proposed_party_id,current_party_id,action,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,verdict,curator_note,curator_source_id
BSKP,BSKP,Bharatiya Sarvodaya Kranti Party,parties.IN.BSKP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BSP,BSP,Bahujan Samaj Party,parties.IN.BSP,parties.IN.BSP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
BSP-K,BSP-K,Bahujan Sangharsh Party (Kanshiram),parties.IN.BSP_K,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BSRCP,BSRCP,Badavara Shramikara Raitara Congress Party,parties.IN.BSRCP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BSRD,BSRD,Bharatiya Subhash Sena,parties.IN.BSRD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BVM,BVM,Bharat Vikas Morcha,parties.IN.BVM,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
BYS,BYS,Bharatiya Yuva Shakti,parties.IN.BYS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
CGVP,CGVP,Chhattisgarh Vikas Party,parties.IN.CGVP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
CPI,CPI,Communist Party Of India,parties.IN.CPI,parties.IN.CPI,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
CPI(M),CPI(M),Communist Party of India (Marxist),parties.IN.CPIM,parties.IN.CPIM,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
CSP,CSP,Chhattisgarhi Samaj Party,parties.IN.CSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
DABAP,DABAP,Dalita Bahujana Party,parties.IN.DABAP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
DKD,DKD,Dalit Kranti Dal,parties.IN.DKD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
DMK,DMK,Dravida Munetra Kazhagam,parties.IN.DMK,parties.IN.DMK,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
GARVI-GUJARAT-PARTY,GARVI-GUJARAT-PARTY,Garvi Gujarat Party,parties.IN.GARVI_GUJARAT_PARTY,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
HJCBL,HJCBL,Haryana Janhit Congress (BL),parties.IN.HJCBL,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
HLP,HLP,Himachal Lokhit Party,parties.IN.HLP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
HSP,HSP,Hindu Samaj Party,parties.IN.HSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
ICS,ICS,Indian Congress (Socialist),parties.IN.ICS,parties.IN.ICS,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
ICSP,ICSP,Indian Christian Secular Party,parties.IN.ICSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
IEMC,IEMC,Ittehad-E-Millait Council,parties.IN.IEMC,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
ILP-AP,ILP-AP,Indian Labour Party (Ambedkar Phule),parties.IN.ILP_AP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
INC,INC,Indian National Congress,parties.IN.INC,parties.IN.INC,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
INC(I),INC(I),Indian National Congress (I),parties.IN.INC_I,parties.IN.INC_I,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
INC(U),INC(U),Indian National Congress (U),parties.IN.INC_U,parties.IN.INC_U,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
INLD,INLD,Indian National Lok Dal,parties.IN.INLD,parties.IN.INLD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
IPBP,IPBP,India Praja Bandhu Party,parties.IN.IPBP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
IPGP,IPGP,Indian Peoples Green Party,parties.IN.IPGP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
IUC,IUC,Indian Unity Centre,parties.IN.IUC,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MUL,MUL,Muslim Leage,parties.IN.IUML,parties.IN.IUML,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
IVD,IVD,Inqalab Vikas Dal,parties.IN.IVD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JAJGP,JAJGP,Jana Jagruti Party,parties.IN.JAJGP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JBSP,JBSP,Jai Bharat Samanta Party,parties.IN.JBSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JD,JD,Janata Dal,parties.IN.JD,parties.IN.JD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JDP,JDP,Jharkhand Disom Party,parties.IN.JDP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JDR,JDR,Janta Dal Rashtravadi,parties.IN.JDR,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JD(S),JD(S),Janata Dal (Secular),parties.IN.JDS,parties.IN.JDS,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JD(U),JD(U),Janata Dal (United),parties.IN.JDU,parties.IN.JDU,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JGP,JGP,Jago Party,parties.IN.JGP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JKANC,JKANC,Jammu & Kashmir Awami National Conference,parties.IN.JKANC,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JKDPN,JKDPN,Jammu & Kashmir Democratic Party Nationalist,parties.IN.JKDPN,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JKM,JKM,Jawan Kisan Morcha,parties.IN.JKM,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JKN,JKN,Jammu & Kashmir National Conference,parties.IN.JKNC,parties.IN.JKNC,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JKP,JKP,All India Jharkhand Party,parties.IN.JKP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JKPDP,JKPDP,Jammu & Kashmir Peoples Democratic Party,parties.IN.JKPDP,parties.IN.JKPDP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JKPP,JKPP,Jharkhand People'S Party,parties.IN.JKPP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JKP-N,JKP-N,Jharkhand Party (Noren),parties.IN.JKP_N,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JMM,JMM,Jharkhand Mukti Morcha,parties.IN.JMM,parties.IN.JMM,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JNP(JP),JNP(JP),Janata Party (Jp),parties.IN.JNP_JP,parties.IN.JNP_JP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JNP(SC),JNP(SC),Janata Party (Secular) - Ch. Charan Singh,parties.IN.JNP_SC,parties.IN.JNP_SC,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
JNP,JNP,Janta Party,parties.IN.JP,parties.IN.JP,conflict,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,"IndiaVotes proposed an alias/mint that collided with a different canonical party_id (abbreviation-collision guard). Curator: investigate whether IndiaVotes's slug should mint under a different parties.IN.<SLUG> id, OR whether canonical already covers this party under a different short.",src-b9605aa5fcd1
JPC,JPC,Jammu & Kashmir People Conference,parties.IN.JPC,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JPJD,JPJD,Jai Prakash Janata Dal,parties.IN.JPJD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JPS,JPS,Jan Parishad,parties.IN.JPS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
JRJP,JRJP,Jagrook Janta Party,parties.IN.JRJP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
KEC,KEC,Kerala Congress,parties.IN.KEC,parties.IN.KEC,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
KJP,KJP,Karnataka Jantha Paksha,parties.IN.KJP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
KOKD,KOKD,Kosal Kranti Dal,parties.IN.KOKD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
KPJP,KPJP,Karnataka Pragnyavantha Janatha Party,parties.IN.KPJP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
KPPU,KPPU,Kamatapur People’s Party (United),parties.IN.KPPU,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
KARNATAKA-RASHTRA-SAMITHI,KARNATAKA-RASHTRA-SAMITHI,Karnataka Rashtra Samithi,parties.IN.KRS,parties.IN.KRS,alias-add,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
KS,KS,Kalinga Sena,parties.IN.KS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
LAD,LAD,Lok Awaz Dal,parties.IN.LAD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
LGJNPSCL,LGJNPSCL,Log Jan Party - Secular,parties.IN.LGJNPSCL,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
LIP,LIP,Lok Insaaf Party,parties.IN.LIP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
LJP,LJP,Lok Jan Shakti Party,parties.IN.LJP,parties.IN.LJP,conflict,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,"IndiaVotes proposed an alias/mint that collided with a different canonical party_id (abbreviation-collision guard). Curator: investigate whether IndiaVotes's slug should mint under a different parties.IN.<SLUG> id, OR whether canonical already covers this party under a different short.",src-b9605aa5fcd1
LOK-JANSHAKTI-PARTY-RAM-VILAS,LOK-JANSHAKTI-PARTY-RAM-VILAS,Lok Janshakti Party(Ram Vilas),parties.IN.LJPRV,parties.IN.LJPRV,alias-add,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
LKD,LKD,Lok Dal,parties.IN.LKD,parties.IN.LKD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
LOG-PARTY,LOG-PARTY,Log Party,parties.IN.LOG_PARTY,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
LSSP,LSSP,Loktantrik Sarvjan Samaj Party,parties.IN.LSSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
LTSD,LTSD,Loktantrik Samata Dal,parties.IN.LTSD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MADP,MADP,Moulik Adhikar Party,parties.IN.MADP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MAG,MAG,Maharashtrawadi Gomantak,parties.IN.MAG,parties.IN.MAG,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
MBCOI,MBCOI,Most Backward Classes Of India,parties.IN.MBCOI,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MCO,MCO,Marxist Coordination,parties.IN.MCO,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MCPI,MCPI,Marxist Communist Partyof India (Srivastava),parties.IN.MCPI,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MCPI-S,MCPI-S,Marxist Communist Party Of India (S.S.Srivastava),parties.IN.MCPI_S,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MD,MD,Mahan Dal,parties.IN.MD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
MNF,MNF,Mizo National Front,parties.IN.MNF,parties.IN.MNF,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
MSCP,MSCP,Manipur State Congress Party,parties.IN.MSCP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
NCP,NCP,Nationalist Congress Party,parties.IN.NCP,parties.IN.NCP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
NIP,NIP,New India Party,parties.IN.NIP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
NPF,NPF,Naga Peoples Front,parties.IN.NPF,parties.IN.NPF,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
NRCP,NRCP,Navarang Congress Party,parties.IN.NRCP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
NSAM,NSAM,Navjawan Sangharsh Morcha,parties.IN.NSAM,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PDCI,PDCI,People's Democratic Conference of India,parties.IN.PDCI,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PDF,PDF,Peoples Democratic Front,parties.IN.PDF,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PDS,PDS,Party for Democratic Socialism,parties.IN.PDS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PLC,PLC,Punjab Lok Congress Party,parties.IN.PLC,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PMK,PMK,Pattali Makkal Katchi,parties.IN.PMK,parties.IN.PMK,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
PMSP,PMSP,Pragtisheel Manav Samaj Party,parties.IN.PMSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PPOI,PPOI,Pyramid Party of India,parties.IN.PPOI,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PRAJA-VIJAY-PAKSH,PRAJA-VIJAY-PAKSH,Praja Vijay Paksh,parties.IN.PRAJA_VIJAY_PAKSH,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PRAP,PRAP,Praja Rajyam Party,parties.IN.PRAP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PRSHP,PRSHP,Praja Shanthi Party,parties.IN.PRSHP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PRSP,PRSP,Prajatantrik Samadhan Party,parties.IN.PRSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PSPL,PSPL,Pragatishil Samajwadi Party (Lohia),parties.IN.PSPL,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PSS,PSS,Pratap Shiv Sena,parties.IN.PSS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
PWP,PWP,Peasants & Workers Party,parties.IN.PWP,parties.IN.PWP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
QED,QED,Quami Ekta Dal,parties.IN.QED,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RADP,RADP,Rashtriya Alpsankhyak Dalit Party,parties.IN.RADP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RAHS,RAHS,Rashtriya Hindustan Sena Karnataka,parties.IN.RAHS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RARS,RARS,Rashtriya Arya Raj Sabha,parties.IN.RARS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RDHP,RDHP,Rajyadhikara Party,parties.IN.RDHP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RDMP,RDMP,Rashtriya Dehat Morcha Party,parties.IN.RDMP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RGOP,RGOP,Rashtriya Gondvana Party,parties.IN.RGOP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RJD,RJD,Rashtriya Janata Dal,parties.IN.RJD,parties.IN.RJD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
RJPK,RJPK,Rashtriya Janwadi Party (Krantikari),parties.IN.RJPK,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RJVP,RJVP,Rajasthan Vikash Party,parties.IN.RJVP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RLD,RLD,Rashtriya Lok Dal,parties.IN.RLD,parties.IN.RLD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
RLM,RLM,Rashtriya lokmanch,parties.IN.RLM,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RLNP,RLNP,Rashtriya Lok Nirman Party,parties.IN.RLNP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RPD,RPD,Rashtriya Parivartan Dal,parties.IN.RPD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RSBP,RSBP,Rashtriya Swabhimaan Party,parties.IN.RSBP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RSMD,RSMD,Rashtriya Samanta Dal,parties.IN.RSMD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RSOSP,RSOSP,Rashtriya Shoshit Samaj Party,parties.IN.RSOSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RSP,RSP,Revolutionary Socialist Party,parties.IN.RSP,parties.IN.RSP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
RSTJLKPS,RSTJLKPS,Rashtrawadi Janlok Party (Satya),parties.IN.RSTJLKPS,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RSWD,RSWD,Rashtra Sewa Dal,parties.IN.RSWD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RTKP,RTKP,Rashtriya Kranti Party,parties.IN.RTKP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
RVLP,RVLP,Rashtriya Viklang Party,parties.IN.RVLP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SAD,SAD,Shiromani Akali Dal,parties.IN.SAD,parties.IN.SAD,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
SAJP,SAJP,Samajwadi Janata Party(Karnataka),parties.IN.SAJP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SAP,SAP,Samata Party,parties.IN.SAMATA_PARTY,parties.IN.SAMATA_PARTY,alias-add,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
SAMO,SAMO,Samruddha Odisha,parties.IN.SAMO,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SDF,SDF,Sikkim Democratic Front,parties.IN.SDF,parties.IN.SDF,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
SGPP,SGPP,Sikkim Gorkha Prajatantric Party,parties.IN.SGPP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SHS,SHS,Shiv Sena,parties.IN.SHS,parties.IN.SHS,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
SJPA,SJPA,Sarva Janata Party,parties.IN.SJPA,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SKD,SKD,Sampooran Kranti Das,parties.IN.SKD,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SKLP,SKLP,Sarvajan Kalyan Loktantrik Party,parties.IN.SKLP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SKP,SKP,S.K. Paksha,parties.IN.SKP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SMBHP,SMBHP,Smast Bhartiya Party,parties.IN.SMBHP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SP,SP,Samajwadi Party,parties.IN.SP,parties.IN.SP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
SSP,SSP,Sikkim Sangram Parishad,parties.IN.SSP,parties.IN.SSP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
SUP,SUP,Surajya Party,parties.IN.SUP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
SWA,SWA,Swatantra,parties.IN.SWA,parties.IN.SWA,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
TDP,TDP,Telugu Desam,parties.IN.TDP,parties.IN.TDP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
TMC(M),TMC(M),Tamil Maanila Congress (Moopanar),parties.IN.TMC_M,parties.IN.TMC_M,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
TPLRSP,TPLRSP,The Plurals Party,parties.IN.TPLRSP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
TPPP,TPPP,Trilinga Praja Pragati Party,parties.IN.TPPP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
TVK,TVK,Tamilaga Vettri Kazhagam,parties.IN.TVK,parties.IN.TVK,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
UDP,UDP,United Democratic Party,parties.IN.UDP,parties.IN.UDP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
UGDP,UGDP,United Goans Democratic Party,parties.IN.UGDP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
UKDP,UKDP,Uttarakhand Kranti Dal(P),parties.IN.UKDP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
UPP,UPP,Uttarakhand Parivartan Party,parties.IN.UPP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
UTTAMA-PRAJAAKEEYA-PARTY,UTTAMA-PRAJAAKEEYA-PARTY,Uttama Prajaakeeya Party,parties.IN.UTTAMA_PRAJAAKEEYA_PARTY,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
VAJP,VAJP,Vanchit Jamat Party,parties.IN.VAJP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
VIP,VIP,Vanchitsamaj Insaaf Party,parties.IN.VIP,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
VOTERS-PARTY-INTERNATIONAL,VOTERS-PARTY-INTERNATIONAL,Voters Party International,parties.IN.VOTERS_PARTY_INTERNATIONAL,,mint-new,1,1,indiavotes-parties,,UNVERIFIED,,
YSRCP,YSRCP,Yuvajana Sramika Rythu Congress Party,parties.IN.YSRCP,parties.IN.YSRCP,match,2,2,indiavotes-parties|yen-gov-canonical,,VERIFIED,,
