election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenMay2016,U07,AC,11,Lawspet,30928,25883,83.69,5,ANBANANDAM. G,ADMK,,797,3.08,0,0,M,54,GEN
AcGenMay2016,U07,AC,11,Lawspet,30928,25883,83.69,6,NOTA,NOTA,,538,2.08,0,1,,,
AcGenMay2016,U07,AC,12,Kalapet,32009,28042,87.61,1,M.O.H.F. SHAHJAHAN,INC,,9839,35.09,1,0,M,52,GEN
AcGenMay2016,U07,AC,12,Kalapet,32009,28042,87.61,2,P.M.L. KALYANASUNDARAM,IND,,9205,32.83,0,0,M,38,GEN
AcGenMay2016,U07,AC,12,Kalapet,32009,28042,87.61,3,N. VISWANATHAN,AINRC,,3841,13.7,0,0,M,54,GEN
AcGenMay2016,U07,AC,12,Kalapet,32009,28042,87.61,4,V.C. EZHUMALAI@KASILINGAM,ADMK,,3694,13.17,0,0,M,58,GEN
AcGenMay2016,U07,AC,12,Kalapet,32009,28042,87.61,5,P. SELVARASSOU,PMK,,271,0.97,0,0,M,50,GEN
AcGenMay2016,U07,AC,12,Kalapet,32009,28042,87.61,6,NOTA,NOTA,,377,1.34,0,1,,,
AcGenMay2016,U07,AC,13,Muthialpet,28862,23609,81.8,1,VAIYAPURI MANIKANDAN,ADMK,,9257,39.21,1,0,M,35,GEN
AcGenMay2016,U07,AC,13,Muthialpet,28862,23609,81.8,2,J. PREGASH KUMAR,AINRC,,7093,30.04,0,0,M,34,GEN
AcGenMay2016,U07,AC,13,Muthialpet,28862,23609,81.8,3,S.P. SIVAKUMAR,DMK,,5268,22.31,0,0,M,56,GEN
AcGenMay2016,U07,AC,13,Muthialpet,28862,23609,81.8,4,T. SIVAKUMAR,BJP,,496,2.1,0,0,M,49,GEN
AcGenMay2016,U07,AC,13,Muthialpet,28862,23609,81.8,5,K. MURUGAN,CPI,,339,1.44,0,0,M,49,GEN
AcGenMay2016,U07,AC,13,Muthialpet,28862,23609,81.8,6,NOTA,NOTA,,549,2.33,0,1,,,
AcGenMay2016,U07,AC,14,Raj bhavan,25713,19997,77.77,1,K. LAKSHMINARAYANAN,INC,,9445,47.23,1,0,M,56,GEN
AcGenMay2016,U07,AC,14,Raj bhavan,25713,19997,77.77,2,P. KANNAN,ADMK,,7220,36.11,0,0,M,67,GEN
AcGenMay2016,U07,AC,14,Raj bhavan,25713,19997,77.77,3,A. ANNIBAL NEHRU,AINRC,,1517,7.59,0,0,M,50,GEN
AcGenMay2016,U07,AC,14,Raj bhavan,25713,19997,77.77,4,N. POUGAJENDY,BJP,,929,4.65,0,0,M,44,GEN
AcGenMay2016,U07,AC,14,Raj bhavan,25713,19997,77.77,5,R. VELAYUTHAM,NTK,,153,0.77,0,0,M,26,GEN
AcGenMay2016,U07,AC,14,Raj bhavan,25713,19997,77.77,6,NOTA,NOTA,,487,2.44,0,1,,,
AcGenMay2016,U07,AC,15,Oupalam,26895,23545,87.54,1,A. ANBALAGAN,ADMK,,9411,39.97,1,0,M,58,GEN
AcGenMay2016,U07,AC,15,Oupalam,26895,23545,87.54,2,ANNIBAL KENNEDY,DMK,,8503,36.11,0,0,M,51,GEN
AcGenMay2016,U07,AC,15,Oupalam,26895,23545,87.54,3,N. ANAND,AINRC,,4725,20.07,0,0,M,52,GEN
AcGenMay2016,U07,AC,15,Oupalam,26895,23545,87.54,4,SIVARAJ,BJP,,113,0.48,0,0,M,41,GEN
AcGenMay2016,U07,AC,15,Oupalam,26895,23545,87.54,5,S. KALA,NTK,,88,0.37,0,0,F,54,GEN
