event_id,state_code,scope,kind,polled_on,leading_party_id,seats_won,seats_contested,turnout_pct,runner_up_party_id,runner_up_seats,source_id
assembly-2004,S18,state,assembly,2004-04-26,parties.IN.BJD,61,147,66.0123,parties.IN.INC,38,src-0c1b8f274551
assembly-2004,S21,state,assembly,2004-05-10,parties.IN.SDF,27,28,78.9146,parties.IN.INC,1,src-0c1b8f274551
assembly-2005,S07,state,assembly,2005-02-03,parties.IN.INC,67,90,72.2734,parties.IN.IND,10,src-0c1b8f274551
assembly-2005,S27,state,assembly,2005-02-23,parties.IN.BJP,30,81,57.0117,parties.IN.JMM,17,src-0c1b8f274551
assembly-2005-feb,S04,state,assembly,2005-02-23,parties.IN.RJD,75,243,47.6969,parties.IN.JDU,55,src-0c1b8f274551
assembly-2005-nov,S04,state,assembly,2005-11-19,parties.IN.JDU,88,243,45.8756,parties.IN.BJP,55,src-0c1b8f274551
assembly-2006,S03,state,assembly,2006-04-10,parties.IN.INC,56,126,69.8756,parties.IN.AGP,23,src-0c1b8f274551
assembly-2006,S11,state,assembly,2006-05-03,parties.IN.CPIM,61,140,72.4013,parties.IN.INC,24,src-0c1b8f274551
assembly-2006,S22,state,assembly,2006-05-01,parties.IN.DMK,96,234,70.7891,parties.IN.AIADMK,61,src-0c1b8f274551
assembly-2006,S25,state,assembly,2006-05-08,parties.IN.CPIM,176,294,81.7888,parties.IN.AITC,30,src-0c1b8f274551
assembly-2006,U07,state,assembly,2006-05-08,parties.IN.INC,10,30,85.7252,parties.IN.DMK,7,src-0c1b8f274551
assembly-2007,S05,state,assembly,2007-06-02,parties.IN.INC,16,40,68.8534,parties.IN.BJP,14,src-0c1b8f274551
assembly-2007,S06,state,assembly,2007-12-01,parties.IN.BJP,116,182,58.7143,parties.IN.INC,59,src-0c1b8f274551
assembly-2007,S08,state,assembly,2007-12-19,parties.IN.BJP,41,68,71.5021,parties.IN.INC,23,src-0c1b8f274551
assembly-2007,S14,state,assembly,2007-02-23,parties.IN.INC,31,60,86.7936,parties.IN.IND,10,src-0c1b8f274551
