constituency_slug,constituency_name,district,category,voters_eligible,votes_polled,turnout_pct,nota_votes,winner_candidate,winner_party_abbreviation,winner_votes,runnerup_candidate,runnerup_party_abbreviation,runnerup_votes,margin_votes,margin_pct
mandalgarh,mandalgarh,BHILWARA,GEN,497468,196529,39.5059,3000,GOPAL LAL SHARMA,BJP,93119,VIVEK DHAKAR,INC,84925,8194,4.1694
mandawa,mandava,JHUNJHUNU,GEN,497094,184105,37.0363,1127,Kumari Rita Chaudhary,INC,98747,Narendra Kumar,BJP,80030,18717,10.1665
mandawar,Mandawar,,GEN,483228,182094,37.6828,744,Lalit Yadav,INC,105735,Manjeet Dharampal Choudhary,BJP,70111,35624,19.5635
manohar-thana,manoharthana,JHALAWAR,GEN,533010,222325,41.7112,3199,GOVIND PRASAD,BJP,85304,KAILASH CHAND,IND,60439,24865,11.1841
marwar-junction,marwar jacshan,PALI,GEN,589906,179696,30.4618,2597,KESARAM CHOUDHARY,BJP,99604,KHUSHVEER SINGH,INC,66583,33021,18.376
masuda,masuuda,AJMER,GEN,544568,198396,36.4318,1640,VIRENDRA SINGH,BJP,74266,RAKESH,INC,47550,26716,13.466
mavli,mawali,UDAIPUR,GEN,516120,201019,38.9481,2441,Pushkar Lal Dangi,INC,77696,Krishnagopal Paliwal,BJP,76129,1567,0.7795
merta,medta,NAGAUR,SC,573516,200091,34.8885,1939,LAXMAN RAM,BJP,77493,SHIVRATAN (CHIMAN VALMIKI),INC,59978,17515,8.7535
nadbai,nadbai,BHARATPUR,GEN,583794,206385,35.3524,570,JAGAT SINGH,BJP,103795,JOGINDER SINGH AWANA S/O GIRWAR SINGH,INC,88028,15767,7.6396
nagar,nagar,BHARATPUR,GEN,500294,200868,40.15,571,JAWAHARSINGH BEDHAM,BJP,75579,WAJIB ALI,INC,74048,1531,0.7622
nagaur,nagaur,NAGAUR,GEN,541448,186027,34.3573,2159,HARENDRA MIRDHA,INC,87110,JYOTI MIRDHA,BJP,72490,14620,7.8591
nasirabad,nasirabad,AJMER,GEN,466642,179938,38.5602,1392,RAMSWAROOP LAMBA,BJP,79364,SHIVPRAKASH GURJAR,INC,78229,1135,0.6308
nathdwara,nathdwara,RAJSAMAND,GEN,477154,186840,39.1572,2163,VISHVARAJ SINGH MEWAR,BJP,94950,C. P. JOSHI,INC,87446,7504,4.0163
nawalgarh,navalgadh,JHUNJHUNU,GEN,561230,206274,36.7539,1352,Vikram Singh Jakhal,BJP,112037,Dr. Rajkumar Sharma,INC,88857,23180,11.2375
nawan,naavaan,NAGAUR,GEN,538184,200736,37.2988,1364,VIJAY SINGH,BJP,106159,MAHENDRA CHOUDHARY,INC,82211,23948,11.9301
neem-ka-thana,Neem Ka Thana,,GEN,547936,196392,35.8421,1283,Suresh Modi,INC,105878,Prem Singh Bajor,BJP,72788,33090,16.849
nimbahera,nimbaheda,CHITTORGARH,GEN,552309,235065,42.5604,2485,SHRICHAND KRIPLANI,BJP,116640,ANJANA UDAYALAL,INC,112795,3845,1.6357
niwai,nivai,TONK,SC,569972,197413,34.6356,1972,RAM SAHAY VARMA (REGAR),BJP,92775,PRASHANT BAIRWA,INC,79834,12941,6.5553
nohar,nauhar,HANUMANGARH,GEN,562462,238068,42.3261,1690,AMIT CHACHAN,INC,103623,ABHISHEK MATORIA,BJP,102728,895,0.3759
nokha,nokha,BIKANER,GEN,565088,212355,37.5791,1753,SUSHILA RAMESHWAR DUDI,INC,83215,BIHARI LAL,BJP,75066,8149,3.8374
osian,osiyaan,JODHPUR,GEN,532534,207849,39.0302,1913,BHERA RAM CHOUDHARY (SIYOL),BJP,103746,DIVYA MADERNA,INC,100939,2807,1.3505
pachpadra,pachapadara,BARMER,GEN,505908,184411,36.4515,2209,ARUN CHOUDHARY,BJP,77997,MADAN PRAJAPAT,INC,75468,2529,1.3714
pali,paali,PALI,GEN,549296,187496,34.1339,1760,BHEEM RAJ BHATI,INC,95092,GYANCHAND PARAKH,BJP,87204,7888,4.207
parbatsar,parbatsar,NAGAUR,GEN,500858,195429,39.0188,1342,RAMNIWAS GAWRIYA,INC,91530,MANSINGH KINSARIYA,BJP,81214,10316,5.2786
phalodi,falaudi,JODHPUR,GEN,514974,176668,34.3062,1860,PABBA RAM BISHNOI,BJP,80243,PRAKASH CHANDRA CHHANGANI,INC,69459,10784,6.1041
phulera,phu lera,JAIPUR,GEN,525108,204784,38.9985,1220,VIDHYADHAR SINGH,INC,112244,NIRMAL KUMAWAT,BJP,85346,26898,13.1348
pilani,pilaani,JHUNJHUNU,SC,499126,171602,34.3805,1145,Pitram Singh Kala,INC,72835,Rajesh Kumar Dahia,BJP,57990,14845,8.6508
pilibanga,peelibanga,HANUMANGARH,SC,593990,245851,41.3898,1553,VINOD KUMAR,INC,143091,DHARMENDRA KUMAR,BJP,87818,55273,22.4823
pindwara-abu,pindwada abu,SIROHI,ST,456665,157558,34.5019,3666,SAMARAM,BJP,70647,Leelaram Grasiya,INC,57553,13094,8.3106
pipalda,piplda,KOTA,GEN,420034,161538,38.4583,1624,CHETAN PATEL KOLANA,INC,89281,PREMCHAND GOCHAR,BJP,68276,21005,13.0031
pokaran,pokaran,JAISALMER,GEN,449330,197940,44.0523,773,PRATAP PURI,BJP,112925,SHALE MOHMMAD,INC,77498,35427,17.8978
pratapgarh,pratapgarh,PRATAPGARH,ST,518138,216794,41.841,2128,HEMANT MEENA,BJP,87644,RAMLAL MEENA,INC,62535,25109,11.582
pushkar,pushkar,AJMER,GEN,503978,188740,37.45,882,Suresh Singh Rawat,BJP,84619,Naseem Akhtar,INC,70750,13869,7.3482
raisinghnagar,risinghnagar,GANGANAGAR,SC,537370,213133,39.6622,1522,SOHAN LAL NAYAK,INC,79586,BALVIR SINGH LUTHRA,BJP,65561,14025,6.5804
rajakhera,rajakheda,DHOLPUR,GEN,429842,165802,38.5728,1513,Rohit Bohra,INC,89120,Neerja Sharma,BJP,73563,15557,9.3829
rajgarh-laxmangarh,rajgadlakshmanagarh,ALWAR,ST,529686,185572,35.0343,426,MANGELAL MEENA,INC,93459,BANNA RAM MEENA,BJP,70892,22567,12.1608
rajsamand,rajsamand,RAJSAMAND,GEN,464368,174556,37.59,1238,DEEPTI KIRAN MAHESHWARI,BJP,94043,NARAYAN SINGH BHATI,INC,62081,31962,18.3105
ramganj-mandi,ramganj mandi,KOTA,SC,496112,193312,38.9654,2019,Madan Dilawar,BJP,103504,Mahendra Rajoriya,INC,85082,18422,9.5297
ramgarh,Ramgarh,ALWAR,GEN,543488,210464,38.7247,695,ZUBAIR KHAN,INC,93765,SUKHAVANT SINGH,ASPKR,74069,19696,9.3584
raniwara,ranivada,JALORE,GEN,543744,210900,38.7866,2685,RATAN DEVASI,INC,112681,NARAYAN SINGH DEWAL,BJP,90319,22362,10.6031
ratangarh,ratangarh,CHURU,GEN,557012,201792,36.2276,1943,POOSARAM GODARA,INC,109383,ABHINESH MAHARSHI,BJP,79720,29663,14.6998
reodar,re vadar,SIROHI,SC,567150,193207,34.0663,5178,MOTIRAM,INC,93120,JAGSI RAM,BJP,89556,3564,1.8447
sadulpur,sadulpur,CHURU,GEN,502148,194680,38.7694,860,MANOJ KUMAR S/O SWAI SINGH,BSP,64368,KRISHNA POONIA,INC,61794,2574,1.3222
sadulshahar,sadulshahar,GANGANAGAR,GEN,479416,196923,41.0756,1162,GURVEER SINGH,BJP,74433,OM BISHNOI,IND,58973,15460,7.8508
sagwara,sagawada,DUNGARPUR,ST,552090,202778,36.7292,3339,Shankarlal Decha,BJP,75175,Mohanlal Roat,BHRTADVSIP,63176,11999,5.9173
sahada,Sahada,,GEN,508526,188180,37.005,1591,LADU LAL PITLIYA,BJP,117203,RAJENDRA TRIVEDI,INC,54684,62519,33.223
salumber,salumbar,UDAIPUR,ST,590344,209617,35.5076,3702,Amritlal Meena,BJP,80086,Raghuvir Singh Meena,INC,65395,14691,7.0085
sanchore,sanchor,JALORE,GEN,630634,256037,40.5999,1940,JIVA RAM CHOUDHARY,IND,95518,SUKHRAM VISHNOI,INC,90847,4671,1.8243
sanganer,sanganer,JAIPUR,GEN,700515,247116,35.2763,1296,Bhajan Lal Sharma,BJP,145162,Pushpendra Bhardwaj,INC,97081,48081,19.4569
sangaria,sangariyaa,HANUMANGARH,GEN,492222,205713,41.7927,1765,ABHIMANYU,INC,98341,GURDEEP SINGH,BJP,56331,42010,20.4217
sangod,sagaud,KOTA,GEN,419838,166185,39.5831,1320,HEERALAL NAGAR,BJP,93435,BHANU PRATAP SINGH,INC,67849,25586,15.3961
sapotra,sapotara,KARAULI,ST,550008,196408,35.71,1634,HANSRAJ MEENA,BJP,111385,RAMESH CHAND MEENA,INC,67551,43834,22.3178
sardarpura,sardarpura,JODHPUR,GEN,515506,169688,32.9168,1222,ASHOK GEHLOT,INC,96859,PROFESSOR DR. MAHENDRA RATHORE,BJP,70463,26396,15.5556
sardarshahar,sardarshahar,CHURU,GEN,611650,234182,38.2869,1401,ANIL KUMAR SHARMA,INC,99582,RAJKARAN CHOUDHARY,IND,77250,22332,9.5362
sawai-madhopur,savaimadhopur,SAWAI MADHOPUR,GEN,513100,182658,35.5989,1470,KIRODI LAL,BJP,81087,DANISH ABRAR,INC,58577,22510,12.3236
shahpura,Shahpura,JAIPUR,GEN,469294,197995,42.19,1035,MANISH YADAV,INC,124072,ALOK BENIWAL,IND,59164,64908,32.7826
shahpura-2,shahpura,BHILWARA,GEN,505732,182155,36.0181,2326,LALARAM BAIRWA,BJP,100135,NARENDRA KUMAR REGAR,INC,40837,59298,32.5536
sheo,shiv,BARMER,GEN,601686,249762,41.5104,3120,RAVINDRA SINGH BHATI,IND,79495,FATEH KHAN,IND,75545,3950,1.5815
shergarh,shergarh,JODHPUR,GEN,551748,205574,37.2587,1553,BABU SINGH RATHOR,BJP,102868,MEENA KANWAR,INC,77824,25044,12.1825
sikar,sikar,SIKAR,GEN,581248,212846,36.6188,695,RAJENDRA PAREEK,INC,97161,RATANLAL JALDHARI,BJP,67123,30038,14.1126
