constituency_slug,constituency_name,district,category,candidate_slug,candidate_name,party_slug,party_abbreviation,votes,vote_share_pct,position,won
asind,asind,BHILWARA,GEN,c-ac-425200,Hagamilal Mewara,inc,INC,73060,33.2114,2,0
asind,asind,BHILWARA,GEN,c-ac-425197,DHANRAJ GURJAR,rlp-3,RLP,56904,25.8672,3,0
asind,asind,BHILWARA,GEN,c-ac-425206,Naru Lal Bhil,ind,IND,7676,3.4893,4,0
asind,asind,BHILWARA,GEN,c-ac-425198,Rana Khan,aap,AAP,1784,0.811,5,0
asind,asind,BHILWARA,GEN,c-ac-425207,SAMPAT LOHAR,ind,IND,1578,0.7173,6,0
asind,asind,BHILWARA,GEN,c-ac-425201,Paras Sahu,ipgp,IPGP,1142,0.5191,7,0
asind,asind,BHILWARA,GEN,c-ac-425205,Dinesh Meghwanshi,ind,IND,754,0.3428,8,0
asind,asind,BHILWARA,GEN,c-ac-425202,Radheshyam Vaishnav,apoi,APOI,719,0.3268,9,0
asind,asind,BHILWARA,GEN,c-ac-425204,Gopal Lal Khatik,ind,IND,716,0.3255,10,0
asind,asind,BHILWARA,GEN,c-ac-425199,Ram Dayal Regar,bsp-2,BSP,704,0.32,11,0
asind,asind,BHILWARA,GEN,c-ac-425203,Shivaraj,rtorp,RTORP,362,0.1646,12,0
aspur,aspur,DUNGARPUR,ST,c-ac-425212,Umesh Meena,bharat-adivasi-party,BHRTADVSIP,93742,47.4333,1,1
aspur,aspur,DUNGARPUR,ST,c-ac-425208,Gopichand,bjp,BJP,64802,32.7897,2,0
aspur,aspur,DUNGARPUR,ST,c-ac-425211,Rakesh Roat,inc,INC,31630,16.0047,3,0
aspur,aspur,DUNGARPUR,ST,c-ac-425210,Mukesh Kumar Ahari,aap,AAP,3043,1.5398,4,0
aspur,aspur,DUNGARPUR,ST,c-ac-425213,Mukesh,ind,IND,3011,1.5236,5,0
aspur,aspur,DUNGARPUR,ST,c-ac-425209,Dileep Kumar,bsp-2,BSP,1401,0.7089,6,0
bagidora,baghidaura,BANSWARA,ST,c-ac-425216,MAHENDRA JEET SINGH MALVIYA,inc,INC,101742,46.5543,1,1
bagidora,baghidaura,BANSWARA,ST,c-ac-425217,JAIKRISHN PATEL,bharat-adivasi-party,BHRTADVSIP,60387,27.6314,2,0
bagidora,baghidaura,BANSWARA,ST,c-ac-425214,KRISHNA KATARA,bjp,BJP,45140,20.6548,3,0
bagidora,baghidaura,BANSWARA,ST,c-ac-425218,BASANT LAL GARASIYA,btp,BTP,8517,3.8971,4,0
bagidora,baghidaura,BANSWARA,ST,c-ac-425215,PRAVIN,bsp-2,BSP,2759,1.2624,5,0
bagru,bagru,JAIPUR,SC,c-ac-425220,KAILASH CHAND VERMA,bjp,BJP,145170,57.0769,1,1
bagru,bagru,JAIPUR,SC,c-ac-425221,GANGA DEVI,inc,INC,99920,39.2858,2,0
bagru,bagru,JAIPUR,SC,c-ac-425222,TARACHAND RAIGAR,rlp-3,RLP,3732,1.4673,3,0
bagru,bagru,JAIPUR,SC,c-ac-425219,RITU SANWARIYA,aap,AAP,2194,0.8626,4,0
bagru,bagru,JAIPUR,SC,c-ac-425230,SOHAN LAL BAIRWA,ind,IND,944,0.3712,5,0
bagru,bagru,JAIPUR,SC,c-ac-425229,RAMESH KUMAR,ind,IND,925,0.3637,6,0
bagru,bagru,JAIPUR,SC,c-ac-425223,DR. BHAWANI SHANKER PIPLIWAL,bsp-2,BSP,470,0.1848,7,0
bagru,bagru,JAIPUR,SC,c-ac-425228,MADHULATA DEVI,ind,IND,325,0.1278,8,0
bagru,bagru,JAIPUR,SC,c-ac-425227,HARISH DABI,jjp-3,JJP,180,0.0708,9,0
bagru,bagru,JAIPUR,SC,c-ac-425226,RAVI VEDWAL,ppid,PPID,172,0.0676,10,0
bagru,bagru,JAIPUR,SC,c-ac-425224,AMIT KUMAR,rshtrjnts,RSHTRJNTS,158,0.0621,11,0
bagru,bagru,JAIPUR,SC,c-ac-425225,MEGHLAL KOLI,lok-janshakti-party-ram-vilas,LJP (RV),151,0.0594,12,0
bali,bali,PALI,GEN,c-ac-425231,PUSHPENDRA SINGH,bjp,BJP,107938,49.3147,1,1
bali,bali,PALI,GEN,c-ac-425232,BADRIRAM JAKHAR,inc,INC,97445,44.5206,2,0
bali,bali,PALI,GEN,c-ac-425233,LAL SINGH DEWASI,aap,AAP,5823,2.6604,3,0
bali,bali,PALI,GEN,c-ac-425238,SHAILESH KUMAR MOUSALPURIYA,aspkr,ASPKR,2735,1.2496,4,0
bali,bali,PALI,GEN,c-ac-425239,MOHIT SUTHAR,ind,IND,1828,0.8352,5,0
bali,bali,PALI,GEN,c-ac-425235,NENARAM,bharat-adivasi-party,BHRTADVSIP,1259,0.5752,6,0
bali,bali,PALI,GEN,c-ac-425237,MUNGLARAM,btp,BTP,805,0.3678,7,0
bali,bali,PALI,GEN,c-ac-425234,HEMANT KUMAR,bsp-2,BSP,589,0.2691,8,0
bali,bali,PALI,GEN,c-ac-425236,BABULAL,bhnkp,BHNKP,454,0.2074,9,0
bamanwas,bamanwaas,SAWAI MADHOPUR,ST,c-ac-425240,INDRA,inc,INC,80378,51.146,1,1
bamanwas,bamanwaas,SAWAI MADHOPUR,ST,c-ac-425242,RAJENDRA,bjp,BJP,72513,46.1414,2,0
bamanwas,bamanwaas,SAWAI MADHOPUR,ST,c-ac-425241,MANOJ KUMAR,bsp-2,BSP,1881,1.1969,3,0
bamanwas,bamanwaas,SAWAI MADHOPUR,ST,c-ac-425243,VIKAS,ind,IND,1750,1.1136,4,0
bamanwas,bamanwaas,SAWAI MADHOPUR,ST,c-ac-425244,SHYAM LAL MEENA,ind,IND,632,0.4022,5,0
bandi-bundi,Bundi,,GEN,c-ac-425458,HARIMOHAN SHARMA,inc,INC,100107,42.4855,1,1
bandi-bundi,Bundi,,GEN,c-ac-425455,ASHOK DOGRA,bjp,BJP,81293,34.5009,2,0
bandi-bundi,Bundi,,GEN,c-ac-425465,RUPESH SHARMA,ind,IND,39805,16.8933,3,0
bandi-bundi,Bundi,,GEN,c-ac-425462,PRAKASH CHAND BANJARA,ind,IND,3917,1.6624,4,0
bandi-bundi,Bundi,,GEN,c-ac-425460,LAXMAN LAL,aspkr,ASPKR,2272,0.9642,5,0
bandi-bundi,Bundi,,GEN,c-ac-425456,KISHAN LAL,aap,AAP,1924,0.8165,6,0
bandi-bundi,Bundi,,GEN,c-ac-425457,SITA MEENA,bsp-2,BSP,1344,0.5704,7,0
bandi-bundi,Bundi,,GEN,c-ac-425459,RAKESH GOSWAMI,alp,ALP,1336,0.567,8,0
bandi-bundi,Bundi,,GEN,c-ac-425466,SONAL MORALIYA,ind,IND,1233,0.5233,9,0
bandi-bundi,Bundi,,GEN,c-ac-425464,RADHESHYAM,ind,IND,995,0.4223,10,0
bandi-bundi,Bundi,,GEN,c-ac-425463,RAHIMUDDIN,ind,IND,766,0.3251,11,0
bandi-bundi,Bundi,,GEN,c-ac-425461,GIRRAJ SHARMA,ind,IND,634,0.2691,12,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425248,BHAGCHAND TANKDA,bjp,BJP,92067,51.5533,1,1
bandikui,bandiku i,DAUSA,GEN,c-ac-425245,GAJRAJ KHATANA,inc,INC,79687,44.6211,2,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425247,BHAWANI SINGH MALL,bsp-2,BSP,3308,1.8523,3,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425246,PANKAJ MUHI,rlp-3,RLP,1547,0.8662,4,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425249,AKASH GUPTA,ind,IND,620,0.3472,5,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425252,BHORILAL,ind,IND,387,0.2167,6,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425254,HAMIR SINGH ( GURUJI ),ind,IND,277,0.1551,7,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425251,JAMALUDDIN,ind,IND,266,0.1489,8,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425250,KAVITA SHARMA,ind,IND,235,0.1316,9,0
bandikui,bandiku i,DAUSA,GEN,c-ac-425253,RAJESH KUMAR MEENA,ind,IND,192,0.1075,10,0
bansur,bansoor,ALWAR,GEN,c-ac-425255,Devi Singh Shekhawat,bjp,BJP,61605,34.1485,1,1
bansur,bansoor,ALWAR,GEN,c-ac-425258,Rohitash Kumar,aspkr,ASPKR,54185,30.0355,2,0
bansur,bansoor,ALWAR,GEN,c-ac-425257,Shakuntala Rawat,inc,INC,45639,25.2984,3,0
bansur,bansoor,ALWAR,GEN,c-ac-425256,Mukesh,bsp-2,BSP,12580,6.9733,4,0
bansur,bansoor,ALWAR,GEN,c-ac-425259,Neeta Bai,ind,IND,6394,3.5443,5,0
banswara,banswada,BANSWARA,ST,c-ac-425260,ARJUN SINGH BAMANIYA,inc,INC,93017,41.1718,1,1
banswara,banswada,BANSWARA,ST,c-ac-425261,DHAN SINGH RAWAT,bjp,BJP,91617,40.5521,2,0
banswara,banswada,BANSWARA,ST,c-ac-425264,HEMANT RANA,bharat-adivasi-party,BHRTADVSIP,34666,15.3441,3,0
banswara,banswada,BANSWARA,ST,c-ac-425265,DHAN SINGH BHIL,ind,IND,3327,1.4726,4,0
banswara,banswada,BANSWARA,ST,c-ac-425262,PRAKASH,bsp-2,BSP,1910,0.8454,5,0
banswara,banswada,BANSWARA,ST,c-ac-425263,BHAGWATI LAL DINDOR,btp,BTP,1387,0.6139,6,0
baran-atru,Baran Atru,,SC,c-ac-425267,RADHEYSHYAM BAIRWA,bjp,BJP,101530,54.4426,1,1
baran-atru,Baran Atru,,SC,c-ac-425266,PANACHAND MEGHWAL,inc,INC,81776,43.8501,2,0
baran-atru,Baran Atru,,SC,c-ac-425268,SURESH KUMAR MANAV,bsp-2,BSP,978,0.5244,3,0
baran-atru,Baran Atru,,SC,c-ac-425269,ROOP SINGH JATAV,aspkr,ASPKR,972,0.5212,4,0
baran-atru,Baran Atru,,SC,c-ac-425271,SEEMA VERMA,ind,IND,765,0.4102,5,0
baran-atru,Baran Atru,,SC,c-ac-425270,VIMAL KUMAR MEGHWAL,ppid,PPID,469,0.2515,6,0
bari,baadi,DHOLPUR,GEN,c-ac-425274,JASWANT SINGH GURJAR,bsp-2,BSP,106060,52.8645,1,1
bari,baadi,DHOLPUR,GEN,c-ac-425273,"GIRRAJ SINGH ""MALINGA""",bjp,BJP,78636,39.1953,2,0
bari,baadi,DHOLPUR,GEN,c-ac-425275,PRASHANT SINGH PARMAR,inc,INC,11601,5.7824,3,0
bari,baadi,DHOLPUR,GEN,c-ac-425272,DR. AMAR SINGH KUSHWAH,aap,AAP,1148,0.5722,4,0
bari,baadi,DHOLPUR,GEN,c-ac-425280,SATISH,ind,IND,952,0.4745,5,0
bari,baadi,DHOLPUR,GEN,c-ac-425277,JASVANT SINGH,ind,IND,686,0.3419,6,0
bari,baadi,DHOLPUR,GEN,c-ac-425281,DR. SAKSHI SINGH,ind,IND,576,0.2871,7,0
bari,baadi,DHOLPUR,GEN,c-ac-425276,RAMBO KUMARI,rlp-3,RLP,429,0.2138,8,0
bari,baadi,DHOLPUR,GEN,c-ac-425279,LALLA BABU,ind,IND,310,0.1545,9,0
bari,baadi,DHOLPUR,GEN,c-ac-425278,RAJKUMAR PACHOURI,ind,IND,228,0.1136,10,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425282,GAUTAM KUMAR,bjp,BJP,103940,48.3298,1,1
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425283,BADRI LAL JAT,inc,INC,92108,42.8282,2,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425285,PHOJI LAL,bharat-adivasi-party,BHRTADVSIP,11833,5.5021,3,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425293,SHYAM LAL MEGHWAL,ind,IND,1802,0.8379,4,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425292,SHYAMLAL,ind,IND,1397,0.6496,5,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425284,BHAGWATI LAL REGAR,bsp-2,BSP,1393,0.6477,6,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425286,SHANKAR LAL MEGHWAL,aspkr,ASPKR,1014,0.4715,7,0
bari-sadri,badi sadadi,CHITTORGARH,GEN,c-ac-425291,BHERU LAL MEENA,ind,IND,476,0.2213,8,0
