external_key,external_short,external_full,proposed_party_id,current_party_id,action,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,verdict,curator_note,curator_source_id
parties.IN.BJD,parties.IN.BJD,Biju Janata Dal,parties.IN.BJD,parties.IN.BJD,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.BJP,parties.IN.BJP,Bharatiya Janata Party,parties.IN.BJP,parties.IN.BJP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.BJS,parties.IN.BJS,Bharatiya Jana Sangh,parties.IN.BJS,parties.IN.BJS,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.BRS,parties.IN.BRS,Bharat Rashtra Samithi,parties.IN.BRS,parties.IN.BRS,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.BSP,parties.IN.BSP,Bahujan Samaj Party,parties.IN.BSP,parties.IN.BSP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.CPI,parties.IN.CPI,Communist Party of India,parties.IN.CPI,parties.IN.CPI,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.CPIM,parties.IN.CPIM,Communist Party of India (Marxist),parties.IN.CPIM,parties.IN.CPIM,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.DMK,parties.IN.DMK,Dravida Munnetra Kazhagam,parties.IN.DMK,parties.IN.DMK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.GFP,parties.IN.GFP,Goa Forward Party,parties.IN.GFP,parties.IN.GFP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.GGP,parties.IN.GGP,Gondwana Gantantra Party,parties.IN.GGP,parties.IN.GGP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.HJC,parties.IN.HJC,Haryana Janhit Congress,parties.IN.HJC,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.HSP,parties.IN.HSP,Hindustani Awam Morcha (Secular),parties.IN.HSP,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.HSPDP,parties.IN.HSPDP,Hill State People's Democratic Party,parties.IN.HSPDP,parties.IN.HSPDP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.INC,parties.IN.INC,Indian National Congress,parties.IN.INC,parties.IN.INC,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.INLD,parties.IN.INLD,Indian National Lok Dal,parties.IN.INLD,parties.IN.INLD,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.IUML,parties.IN.IUML,Indian Union Muslim League,parties.IN.IUML,parties.IN.IUML,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JD,parties.IN.JD,Janata Dal,parties.IN.JD,parties.IN.JD,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JDS,parties.IN.JDS,Janata Dal (Secular),parties.IN.JDS,parties.IN.JDS,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JDU,parties.IN.JDU,Janata Dal (United),parties.IN.JDU,parties.IN.JDU,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JJP,parties.IN.JJP,Jannayak Janta Party,parties.IN.JJP,parties.IN.JJP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JKNC,parties.IN.JKNC,Jammu and Kashmir National Conference,parties.IN.JKNC,parties.IN.JKNC,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JKPC,parties.IN.JKPC,Jammu and Kashmir People's Conference,parties.IN.JKPC,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.JKPDP,parties.IN.JKPDP,Jammu and Kashmir Peoples Democratic Party,parties.IN.JKPDP,parties.IN.JKPDP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JMM,parties.IN.JMM,Jharkhand Mukti Morcha,parties.IN.JMM,parties.IN.JMM,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JNP,parties.IN.JNP,Janata Party,parties.IN.JNP,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.JP,parties.IN.JP,Janata Party,parties.IN.JP,parties.IN.JP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.JSP,parties.IN.JSP,Janasena Party,parties.IN.JSP,parties.IN.JSP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.KEC,parties.IN.KEC,Kerala Congress,parties.IN.KEC,parties.IN.KEC,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.KEC_M,parties.IN.KEC_M,Kerala Congress (M),parties.IN.KEC_M,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.LJP,parties.IN.LJP,Lok Janshakti Party,parties.IN.LJP,parties.IN.LJP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.LJPRV,parties.IN.LJPRV,Lok Janshakti Party (Ram Vilas),parties.IN.LJPRV,parties.IN.LJPRV,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.MDMK,parties.IN.MDMK,Marumalarchi Dravida Munnetra Kazhagam,parties.IN.MDMK,parties.IN.MDMK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.MGP,parties.IN.MGP,Maharashtrawadi Gomantak Party,parties.IN.MGP,parties.IN.MGP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.MNF,parties.IN.MNF,Mizo National Front,parties.IN.MNF,parties.IN.MNF,match,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.MNS,parties.IN.MNS,Maharashtra Navnirman Sena,parties.IN.MNS,parties.IN.MNS,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.MUL,parties.IN.MUL,Muslim League Kerala State Committee,parties.IN.MUL,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.NCP,parties.IN.NCP,Nationalist Congress Party,parties.IN.NCP,parties.IN.NCP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.NCP_K,parties.IN.NCP_K,Nationalist Congress Kerala,parties.IN.NCP_K,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.NCP_SP,parties.IN.NCP_SP,Nationalist Congress Party - Sharadchandra Pawar,parties.IN.NCP_SP,parties.IN.NCP_SP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.NDPP,parties.IN.NDPP,Nationalist Democratic Progressive Party,parties.IN.NDPP,parties.IN.NDPP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.NPEP,parties.IN.NPEP,National People's Party (Meghalaya regional),parties.IN.NPEP,,mint-new,1,1,wikipedia-parties,,UNVERIFIED,,
parties.IN.NPF,parties.IN.NPF,Naga People's Front,parties.IN.NPF,parties.IN.NPF,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.NPP,parties.IN.NPP,National People's Party,parties.IN.NPP,parties.IN.NPP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.NTK,parties.IN.NTK,Naam Tamilar Katchi,parties.IN.NTK,parties.IN.NTK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.PMK,parties.IN.PMK,Pattali Makkal Katchi,parties.IN.PMK,parties.IN.PMK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.PT,parties.IN.PT,Puthiya Tamilagam,parties.IN.PT,parties.IN.PT,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.PWP,parties.IN.PWP,Peasants and Workers Party of India,parties.IN.PWP,parties.IN.PWP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.RJD,parties.IN.RJD,Rashtriya Janata Dal,parties.IN.RJD,parties.IN.RJD,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.RLD,parties.IN.RLD,Rashtriya Lok Dal,parties.IN.RLD,parties.IN.RLD,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.RPI,parties.IN.RPI,Republican Party of India,parties.IN.RPI,parties.IN.RPI,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.RPIA,parties.IN.RPIA,Republican Party of India (Athawale),parties.IN.RPIA,parties.IN.RPIA,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.RPK,parties.IN.RPK,Rashtriya Praja Congress,parties.IN.RPK,parties.IN.RPK,match,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.RSP,parties.IN.RSP,Revolutionary Socialist Party,parties.IN.RSP,parties.IN.RSP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SAD,parties.IN.SAD,Shiromani Akali Dal,parties.IN.SAD,parties.IN.SAD,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SBSP,parties.IN.SBSP,Suheldev Bharatiya Samaj Party,parties.IN.SBSP,parties.IN.SBSP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SDF,parties.IN.SDF,Sikkim Democratic Front,parties.IN.SDF,parties.IN.SDF,match,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SHS,parties.IN.SHS,Shiv Sena,parties.IN.SHS,parties.IN.SHS,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SKM,parties.IN.SKM,Sikkim Krantikari Morcha,parties.IN.SKM,parties.IN.SKM,match,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SP,parties.IN.SP,Samajwadi Party,parties.IN.SP,parties.IN.SP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SS_UBT,parties.IN.SS_UBT,Shiv Sena (Uddhav Balasaheb Thackeray),parties.IN.SS_UBT,parties.IN.SS_UBT,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.SWP,parties.IN.SWP,Swarajya Party,parties.IN.SWP,parties.IN.SWP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.TDP,parties.IN.TDP,Telugu Desam Party,parties.IN.TDP,parties.IN.TDP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.TVK,parties.IN.TVK,Tamilaga Vettri Kazhagam,parties.IN.TVK,parties.IN.TVK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.UDP,parties.IN.UDP,United Democratic Party,parties.IN.UDP,parties.IN.UDP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.VCK,parties.IN.VCK,Viduthalai Chiruthaigal Katchi,parties.IN.VCK,parties.IN.VCK,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.YSRCP,parties.IN.YSRCP,Yuvajana Sramika Rythu Congress Party,parties.IN.YSRCP,parties.IN.YSRCP,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
parties.IN.ZPM,parties.IN.ZPM,Zoram People's Movement,parties.IN.ZPM,parties.IN.ZPM,enrich,2,2,wikipedia-parties|yen-gov-canonical,,VERIFIED,,
