entity_id,time,sector,fuel,value,source_id
IN,2011,agriculture,electricity,12.12256,src-29ecbb6dce9d
IN,2011,agriculture,gas,0.161873669403893,src-29ecbb6dce9d
IN,2011,agriculture,oil,0.7838211,src-29ecbb6dce9d
IN,2011,cgd-and-others,gas,13.9189710865268,src-29ecbb6dce9d
IN,2011,commercial,electricity,5.622766,src-29ecbb6dce9d
IN,2011,commercial,oil,1.2711952,src-29ecbb6dce9d
IN,2011,industry,coal,92.08915885543978,src-29ecbb6dce9d
IN,2011,industry,electricity,30.297112,src-29ecbb6dce9d
IN,2011,industry,gas,4.22742800068431,src-29ecbb6dce9d
IN,2011,industry,oil,11.37829155,src-29ecbb6dce9d
IN,2011,non-energy,gas,16.8922111465937,src-29ecbb6dce9d
IN,2011,non-energy,oil,17.00291725,src-29ecbb6dce9d
IN,2011,other,electricity,3.547672,src-29ecbb6dce9d
IN,2011,other,oil,69.21330985,src-29ecbb6dce9d
IN,2011,residential,electricity,14.714944,src-29ecbb6dce9d
IN,2011,residential,oil,23.4314033,src-29ecbb6dce9d
IN,2011,transport,electricity,1.221716,src-29ecbb6dce9d
IN,2011,transport,oil,28.28033985,src-29ecbb6dce9d
IN,2012,agriculture,electricity,12.681732,src-29ecbb6dce9d
IN,2012,agriculture,gas,0.168441115419708,src-29ecbb6dce9d
IN,2012,agriculture,oil,0.7224046,src-29ecbb6dce9d
IN,2012,cgd-and-others,gas,13.0817604683698,src-29ecbb6dce9d
IN,2012,commercial,electricity,6.260284,src-29ecbb6dce9d
IN,2012,commercial,oil,1.358262,src-29ecbb6dce9d
IN,2012,industry,coal,105.39800306027877,src-29ecbb6dce9d
IN,2012,industry,electricity,31.475054,src-29ecbb6dce9d
IN,2012,industry,gas,3.84791287028589,src-29ecbb6dce9d
IN,2012,industry,oil,13.5291179,src-29ecbb6dce9d
IN,2012,non-energy,gas,17.9006841069799,src-29ecbb6dce9d
IN,2012,non-energy,oil,18.828649,src-29ecbb6dce9d
IN,2012,other,electricity,3.462016,src-29ecbb6dce9d
IN,2012,other,oil,73.77590325,src-29ecbb6dce9d
IN,2012,residential,electricity,15.7982,src-29ecbb6dce9d
IN,2012,residential,oil,23.011545,src-29ecbb6dce9d
IN,2012,transport,electricity,1.2126,src-29ecbb6dce9d
IN,2012,transport,oil,28.1852051,src-29ecbb6dce9d
IN,2013,agriculture,electricity,13.135984,src-29ecbb6dce9d
IN,2013,agriculture,gas,0.181039511861314,src-29ecbb6dce9d
