state_code,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,winner_party_id_consensus,winner_party_id_per_oracle,winner_candidate_per_oracle,verdict,curator_note,curator_source_id
arunachal-pradesh,193,ARUNACHAL EAST,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=TAPIR GAO|yen-gov-canonical-pc=TAPIR GAO,VERIFIED,,
arunachal-pradesh,194,ARUNACHAL WEST,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=KIREN RIJIJU|yen-gov-canonical-pc=KIREN RIJIJU,VERIFIED,,
assam,203,DIPHU,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=AMARSING TISSO|yen-gov-canonical-pc=AMARSING TISSO,VERIFIED,,
assam,204,BARPETA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.AGP,bhukyavenkatamahesh-pc=parties.IN.AGP|yen-gov-canonical-pc=parties.IN.AGP,bhukyavenkatamahesh-pc=PHANI BHUSAN CHOUDHURY|yen-gov-canonical-pc=PHANI BHUSAN CHOUDHURY,VERIFIED,,
assam,205,DHUBRI,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.INC,bhukyavenkatamahesh-pc=parties.IN.INC|yen-gov-canonical-pc=parties.IN.INC,bhukyavenkatamahesh-pc=RAKIBUL HUSSAIN|yen-gov-canonical-pc=RAKIBUL HUSSAIN,VERIFIED,,
assam,206,DIBRUGARH,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=SARBANANDA SONOWAL|yen-gov-canonical-pc=SARBANANDA SONOWAL,VERIFIED,,
assam,207,GUWAHATI,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=BIJULI KALITA  MEDHI|yen-gov-canonical-pc=BIJULI KALITA MEDHI,VERIFIED,,
assam,208,JORHAT,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.INC,bhukyavenkatamahesh-pc=parties.IN.INC|yen-gov-canonical-pc=parties.IN.INC,bhukyavenkatamahesh-pc=GAURAV GOGOI|yen-gov-canonical-pc=GAURAV GOGOI,VERIFIED,,
assam,209,KAZIRANGA,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=KAMAKHYA PRASAD TASA|yen-gov-canonical-pc=KAMAKHYA PRASAD TASA,VERIFIED,,
assam,210,KARIMGANJ,2,2,bhukyavenkatamahesh-pc|yen-gov-canonical-pc,,parties.IN.BJP,bhukyavenkatamahesh-pc=parties.IN.BJP|yen-gov-canonical-pc=parties.IN.BJP,bhukyavenkatamahesh-pc=KRIPANATH MALLAH|yen-gov-canonical-pc=KRIPANATH MALLAH,VERIFIED,,
