state,year,total_votes,n_parties_inside_threshold,cumsum_pct,n_outside_threshold,outside_vote_pct,unk_outside_threshold,outside_labels
dadra-and-nagar-haveli,1984,38380,2,96.3,1,3.7,0,JNP
dadra-and-nagar-haveli,1989,51998,3,98.6,1,1.4,0,BSP
dadra-and-nagar-haveli,1991,48439,2,97.1,3,2.9,0,BSP | DDP | IND
dadra-and-nagar-haveli,1996,70809,2,98.0,2,2.0,0,AIIC(T) | IND
dadra-and-nagar-haveli,1998,72531,2,95.4,2,4.6,0,INC | IND
dadra-and-nagar-haveli,1999,71905,4,100.0,0,0.0,0,
daman-and-diu,1989,36538,3,100.0,0,0.0,0,
daman-and-diu,1991,37937,3,97.2,2,2.8,0,DDP | JD
daman-and-diu,1996,48488,3,100.0,0,0.0,0,
daman-and-diu,1998,51596,2,98.0,1,2.0,0,INC
daman-and-diu,1999,50800,3,99.3,1,0.7,0,SHS
delhi,1962,894149,4,97.3,3,2.7,0,CPI | HMS | PSP
delhi,1967,1121161,4,99.8,1,0.2,0,SSP
delhi,1971,1297884,3,95.9,9,4.1,0,FBL | HMS | IND | NCO | PSP | RPK | SSP | SWA | VHP
delhi,1972,1403764,4,96.4,5,3.6,0,HMS | NCO | RPI | SOP | SWA
delhi,1977,3288954,4,98.0,8,2.0,0,CPI | CPM | HMS | MUL | RPI | RPK | RRP | SUC
delhi,1980,1964438,3,95.1,7,4.9,0,BSP | CPI | ILP | INC(U) | IND | RPI | RRP
delhi,1983,1775910,4,95.9,4,4.1,0,CPI | CPM | ICS | JNP
delhi,1984,2223983,4,96.4,2,3.6,0,ICJ | JNP
delhi,1985,406673,3,97.1,3,2.9,0,CPM | JNP | LKD
delhi,1989,3047316,4,95.3,17,4.7,0,BSP | DDP | FBL | HMS | HSS | ICJ(TG) | JNP (JP) | LKD (B) | LMD | LMS | LPI | PDI | PPI | RPI | RPI(GG) | RRP | SHP
delhi,1991,2912863,4,96.6,33,3.4,0,AUM | AZP | BDP | BLMD | BSNP | BSP | CPI | DBP | DDP | DMM | DND | FBL | HMS | HSD | JC | JEM | JKMP | JNP | JP | JPP | KMS | LHM | LKD | LPI(P) | MUB | MUL | PRC | RPI | RPI(A) | RPK | RUD | SAD(M) | SMP
