body,state_slug,year,event_id,publisher_label,n_rows,tcpd_party_id,tcpd_party_name,tcpd_party_type,tcpd_start_year,tcpd_last_year,tcpd_state_name,skip_reason,next_lookup_source
assembly,tamil-nadu,2009,2009,AIJAK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,AIS,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,DMKO,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,DMPDK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,DSI,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,IBJP,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,ICPI,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2009,2009,MSI,1,,,,,,,tcpd-placeholder-only,eci-statreport-2009
assembly,tamil-nadu,2010,2010,UPMK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2010
assembly,tamil-nadu,2012,2012,MMK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2012
assembly,tamil-nadu,2015,2015,AIAMK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2015
assembly,tamil-nadu,2015,2015,MMK,1,,,,,,,tcpd-placeholder-only,eci-statreport-2015
assembly,tamil-nadu,2026,2026,IDMK,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,tamil-nadu,2026,2026,PFTROOBC,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,tamil-nadu,2026,2026,TDMK,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,tamil-nadu,2026,2026,TPMK,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,tamil-nadu,2026,2026,VSHWTMLK,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2026
assembly,telangana,2019,2019,RYTHU BIDDA PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,telangana,2019,2019,TELANGANA REPUBLICAN PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2019
assembly,telangana,2021,2021,PRAJA EKTHA PARTY,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,telangana,2021,2021,PRAJAVANI PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,telangana,2021,2021,TELANGANA RASHTRA PUNAHNIRMANA SAMITHI,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,telangana,2021,2021,YUVA TARAM PARTY,1,,,,,,,not-in-tcpd-catalogue,eci-statreport-2021
assembly,tripura,2023,2023,NATIONALIST CITIZENS PARTY OF INDIA,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2023
assembly,tripura,2023,2023,TRIPURA PEOPLES PARTY,2,,,,,,,not-in-tcpd-catalogue,eci-statreport-2023
assembly,uttar-pradesh,1969,1969,BAS,1,394,Akhil Bhartiya Arya Sabha,,1972,1972,Haryana,tcpd-state-disambig-contradiction,wikipedia-and-press
assembly,uttar-pradesh,1969,1969,USP,1,8459,Uttarakhand Sanskriti Parishad,,2004,2007,Uttarakhand,tcpd-state-disambig-contradiction,wikipedia-and-press
assembly,uttar-pradesh,1989,1989,KSP,3,4881,Kosal Party,,1995,2004,Odisha,,eci-statreport-1989
assembly,uttar-pradesh,1993,1993,BMKD,2,1889,Bharatiya Berozgar Mazdoor Kisan Dal,Local Party,1993,2007,Uttarakhand,,eci-statreport-1993
