party_id,body,period_label,state,year,seats,vote_share_pct,contested,party_votes,total_votes,source_ids,derivation
parties.IN.ABCD_A,parliament,LsGenMay2014,rajasthan,2014,0,0.002088,1,566,27110642,src-85c74b162cce,computed_from_canonical_electoral_rows
parties.IN.ABD,parliament,LsGenJun2024,haryana,2024,0,0.012114,1,1584,13075630,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.ABEP,assembly,AcGenOct2019,maharashtra,2019,0,0.002731,2,1506,55149929,src-558e9e7bac87,computed_from_canonical_electoral_rows
parties.IN.ABEP,parliament,LsGenMay2019,maharashtra,2019,0,0.001861,1,1006,54054245,src-8beec592f488,computed_from_canonical_electoral_rows
parties.IN.ABHASP,parliament,LsGenJun2024,uttar-pradesh,2024,0,0.009754,1,8583,87997543,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.ABHKP,parliament,LsGenJun2024,madhya-pradesh,2024,0,0.003316,1,1259,37972368,src-bfb4e7fb9785,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenApr2004,odisha,2004,0,0.01275,1,2159,16933456,src-edd45a80fe58,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenApr2007,uttar-pradesh,2007,0,0.051055,12,26632,52163417,src-5230abac31bb,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenApr2019,odisha,2019,0,0.030403,12,7123,23428552,src-aac3ba0f570d,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2003,chhattisgarh,2003,0,0.014337,3,1384,9653571,src-e54f471501ac,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2003,delhi,2003,0,0.038977,9,1759,4512872,src-731874b4f970,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2003,rajasthan,2003,0,0.035575,1,8104,22780055,src-a403cedd49aa,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2007,gujarat,2007,0,0.010337,3,2221,21485372,src-542153f504f1,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2008,rajasthan,2008,0,0.034576,16,8293,23984658,src-50c93d074c18,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2009,jharkhand,2009,0,0.009116,1,937,10279009,src-6d8e0cb444b5,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2013,delhi,2013,0,0.000267,1,21,7873704,src-606ae1d0586b,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2013,rajasthan,2013,0,0.001866,1,576,30860626,src-484300621f4c,computed_from_canonical_electoral_rows
parties.IN.ABHM,assembly,AcGenDec2014,jharkhand,2014,0,0.029276,3,4060,13868225,src-7fa3c11bd289,computed_from_canonical_electoral_rows
