party_id,body,rank,entity_id,constituency_name,state,wins,contested,last_won_year,results,source_ids,derivation
parties.IN.AIADMK,assembly,6,IN-S22-AC-2008-179,Viralimalai,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,7,IN-S22-AC-2008-225,Ambasamudram,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,8,IN-S22-AC-2008-57,Palacodu,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,9,IN-S22-AC-2008-60,Pappireddippatti,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,assembly,10,IN-S22-AC-2008-82,Attur,tamil-nadu,4,4,2026,WWWW,src-3da941c21223|src-4c63b70dbcf5|src-56c66222c3c2|src-980ece2fb2f9,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,1,IN-PC-2008-S22-1,Tiruvallur,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,2,IN-PC-2008-S22-13,Viluppuram,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,3,IN-PC-2008-S22-15,Salem,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,4,IN-PC-2008-S22-18,Tiruppur,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,5,IN-PC-2008-S22-21,Pollachi,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,6,IN-PC-2008-S22-23,Karur,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,7,IN-PC-2008-S22-24,Tiruchirappalli,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,8,IN-PC-2008-S22-28,Mayiladuthurai,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,9,IN-PC-2008-S22-3,Chennai South,tamil-nadu,2,4,2014,WWLL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIADMK,parliament,10,IN-PC-2008-S22-33,Theni,tamil-nadu,2,4,2019,LWWL,src-85c74b162cce|src-8beec592f488|src-9be18d311190|src-bfb4e7fb9785,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,1,IN-S25-AC-1976-1,MEKLIGANJ,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
parties.IN.AIFB,assembly,2,IN-S25-AC-1976-186,CHINSURAH,west-bengal,7,7,2006,WWWWWWW,src-06ef30dd9958|src-4cf8378fae18|src-56fb5ea6721a|src-6fd9fd4654a9|src-8f3fd20e4fce|src-a875edf968c9|src-b03564ebb111,computed_from_canonical_winner_rows
