entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-bihar-1,bihar,2005,DHANAHA,120846,59357,49.12,RAJESH SINGH,parties.IN.RJD,RJD,19164,32.29,RAMADHAR YADAV,parties.IN.SP,SP,17700,1464,2.47,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-18,bihar,2005,KESARIYA,204201,88256,43.22,RAJESH KUMAR RAUSHAN URF BABLOO DEO,parties.IN.RJD,RJD,31090,35.23,RAZIA KHATOON,parties.IN.JDU,JD(U),30112,978,1.11,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-19,bihar,2005,HARSIDHI,194962,96765,49.63,MAHESHWAR SINGH,parties.IN.LJP,LJP,35811,37.01,AWADHESH PRASAD KUSHWAHA,parties.IN.JDU,JD(U),35703,108,0.11,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-20,bihar,2005,GOBINDGANJ,207340,88872,42.86,MEENA DEVI,parties.IN.JDU,JD(U),35743,40.22,RAJAN TIWARI,parties.IN.LJP,LJP,19722,16021,18.03,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-21,bihar,2005,KATEYA,221084,102978,46.58,AMRENDRA KUMAR PANDEY,parties.IN.BSP,BSP,38024,36.92,KIRAN DEVI,parties.IN.RJD,RJD,33821,4203,4.08,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-22,bihar,2005,BHORE,221501,92023,41.55,ANIL KUMAR,parties.IN.RJD,RJD,33081,35.95,INDRADEV MANJHI,parties.IN.BJP,BJP,27190,5891,6.4,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-23,bihar,2005,MIRGANJ,206936,91711,44.32,RAMSEWAK SINGH,parties.IN.JDU,JD(U),30748,33.53,BABUDDIN KHAN,parties.IN.INC,INC,23135,7613,8.3,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-24,bihar,2005,GOPALGANJ,227549,106688,46.89,SHUBASH SINGH,parties.IN.BJP,BJP,39205,36.75,REYAJUL HAQUE ALIAS 'RAJU',parties.IN.BSP,BSP,31271,7934,7.44,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-25,bihar,2005,BARAULI,198827,97446,49.01,RAM PRAVESH RAI,parties.IN.BJP,BJP,38235,39.24,MD. NEMTULLAH,parties.IN.RJD,RJD,37081,1154,1.19,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-26,bihar,2005,BAIKUNTHPUR,220582,104536,47.39,DEO DUTT PRASAD,parties.IN.RJD,RJD,44291,42.37,MANJEET KUMAR SINGH,parties.IN.JDU,JD(U),37634,6657,6.37,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-27,bihar,2005,BASANTPUR,202939,100170,49.36,MANIKCHAND RAI,parties.IN.RJD,RJD,47922,47.84,SRI SATYADEO PRASAD SINGH,parties.IN.BJP,BJP,33137,14785,14.76,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-28,bihar,2005,GOREAKOTHI,179367,88683,49.44,INDRADEO PRASAD,parties.IN.RJD,RJD,36972,41.69,BHUMENDRA NARAYAN SINGH,parties.IN.BJP,BJP,32953,4019,4.53,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-29,bihar,2005,SIWAN,205998,99569,48.33,BYASDEO PRASAD,parties.IN.BJP,BJP,42756,42.94,AWADH BIHARI CHAUDHARY,parties.IN.RJD,RJD,39587,3169,3.18,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-30,bihar,2005,MAIRWA,180387,88033,48.8,RAMAYAN MANJHI,parties.IN.BJP,BJP,30148,34.25,SATYADEO RAM,parties.IN.CPIMLL,CPI(ML)(L),29768,380,0.44,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-31,bihar,2005,DARAULI,191204,96434,50.44,AMAR NATH YADAV,parties.IN.CPIMLL,CPI(ML)(L),30355,32.58,SHEO SHANKER YADAV,parties.IN.RJD,RJD,26347,4008,4.3,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-32,bihar,2005,ZIRADEI,171051,85706,50.11,SHYAM BAHADUR SINGH,parties.IN.JDU,JD(U),42267,49.32,AZAZUL HAQUE,parties.IN.RJD,RJD,27887,14380,16.78,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-33,bihar,2005,MAHARAJGANJ,179414,86601,48.27,DAMODAR SINGH,parties.IN.JDU,JD(U),43799,50.58,UMASHANKAR SINGH,parties.IN.RJD,RJD,30833,12966,14.98,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-34,bihar,2005,RAGHUNATHPUR,198043,94387,47.66,JAGMATO DEVI,parties.IN.JDU,JD(U),39917,42.29,VIJAY SHANKAR DUBEY,parties.IN.INC,INC,19060,20857,22.1,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-35,bihar,2005,MANJHI,193201,89734,46.45,GAUTAM SINGH,parties.IN.JDU,JD(U),38002,42.35,RAVINDRA NATH MISHRA,parties.IN.INC,INC,36622,1380,1.54,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-36,bihar,2005,BANIAPUR,184247,82733,44.9,MANORANJAN SINGH,parties.IN.JDU,JD(U),32440,39.21,UMA PANDEY,parties.IN.INC,INC,29787,2653,3.21,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-37,bihar,2005,MASRAKH,186273,89300,47.94,KEDAR NATH SINGH,parties.IN.JDU,JD(U),33694,37.73,TARKESHWAR SINGH,parties.IN.INC,INC,31572,2122,2.38,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-38,bihar,2005,TARAIYA,183510,83562,45.54,RAM DAS ROY,parties.IN.RJD,RJD,29615,35.44,JANAK SINGH,parties.IN.BJP,BJP,22802,6813,8.15,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-39,bihar,2005,MARHAURA,181745,84553,46.52,LAL BABU RAY,parties.IN.IND,IND,35628,42.14,JEETENDRA KUMAR RAI,parties.IN.JDU,JD(U),13129,22499,26.61,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-40,bihar,2005,JALALPUR,214184,93489,43.65,JANARDAN SINGH SIGRIWAL,parties.IN.BJP,BJP,45468,48.63,BALAGUL MOBIN,parties.IN.RJD,RJD,33782,11686,12.5,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-41,bihar,2005,CHAPRA,225881,101561,44.96,RAM PRAVESH RAY,parties.IN.JDU,JD(U),40371,39.75,UDIT RAI,parties.IN.RJD,RJD,36743,3628,3.57,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-42,bihar,2005,GARKHA,182834,82771,45.27,GYAN CHAND MANJHI,parties.IN.BJP,BJP,28634,34.59,RAGHUNANDAN MANJHI,parties.IN.INC,INC,26817,1817,2.19,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-43,bihar,2005,PARSA,203243,85974,42.3,CHHOTE LAL RAI,parties.IN.JDU,JD(U),41284,48.02,CHANDRIKA ROY,parties.IN.RJD,RJD,30911,10373,12.07,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-44,bihar,2005,SONEPUR,205012,98391,47.99,RAMANUJ PRASAD,parties.IN.RJD,RJD,44139,44.86,VINAY KUMAR SINGH,parties.IN.BJP,BJP,43026,1113,1.13,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-45,bihar,2005,HAJIPUR,231700,109065,47.07,NITYANAND ROY,parties.IN.BJP,BJP,47760,43.79,RAJENDRA RAY,parties.IN.RJD,RJD,32502,15258,13.99,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-46,bihar,2005,RAGHOPUR,215001,84822,39.45,RABRI DEVI,parties.IN.RJD,RJD,35891,42.31,SATISH KUMAR,parties.IN.JDU,JD(U),30601,5290,6.23,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-47,bihar,2005,MAHNAR,196887,93672,47.58,RAMA KISHORE SINGH,parties.IN.LJP,LJP,40901,43.66,MUNSHILAL RAI,parties.IN.RJD,RJD,36227,4674,4.99,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-48,bihar,2005,JANDAHA,211919,97653,46.08,DR. ACHYUTANAND,parties.IN.LJP,LJP,37973,38.89,UMESH SINGH KUSHAWAHA,parties.IN.RJD,RJD,34207,3766,3.86,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-49,bihar,2005,PATEPUR,195714,89481,45.72,PREMA CHOUDHARY,parties.IN.RJD,RJD,32792,36.65,MAHENDRA BAITHA,parties.IN.LJP,LJP,29276,3516,3.93,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-50,bihar,2005,MAHUA,186619,92809,49.73,SHIV CHAND RAM,parties.IN.RJD,RJD,36642,39.48,DASAI CHOUDHARY,parties.IN.JDU,JD(U),29627,7015,7.56,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-51,bihar,2005,LALGANJ,196722,93520,47.54,VIJAY KUMAR SHUKLA,parties.IN.JDU,JD(U),36852,39.41,RAJ KUMAR SAH,parties.IN.RJD,RJD,33042,3810,4.08,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-52,bihar,2005,VAISHALI,200725,94429,47.04,BRISHIN PATEL,parties.IN.JDU,JD(U),34426,36.46,VEENA SAHI,parties.IN.INC,INC,31931,2495,2.65,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-53,bihar,2005,PARU,204070,102090,50.03,ASHOK KUMAR SINGH,parties.IN.BJP,BJP,43569,42.68,MITHILESH PRASAD YADAV,parties.IN.RJD,RJD,40489,3080,3.02,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-54,bihar,2005,SAHEBGANJ,192800,101747,52.77,RAJU KUMAR SINGH,parties.IN.JDU,JD(U),47591,46.77,RAM VICHAR RAI,parties.IN.RJD,RJD,42323,5268,5.17,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-55,bihar,2005,BARURAJ,201168,97323,48.38,SHASHI KUMAR RAY,parties.IN.JDU,JD(U),32992,33.9,BRIJ KISHOR SINGH,parties.IN.RJD,RJD,30018,2974,3.06,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-56,bihar,2005,KANTI,188846,98615,52.22,AJIT KUMAR,parties.IN.JDU,JD(U),38294,38.83,MUHAMAD HAIDAR AZAD,parties.IN.RJD,RJD,28091,10203,10.34,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-57,bihar,2005,KURHANI,198326,104786,52.84,MANOJ KUMAR SINGH,parties.IN.JDU,JD(U),43714,41.72,AJAY NISHAD,parties.IN.RJD,RJD,35324,8390,8.01,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-58,bihar,2005,SAKRA,181797,93634,51.5,BILAT PASWAN,parties.IN.JDU,JD(U),36020,38.47,LAL BABU RAM,parties.IN.RJD,RJD,35948,72,0.08,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-59,bihar,2005,MUZAFFARPUR,273876,115662,42.23,VIJENDRA CHOUDHARY,parties.IN.IND,IND,59410,51.37,VINITA VIJAY,parties.IN.INC,INC,34572,24838,21.48,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-60,bihar,2005,BOCHAHA,216580,111357,51.42,RAMAI RAM,parties.IN.RJD,RJD,46861,42.08,SHIV NATH CHAUDHARY,parties.IN.JDU,JD(U),41081,5780,5.19,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-61,bihar,2005,GAIGHATTI,188769,86274,45.7,MAHESHWAR PRASAD YADAV,parties.IN.RJD,RJD,34081,39.5,ASHOK KUMAR SINGH,parties.IN.JDU,JD(U),30768,3313,3.84,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-62,bihar,2005,AURAI,180255,82082,45.54,ARJUN RAY,parties.IN.JDU,JD(U),44891,54.69,ABHAY KUMAR,parties.IN.IND,IND,13521,31370,38.22,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-63,bihar,2005,MINAPUR,194381,96592,49.69,DINESH PRASAD,parties.IN.JDU,JD(U),40070,41.48,HIND KESARI YADAV,parties.IN.RJD,RJD,28566,11504,11.91,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-64,bihar,2005,RUNISAIDPUR,214798,103489,48.18,GUDI DEVI,parties.IN.JDU,JD(U),43402,41.94,BHOLA RAI,parties.IN.RJD,RJD,28866,14536,14.05,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-65,bihar,2005,BELSAND,181159,84280,46.52,SANJAY KUMAR GUPTA,parties.IN.RJD,RJD,30899,36.66,SUNITA SINGH,parties.IN.JDU,JD(U),29516,1383,1.64,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-66,bihar,2005,SHEOHAR,210776,95507,45.31,AJIT KUMAR JHA,parties.IN.RJD,RJD,31331,32.8,THAKUR RATNAKAR,parties.IN.JDU,JD(U),31126,205,0.21,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-67,bihar,2005,SITAMARHI,239622,110660,46.18,SUNIL KUMAR ALIAS PINTU,parties.IN.BJP,BJP,50973,46.06,MD. KHALIL ANSARI,parties.IN.INC,INC,29720,21253,19.2,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-68,bihar,2005,BATHNAHA,214907,106365,49.49,NAGINA DEVI,parties.IN.LJP,LJP,35640,33.51,SURYADEO RAI,parties.IN.RJD,RJD,26202,9438,8.88,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-69,bihar,2005,MAJORGANJ,187871,85267,45.39,DINKAR RAM,parties.IN.BJP,BJP,44146,51.77,LALITA DEVI,parties.IN.INC,INC,24676,19470,22.83,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-70,bihar,2005,SONBARSA,203783,99091,48.63,DR. RAM CHANDRA PURVEY,parties.IN.RJD,RJD,35843,36.17,AMZAD HUSSAIN ANWAR,parties.IN.BSP,BSP,23537,12306,12.42,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-71,bihar,2005,SURSAND,201324,94771,47.07,JAI NANDAN PRASAD YADAV,parties.IN.RJD,RJD,33233,35.07,BAIDYANATH PRASAD,parties.IN.BJP,BJP,32739,494,0.52,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
