Date,SL No,STATE/UT,CASH (in Rs. Cr.),LIQUOR Qty in Lakh litres,LIQUOR value in Rs. Cr.,DRUGS/ NARCOTICS Quantity in Kg,DRUGS/ NARCOTICS value in Rs. Cr.,"PRECIOUS METALS GOLD, SILVER etc. Qty in Kg","PRECIOUS METALS GOLD, SILVER etc. value in Rs. Cr.",OTHER ITEMS/ FREEBIES seizure,TOTAL seizure (value in Rs. Cr.)
06-Apr-19,13,Himachal Pradesh,0.08,4.18,6.05,42,0.75,0,0,0,6.88
06-Apr-19,14,Jammu and Kashmir,0.33,0.02,0.02,,0.01,0,0,0,0.36
06-Apr-19,15,Jharkhand,1.81,0.92,0.94,10.4,1.75,,0.005,0.25,4.755
06-Apr-19,16,Karnataka,25.56,7.84,33.19,146,0.11,47,1.12,2.45,62.43
06-Apr-19,17,Kerala,3.07,0.04,0.18,,14.26,,2.98,0,20.49
06-Apr-19,18,Lakshadweep (UT),0,3.99,0.0001,,0.004,,0,0,0.0041
06-Apr-19,19,Madhya Pradesh,10.32,2.91,6.89,6417,3.44,138,0.59,3.46,24.7
06-Apr-19,20,Maharashtra,30.12,21.06,16.36,14414,4.34,,44.58,0.004,95.404
06-Apr-19,21,Manipur,0.1,0.39,0.39,,28.2,,1.11,0,29.8
06-Apr-19,22,Meghalaya,0.75,0.1,0.13,,0.003,,0,0,0.883
06-Apr-19,23,Mizoram,0,,0.18,,0.33,,,,0.51
06-Apr-19,24,Nagaland,0.92,0.63,1.75,221,0.34,,0,0,3.01
06-Apr-19,25,NCT of Delhi,3.126,0,0,0,0,0,0,0,3.126
06-Apr-19,26,Odisha,1.97,1.02,3.17,0,0,0,0,0.12,5.26
06-Apr-19,27,Puducherry,0.2,0.03,0.06,,0,,0,0.03,0.29
06-Apr-19,28,Punjab,18.18,2.63,5.1,,119.33,259,18.32,0.19,161.12
06-Apr-19,29,Rajasthan,1.99,3.16,7.3,,5.81,,3.94,3.4,22.44
06-Apr-19,30,Sikkim,0.14,0.007,0.013,,0.007,0,0,0,0.16
06-Apr-19,31,Tamil Nadu,154.76,1.24,1.73,,0.27,1281,227.46,6.49,390.71
06-Apr-19,32,Telangana,36.68,2.74,3.69,,2.75,3.3,0.27,0.04,43.43
06-Apr-19,33,Tripura,0.18,0.21,0.36,,0.83,0,0,0,1.37
06-Apr-19,34,Uttarakhand,2.88,0.71,2.7,,0.75,0.6,0.21,0.04,6.58
06-Apr-19,35,Uttar Pradesh,27.54,13.28,37.28,,23.06,,60.39,0,148.27
06-Apr-19,36,West Bengal,19.42,8.24,9.95,,1.02,,17.12,2.38,49.89
07-Apr-19,1,Andaman & Nicobar Islands(UT),0.32,,0.08,,0.07,0,0,0,0.47
07-Apr-19,2,Andhra Pradesh,114.18,5.99,22.89,,0.5,,32.97,15.14,185.68
07-Apr-19,3,Arunachal Pradesh,5.94,,,1.2,,0,0,,5.94
07-Apr-19,4,Assam,9.08,1.21,0.73,,0.51,,0.36,0.22,10.9
07-Apr-19,5,Bihar,3.5,0.47,,57,,11.62,,0,3.5
07-Apr-19,6,Chandigarh (UT),0.015,0.02,0.037,,0.141,0,0,0,0.193
07-Apr-19,7,Chhattisgarh,4.21,0.04,0.08,,,,0.17,0.48,4.94
07-Apr-19,8,Dadra and Nagar Haveli (UT),1.48,0.06,0.09,,0,0,0,0.03,1.6
07-Apr-19,9,Daman and Diu (UT),0.67,0.05,0.1,0,0,0,0,0.003,0.773
07-Apr-19,10,Goa,0.752,0.73,2.88,,0.22,0,0,0.002,3.854
07-Apr-19,11,Gujarat,3.72,2.98,8.7,111,500.01,0,0.77,0,513.2
07-Apr-19,12,Haryana,1,1.78,3.17,,4.52,0,0,,8.69
07-Apr-19,13,Himachal Pradesh,0.08,4.18,6.05,42,0.75,0,0,0,6.88
07-Apr-19,14,Jammu and Kashmir,0.49,0.02,0.02,,0.02,0,0,0,0.53
07-Apr-19,15,Jharkhand,1.95,1.01,0.964,10.4,1.76,,0.005,0.26,4.939
07-Apr-19,16,Karnataka,25.65,7.94,33.37,146,0.11,47,1.12,2.45,62.7
07-Apr-19,17,Kerala,3.55,0.04,0.21,,14.38,,2.98,0,21.12
07-Apr-19,18,Lakshadweep (UT),0,3.99,0.0001,,0.004,,0,0,0.0041
07-Apr-19,19,Madhya Pradesh,10.32,2.91,6.89,6417,3.44,138,0.59,3.46,24.7
07-Apr-19,20,Maharashtra,30.61,21.54,16.71,14518,4.44,,44.58,0.004,96.344
07-Apr-19,21,Manipur,0.1,0.4,0.4,,28.5,,1.11,0.0039,30.1139
07-Apr-19,22,Meghalaya,0.88,0.11,0.14,,0.003,,0,0,1.023
07-Apr-19,23,Mizoram,0,,0.18,,0.34,,,,0.52
07-Apr-19,24,Nagaland,0.92,0.63,1.75,221,0.34,,0,0,3.01
07-Apr-19,25,NCT of Delhi,3.126,0,0,0,0,0,0,0,3.126
07-Apr-19,26,Odisha,2.25,1.08,3.24,0,0,0,0,0.12,5.61
07-Apr-19,27,Puducherry,0.2,0.03,0.06,,0,,0,0.14,0.4
07-Apr-19,28,Punjab,18.33,2.75,5.55,,123.77,259,18.43,0.19,166.27
07-Apr-19,29,Rajasthan,1.99,3.16,7.3,,5.81,,3.94,3.4,22.44
07-Apr-19,30,Sikkim,0.14,0.007,0.013,,0.007,0,0,0,0.16
07-Apr-19,31,Tamil Nadu,160.39,1.24,1.73,,0.27,1289,228.85,6.87,398.11
07-Apr-19,32,Telangana,40.87,2.8,3.85,,2.75,3.3,0.27,0.22,47.96
07-Apr-19,33,Tripura,0.18,0.22,0.37,,0.83,0,0,0,1.38
07-Apr-19,34,Uttarakhand,2.88,0.71,2.7,,0.75,0.6,0.21,0.04,6.58
07-Apr-19,35,Uttar Pradesh,30.17,13.48,37.68,,23.12,,60.39,0,151.36
07-Apr-19,36,West Bengal,19.42,8.24,9.95,,1.03,,17.12,2.38,49.9
