33 - CONSTITUENCY WISE DETAILED RESULT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Votes Secured,,,% of Votes Secured,,,,,,
State Name,PC Name,Candidate Name,Gender,Age,Category,Party Name,Party Symbol,"Total Votes Polled In
The Constituency",Valid Votes,General,Postal,Total,Over Total Electors In Constituency,Over Total Votes Polled In Constituency,Over Total Valid Votes Polled In Constituency,Total Electors,,,
Maharashtra,Hatkanangale,NOTA,,,,NOTA,NOTA,1297282,1290921,5027,76,5103,0.28,0.39,0.4,1818396,,,
Maharashtra,Hatkanangale,ANANDRAO VASANTRAO SARNAIK (FOUJI BAPU),MALE,63,GENERAL,IND,Battery Torch,1297282,1290921,4944,11,4955,0.27,0.38,0.38,1818396,,,
Maharashtra,Hatkanangale,TANDALE LAXMAN SHIVAJI,MALE,46,SC,IND,Diamond,1297282,1290921,4788,1,4789,0.26,0.37,0.37,1818396,,,
Maharashtra,Hatkanangale,PROF. PARASHURAM MANE,MALE,35,GENERAL,IND,Apple,1297282,1290921,4467,10,4477,0.25,0.35,0.35,1818396,,,
Maharashtra,Hatkanangale,KAMBLE RAVINDRA TUKARAM,MALE,37,SC,BSP,Elephant,1297282,1290921,3968,65,4033,0.22,0.31,0.31,1818396,,,
Maharashtra,Hatkanangale,SATYAJEET PATIL (AABA),MALE,36,GENERAL,IND,Mike,1297282,1290921,3602,30,3632,0.2,0.28,0.28,1818396,,,
Maharashtra,Hatkanangale,ANANDRAO TUKARAM THORAT,MALE,61,GENERAL,IND,Kettle,1297282,1290921,3497,2,3499,0.19,0.27,0.27,1818396,,,
Maharashtra,Hatkanangale,IMRAN IQBAL KHATIB,MALE,42,GENERAL,BMUP,Cot,1297282,1290921,3172,18,3190,0.18,0.25,0.25,1818396,,,
Maharashtra,Hatkanangale,RAGHUNATHDADA PATIL,MALE,72,GENERAL,BHRJWNKP,Gift pack,1297282,1290921,2146,28,2174,0.12,0.17,0.17,1818396,,,
Maharashtra,Hatkanangale,JAVED SIKANDAR MUJAVAR,MALE,48,GENERAL,IND,Balloon,1297282,1290921,1849,3,1852,0.1,0.14,0.14,1818396,,,
Maharashtra,Hatkanangale,SANTOSH KERBA KHOT,MALE,43,GENERAL,KMGRKSNP,Coconut farm,1297282,1290921,1697,4,1701,0.09,0.13,0.13,1818396,,,
Maharashtra,Hatkanangale,DR. ISHWAR MAHADEV YAMGAR,MALE,32,GENERAL,BLKSKTIP,Tiller,1297282,1290921,1520,17,1537,0.08,0.12,0.12,1818396,,,
Maharashtra,Hatkanangale,SHIVAJI DHONDIRAM SANKPAL,MALE,66,GENERAL,IND,Bat,1297282,1290921,1390,2,1392,0.08,0.11,0.11,1818396,,,
Maharashtra,Hatkanangale,SHARAD BABURAO PATIL,MALE,54,GENERAL,NBPP,Gas cylinder,1297282,1290921,1356,5,1361,0.07,0.1,0.11,1818396,,,
Maharashtra,Hatkanangale,MANOHAR PRADIP SATPUTE,MALE,33,GENERAL,IND,Spanner,1297282,1290921,1063,3,1066,0.06,0.08,0.08,1818396,,,
Maharashtra,Hatkanangale,DHANAJI JAGANNATH GURAV (SHIVAREKAR),MALE,53,GENERAL,LKRJJNTP,Auto- rickshaw,1297282,1290921,1054,7,1061,0.06,0.08,0.08,1818396,,,
Maharashtra,Hatkanangale,DAVARI LAXMAN SHRIPATI,MALE,40,GENERAL,IND,Ring,1297282,1290921,1004,5,1009,0.06,0.08,0.08,1818396,,,
Maharashtra,Hatkanangale,RAJENDRA BHIMRAO MANE,MALE,34,GENERAL,IND,Television,1297282,1290921,935,5,940,0.05,0.07,0.07,1818396,,,
Maharashtra,Hatkanangale,DINAKARRAO TULSHIDAS CHAVAN (PATIL),MALE,60,GENERAL,AIFB,Lion,1297282,1290921,674,5,679,0.04,0.05,0.05,1818396,,,
Maharashtra,Hatkanangale,RAMCHANDRA GOVINDRAO SALUNKHE,MALE,52,GENERAL,IND,Almirah,1297282,1290921,618,0,618,0.03,0.05,0.05,1818396,,,
Maharashtra,Hatkanangale,MOHITE DEVENDRA NANA,MALE,71,SC,IND,Truck,1297282,1290921,559,1,560,0.03,0.04,0.04,1818396,,,
Maharashtra,Hatkanangale,MANE ARVIND BHIVA,MALE,57,SC,IND,Carrom board,1297282,1290921,422,2,424,0.02,0.03,0.03,1818396,,,
Maharashtra,Hatkanangale,MAHAMMAD MUBARAK DARAVESHI,MALE,44,GENERAL,IND,Air conditioner,1297282,1290921,360,1,361,0.02,0.03,0.03,1818396,,,
Manipur,Inner Manipur,ANGOMCHA BIMOL AKOIJAM,MALE,57,GENERAL,INC,Hand,806037,793100,370678,3339,374017,37.36,46.4,47.16,1001115,,,
Manipur,Inner Manipur,THOUNAOJAM BASANTA KUMAR SINGH,MALE,59,GENERAL,BJP,Lotus,806037,793100,262217,1999,264216,26.39,32.78,33.31,1001115,,,
Manipur,Inner Manipur,MAHESHWAR THOUNAOJAM,MALE,32,GENERAL,RPPRINAT,Pen nib with seven rays,806037,793100,134308,1332,135640,13.55,16.83,17.1,1001115,,,
Manipur,Inner Manipur,RAJKUMAR SOMENDRO SINGH,MALE,45,GENERAL,IND,Ship,806037,793100,12892,158,13050,1.3,1.62,1.65,1001115,,,
Manipur,Inner Manipur,MOIRANGTHEM TOTOMSHANA NONGSHABA,MALE,52,GENERAL,IND,Coat,806037,793100,4831,50,4881,0.49,0.61,0.62,1001115,,,
Manipur,Inner Manipur,NOTA,,,,NOTA,NOTA,806037,793100,3707,90,3797,0.38,0.47,0.48,1001115,,,
Manipur,Inner Manipur,HAORUNGBAM SARAT SINGH,MALE,69,GENERAL,IND,Football player,806037,793100,1279,17,1296,0.13,0.16,0.16,1001115,,,
Manipur,Outer Manipur,ALFRED KANNGAM S ARTHUR,MALE,50,ST,INC,Hand,799732,789510,381813,3141,384954,36.65,48.14,48.76,1050242,,,
Manipur,Outer Manipur,KACHUI TIMOTHY ZIMIK,MALE,62,ST,NPF,Cock,799732,789510,298358,1178,299536,28.52,37.45,37.94,1050242,,,
Manipur,Outer Manipur,S KHO JOHN,MALE,60,ST,IND,Trumpet,799732,789510,89677,233,89910,8.56,11.24,11.39,1050242,,,
Manipur,Outer Manipur,ALYSON ABONMAI,MALE,38,ST,IND,Diamond,799732,789510,14865,245,15110,1.44,1.89,1.91,1050242,,,
Manipur,Outer Manipur,NOTA,,,,NOTA,NOTA,799732,789510,6530,695,7225,0.69,0.9,0.92,1050242,,,
Meghalaya,Shillong,DR. RICKY ANDREW J. SYNGKON,MALE,52,ST,VOTPP,Winnower,1038557,1026903,569156,1922,571078,40.71,54.99,55.61,1402892,,,
Meghalaya,Shillong,VINCENT H. PALA,MALE,56,ST,INC,Hand,1038557,1026903,198045,1123,199168,14.2,19.18,19.4,1402892,,,
Meghalaya,Shillong,DR. MAZEL AMPAREEN LYNGDOH,FEMALE,58,ST,NPEP,Book,1038557,1026903,185531,957,186488,13.29,17.96,18.16,1402892,,,
Meghalaya,Shillong,ROBERTJUNE KHARJAHRIN,MALE,35,ST,UDP,Drum,1038557,1026903,44278,285,44563,3.18,4.29,4.34,1402892,,,
Meghalaya,Shillong,PROF. LAKHON KMA,MALE,47,ST,IND,Basket containing Fruits,1038557,1026903,18522,60,18582,1.32,1.79,1.81,1402892,,,
Meghalaya,Shillong,NOTA,,,,NOTA,NOTA,1038557,1026903,10944,64,11008,0.78,1.06,1.07,1402892,,,
Meghalaya,Shillong,PETER SHALLAM,MALE,58,ST,IND,Diamond,1038557,1026903,6975,49,7024,0.5,0.68,0.68,1402892,,,
Meghalaya,Tura,SALENG A SANGMA,MALE,45,ST,INC,Hand,676470,668216,382058,1861,383919,46.39,56.75,57.45,827559,,,
Meghalaya,Tura,AGATHA K SANGMA,FEMALE,43,ST,NPEP,Book,676470,668216,227210,1468,228678,27.63,33.8,34.22,827559,,,
Meghalaya,Tura,ZENITH M SANGMA,MALE,53,ST,AITC,Flowers and Grass,676470,668216,48518,191,48709,5.89,7.2,7.29,827559,,,
Meghalaya,Tura,LABENN CH MARAK,MALE,44,ST,IND,Coconut farm,676470,668216,6846,64,6910,0.83,1.02,1.03,827559,,,
Meghalaya,Tura,NOTA,,,,NOTA,NOTA,676470,668216,5809,31,5840,0.71,0.86,0.87,827559,,,
Mizoram,MIZORAM,RICHARD VANLALHMANGAIHA,MALE,45,ST,ZPM,Hat,491828,489443,206377,2175,208552,24.21,42.4,42.61,861327,,,
Mizoram,MIZORAM,K VANLALVENA,MALE,54,ST,MNF,Star,491828,489443,139532,732,140264,16.28,28.52,28.66,861327,,,
Mizoram,MIZORAM,LALBIAKZAMA,MALE,64,ST,INC,Hand,491828,489443,97761,834,98595,11.45,20.05,20.14,861327,,,
Mizoram,MIZORAM,VANLALHMUAKA,MALE,53,ST,BJP,Lotus,491828,489443,33009,524,33533,3.89,6.82,6.85,861327,,,
Mizoram,MIZORAM,LALHRIATRENGA CHHANGTE,MALE,59,ST,IND,Football player,491828,489443,4663,43,4706,0.55,0.96,0.96,861327,,,
Mizoram,MIZORAM,RITA MALSAWMI,FEMALE,49,ST,MPC,Electric bulb,491828,489443,3681,112,3793,0.44,0.77,0.77,861327,,,
Mizoram,MIZORAM,NOTA,,,,NOTA,NOTA,491828,489443,1866,27,1893,0.22,0.38,0.39,861327,,,
Nagaland,Nagaland,S SUPONGMEREN JAMIR,MALE,61,ST,INC,Hand,766573,759150,399512,2439,401951,30.33,52.43,52.95,1325383,,,
Nagaland,Nagaland,DR CHUMBEN MURRY,MALE,61,ST,NDPP,Globe,766573,759150,350072,895,350967,26.48,45.78,46.23,1325383,,,
Nagaland,Nagaland,HAYITHUNG TUNGOE LOTHA,MALE,43,ST,IND,Fountain,766573,759150,6050,182,6232,0.47,0.81,0.82,1325383,,,
Nagaland,Nagaland,NOTA,,,,NOTA,NOTA,766573,759150,1520,126,1646,0.12,0.21,0.22,1325383,,,
Odisha,Bargarh,PRADEEP PUROHIT,MALE,58,GENERAL,BJP,Lotus,1312526,1297323,709606,6753,716359,43.84,54.58,55.22,1633893,,,
Odisha,Bargarh,PARINITA MISHRA,FEMALE,45,GENERAL,BJD,Conch,1312526,1297323,463008,1684,464692,28.44,35.4,35.82,1633893,,,
Odisha,Bargarh,SANJAY BHOI,MALE,50,GENERAL,INC,Hand,1312526,1297323,92666,885,93551,5.73,7.13,7.21,1633893,,,
Odisha,Bargarh,NOTA,,,,NOTA,NOTA,1312526,1297323,12414,127,12541,0.77,0.96,0.97,1633893,,,
Odisha,Bargarh,JAYARAM BAGH,MALE,49,SC,BSP,Elephant,1312526,1297323,9215,107,9322,0.57,0.71,0.72,1633893,,,
Odisha,Bargarh,GNYANENDRA BEHERA,MALE,47,GENERAL,IND,Stool,1312526,1297323,4539,24,4563,0.28,0.35,0.35,1633893,,,
Odisha,Bargarh,DEVIKA SIKA,FEMALE,40,GENERAL,NAPt,Apple,1312526,1297323,4524,14,4538,0.28,0.35,0.35,1633893,,,
Odisha,Bargarh,PRABHAT KUMAR DHARUA,MALE,68,ST,IND,Television,1312526,1297323,4294,4,4298,0.26,0.33,0.33,1633893,,,
Odisha,Sundargarh,JUAL ORAM,MALE,63,ST,BJP,Lotus,1159760,1137976,490655,3627,494282,31.3,42.62,43.44,1579096,,,
Odisha,Sundargarh,DILIP KUMAR TIRKEY,MALE,46,ST,BJD,Conch,1159760,1137976,353708,1766,355474,22.51,30.65,31.24,1579096,,,
Odisha,Sundargarh,JANARDAN DEHURY,MALE,70,ST,INC,Hand,1159760,1137976,260681,1305,261986,16.59,22.59,23.02,1579096,,,
Odisha,Sundargarh,NOTA,,,,NOTA,NOTA,1159760,1137976,17752,49,17801,1.13,1.53,1.56,1579096,,,
Odisha,Sundargarh,JUSTIN LUGUN,MALE,48,ST,SUCI,Glass tumbler,1159760,1137976,9120,21,9141,0.58,0.79,0.8,1579096,,,
Odisha,Sundargarh,JAGABANDHU ORAM,MALE,43,ST,IND,Basket containing Fruits,1159760,1137976,6023,4,6027,0.38,0.52,0.53,1579096,,,
Odisha,Sundargarh,SUMANTA KUMAR SORENG,MALE,36,ST,NAPt,Apple,1159760,1137976,4035,17,4052,0.26,0.35,0.36,1579096,,,
Odisha,Sundargarh,SANTOSH JURA,MALE,39,ST,NBBHNRSVP,Gas cylinder,1159760,1137976,3976,5,3981,0.25,0.34,0.35,1579096,,,
Odisha,Sundargarh,PARUA EKKA,MALE,43,ST,JKP,Cot,1159760,1137976,3018,15,3033,0.19,0.26,0.27,1579096,,,
Odisha,Sambalpur,DHARMENDRA PRADHAN,MALE,54,GENERAL,BJP,Lotus,1200815,1184264,587827,4335,592162,39.44,49.31,50,1501538,,,
Odisha,Sambalpur,PRANAB PRAKASH DAS,MALE,51,GENERAL,BJD,Conch,1200815,1184264,471198,1128,472326,31.46,39.33,39.88,1501538,,,
Odisha,Sambalpur,NAGENDRA KUMAR PRADHAN,MALE,72,GENERAL,INC,Hand,1200815,1184264,88573,540,89113,5.93,7.42,7.52,1501538,,,
Odisha,Sambalpur,NOTA,,,,NOTA,NOTA,1200815,1184264,12451,32,12483,0.83,1.04,1.05,1501538,,,
Odisha,Sambalpur,SADANAND RANBIDA,MALE,63,SC,BSP,Elephant,1200815,1184264,4776,19,4795,0.32,0.4,0.4,1501538,,,
Odisha,Sambalpur,SRIRAM PANDEY,MALE,63,GENERAL,IND,Gas cylinder,1200815,1184264,4700,2,4702,0.31,0.39,0.4,1501538,,,
Odisha,Sambalpur,SHUSHIL KUMAR BABU,MALE,70,GENERAL,IND,Auto- rickshaw,1200815,1184264,4298,5,4303,0.29,0.36,0.36,1501538,,,
Odisha,Sambalpur,GNYANENDRA BEHERA,MALE,47,GENERAL,IND,Stool,1200815,1184264,3331,3,3334,0.22,0.28,0.28,1501538,,,
Odisha,Sambalpur,NABAKISHORE PRADHAN,MALE,56,GENERAL,SUCI,Glass tumbler,1200815,1184264,3151,6,3157,0.21,0.26,0.27,1501538,,,
Odisha,Sambalpur,ATMA RAM SUPKAR,MALE,65,GENERAL,IND,Air conditioner,1200815,1184264,2053,6,2059,0.14,0.17,0.17,1501538,,,
Odisha,Sambalpur,PURUSHOTTAM PATRA,MALE,58,SC,KJD,Pot,1200815,1184264,1731,4,1735,0.12,0.14,0.15,1501538,,,
Odisha,Sambalpur,RAKESH BAG,MALE,35,SC,BNARP,Ganna kisan,1200815,1184264,1704,4,1708,0.11,0.14,0.14,1501538,,,
Odisha,Sambalpur,SUBASH MOHAPATRA,MALE,50,GENERAL,NJNDL,Letter box,1200815,1184264,1669,24,1693,0.11,0.14,0.14,1501538,,,
Odisha,Sambalpur,LAXMAN KUMAR BHOI,MALE,56,SC,PCHVP,Table,1200815,1184264,1662,20,1682,0.11,0.14,0.14,1501538,,,
Odisha,Sambalpur,KHAGESWAR BEHERA,MALE,77,SC,RSHTMNVP,Nagrik,1200815,1184264,1492,3,1495,0.1,0.12,0.13,1501538,,,
Odisha,Keonjhar,ANANTA NAYAK,MALE,55,ST,BJP,Lotus,1258771,1231852,571133,2790,573923,36.1,45.59,46.59,1589941,,,
Odisha,Keonjhar,DHANURJAYA SIDU,MALE,58,ST,BJD,Conch,1258771,1231852,476206,675,476881,29.99,37.88,38.71,1589941,,,
Odisha,Keonjhar,BINOD BIHARI NAIK,MALE,42,ST,INC,Hand,1258771,1231852,104944,334,105278,6.62,8.36,8.55,1589941,,,
Odisha,Keonjhar,JOHN MIRAN MUNDA,MALE,46,ST,IND,Auto- rickshaw,1258771,1231852,31729,7,31736,2,2.52,2.58,1589941,,,
Odisha,Keonjhar,NOTA,,,,NOTA,NOTA,1258771,1231852,24746,17,24763,1.56,1.97,2.01,1589941,,,
Odisha,Keonjhar,SAHEBA JUANGA,MALE,41,ST,MLD,Diamond,1258771,1231852,11040,3,11043,0.69,0.88,0.9,1589941,,,
Odisha,Keonjhar,SUSHANT KUMAR NAIK,MALE,52,ST,IND,Pot,1258771,1231852,9041,3,9044,0.57,0.72,0.73,1589941,,,
Odisha,Keonjhar,LAMBODAR NAIK,MALE,38,ST,IND,Scissors,1258771,1231852,6778,0,6778,0.43,0.54,0.55,1589941,,,
Odisha,Keonjhar,HARIHAR MUNDA,MALE,41,ST,SUCI,Glass tumbler,1258771,1231852,6569,5,6574,0.41,0.52,0.53,1589941,,,
Odisha,Keonjhar,RAGHUMANI NAIK,MALE,60,ST,IND,Cot,1258771,1231852,4550,6,4556,0.29,0.36,0.37,1589941,,,
Odisha,Keonjhar,RAM PRASAD HEMBRAM,MALE,46,ST,BSP,Elephant,1258771,1231852,3884,11,3895,0.24,0.31,0.32,1589941,,,
Odisha,Keonjhar,PITABASA NAIK,MALE,32,ST,AJSUP,Banana,1258771,1231852,2141,3,2144,0.13,0.17,0.17,1589941,,,
Odisha,Mayurbhanj,NABA CHARAN MAJHI,MALE,62,ST,BJP,Lotus,1178141,1154097,580579,5392,585971,37.9,49.74,50.77,1546274,,,
Odisha,Mayurbhanj,SUDAM MARNDI,MALE,56,ST,BJD,Conch,1178141,1154097,364745,1892,366637,23.71,31.12,31.77,1546274,,,
Odisha,Mayurbhanj,ANJANI SOREN,FEMALE,52,ST,JMM,Bow & arrow,1178141,1154097,134713,686,135399,8.76,11.49,11.73,1546274,,,
Odisha,Mayurbhanj,NOTA,,,,NOTA,NOTA,1178141,1154097,19853,100,19953,1.29,1.69,1.73,1546274,,,
Odisha,Mayurbhanj,RABINDRA NATH SINGH,MALE,64,ST,IND,Pot,1178141,1154097,9282,42,9324,0.6,0.79,0.81,1546274,,,
Odisha,Mayurbhanj,ASHOK KUMAR SING,MALE,30,ST,IND,Stool,1178141,1154097,8918,35,8953,0.58,0.76,0.78,1546274,,,
Odisha,Mayurbhanj,JATIA SAWAYAN,MALE,56,ST,BSP,Elephant,1178141,1154097,8457,45,8502,0.55,0.72,0.74,1546274,,,
Odisha,Mayurbhanj,SANTILATA CHATTAR,FEMALE,51,ST,IND,Cot,1178141,1154097,8448,29,8477,0.55,0.72,0.73,1546274,,,
Odisha,Mayurbhanj,PITAMBAR NAIK,MALE,46,ST,SUCI,Saw,1178141,1154097,8070,44,8114,0.52,0.69,0.7,1546274,,,
Odisha,Mayurbhanj,ANTA ALOK BASKEY,MALE,53,ST,AJSUP,Banana,1178141,1154097,5386,8,5394,0.35,0.46,0.47,1546274,,,
Odisha,Mayurbhanj,BAJUN HANSDA,MALE,36,ST,IND,Football player,1178141,1154097,5304,18,5322,0.34,0.45,0.46,1546274,,,
Odisha,Mayurbhanj,KANHU CHARAN TUDU,MALE,62,ST,IND,Bench,1178141,1154097,5103,35,5138,0.33,0.44,0.45,1546274,,,
Odisha,Mayurbhanj,SUKANTA HEMBRAM,MALE,38,ST,BNARP,Ganna kisan,1178141,1154097,3636,20,3656,0.24,0.31,0.32,1546274,,,
Odisha,Mayurbhanj,GURU CHARAN HEMBRAM,MALE,54,ST,BHRJWNKP,Gift pack,1178141,1154097,3175,35,3210,0.21,0.27,0.28,1546274,,,
Odisha,Balasore,PRATAP CHANDRA SARANGI,MALE,69,GENERAL,BJP,Lotus,1240999,1231339,561211,2275,563486,35,45.41,45.76,1610043,,,
Odisha,Balasore,LEKHASRI SAMANTSINGHAR,FEMALE,53,GENERAL,BJD,Conch,1240999,1231339,415543,792,416335,25.86,33.55,33.81,1610043,,,
Odisha,Balasore,SHRIKANTA JENA,MALE,73,GENERAL,INC,Hand,1240999,1231339,235925,926,236851,14.71,19.09,19.24,1610043,,,
Odisha,Balasore,NOTA,,,,NOTA,NOTA,1240999,1231339,7326,17,7343,0.46,0.59,0.6,1610043,,,
Odisha,Balasore,RAJAT KUMAR BEHERA,MALE,52,SC,BSP,Elephant,1240999,1231339,2906,7,2913,0.18,0.23,0.24,1610043,,,
Odisha,Balasore,GOBINDA CHANDRA BHOI,MALE,58,GENERAL,NAPt,Apple,1240999,1231339,2635,0,2635,0.16,0.21,0.21,1610043,,,
Odisha,Balasore,SURYAKANTA DASMOHAPATRA,MALE,46,GENERAL,IND,Gas cylinder,1240999,1231339,2151,5,2156,0.13,0.17,0.18,1610043,,,
Odisha,Balasore,MAHAMEGHABAHAN AIRA KHARABELA SWAIN,MALE,72,GENERAL,IND,Balloon,1240999,1231339,1859,5,1864,0.12,0.15,0.15,1610043,,,
Odisha,Balasore,PRAMOD KUMAR PATTAYAT,MALE,74,SC,IND,Nagrik,1240999,1231339,1633,2,1635,0.1,0.13,0.13,1610043,,,
Odisha,Balasore,BIREN PUHAN,MALE,42,GENERAL,KRUP,Chappals,1240999,1231339,1446,2,1448,0.09,0.12,0.12,1610043,,,
Odisha,Balasore,DEEPAK SANKAR THAKUR GIRI,MALE,29,GENERAL,IND,Auto- rickshaw,1240999,1231339,1187,3,1190,0.07,0.1,0.1,1610043,,,
Odisha,Balasore,AKHIL KUMAR MOHANTA,MALE,43,GENERAL,IND,Water tank,1240999,1231339,825,1,826,0.05,0.07,0.07,1610043,,,
Odisha,Bhadrak,AVIMANYU SETHI,MALE,53,SC,BJP,Lotus,1303583,1291899,569705,3614,573319,32.32,43.98,44.38,1773928,,,
Odisha,Bhadrak,MANJULATA MANDAL,FEMALE,47,SC,BJD,Conch,1303583,1291899,480105,1670,481775,27.16,36.96,37.29,1773928,,,
Odisha,Bhadrak,ANANTA PRASAD SETHI,MALE,76,SC,INC,Hand,1303583,1291899,221020,854,221874,12.51,17.02,17.17,1773928,,,
Odisha,Bhadrak,NOTA,,,,NOTA,NOTA,1303583,1291899,5457,21,5478,0.31,0.42,0.42,1773928,,,
Odisha,Bhadrak,KIRTAN BIHARI MALIK,MALE,70,SC,SUCI,Glass tumbler,1303583,1291899,4879,1,4880,0.28,0.37,0.38,1773928,,,
Odisha,Bhadrak,ADV. ARJUN CHARAN MALLIK,MALE,71,SC,BSP,Elephant,1303583,1291899,3581,23,3604,0.2,0.28,0.28,1773928,,,
Odisha,Bhadrak,ANJAN DAS,MALE,41,SC,APoI,Coat,1303583,1291899,3512,5,3517,0.2,0.27,0.27,1773928,,,
Odisha,Bhadrak,BASANTA KUMAR MAHALIK,MALE,58,SC,IND,Nagrik,1303583,1291899,1527,3,1530,0.09,0.12,0.12,1773928,,,
Odisha,Bhadrak,SARBESWAR BEHERA,MALE,57,SC,IND,Road roller,1303583,1291899,1397,3,1400,0.08,0.11,0.11,1773928,,,
Odisha,Jajpur,RABINDRA NARAYAN BEHERA,MALE,61,SC,BJP,Lotus,1161596,1154420,528959,5280,534239,34.5,45.99,46.28,1548594,,,
Odisha,Jajpur,SARMISTHA SETHI,FEMALE,50,SC,BJD,Conch,1161596,1154420,529428,3224,532652,34.4,45.86,46.14,1548594,,,
Odisha,Jajpur,ANCHAL DAS,MALE,68,SC,INC,Hand,1161596,1154420,52455,690,53145,3.43,4.58,4.6,1548594,,,
Odisha,Jajpur,SUBASH CHANDRA MALLIK,MALE,59,SC,SUCI,Glass tumbler,1161596,1154420,17955,52,18007,1.16,1.55,1.56,1548594,,,
Odisha,Jajpur,NOTA,,,,NOTA,NOTA,1161596,1154420,6738,50,6788,0.44,0.58,0.59,1548594,,,
Odisha,Jajpur,ER. SANDHYA RANI MALLICK,FEMALE,35,SC,BSP,Elephant,1161596,1154420,3189,29,3218,0.21,0.28,0.28,1548594,,,
Odisha,Jajpur,BHAIRABA PRASAD BEHERA,MALE,41,SC,IND,Kettle,1161596,1154420,2398,5,2403,0.16,0.21,0.21,1548594,,,
Odisha,Jajpur,SUMANTA MALIK,MALE,31,SC,IND,Matchbox,1161596,1154420,2295,6,2301,0.15,0.2,0.2,1548594,,,
Odisha,Jajpur,BIDYADHAR DALEI,MALE,34,SC,APoI,Coat,1161596,1154420,2172,0,2172,0.14,0.19,0.19,1548594,,,
Odisha,Jajpur,JHUNA MALIK,FEMALE,40,SC,MLD,Diamond,1161596,1154420,2075,2,2077,0.13,0.18,0.18,1548594,,,
Odisha,Jajpur,ARTTATRANA MALIK,MALE,47,SC,IND,Cot,1161596,1154420,1234,18,1252,0.08,0.11,0.11,1548594,,,
Odisha,Jajpur,NARENDRA MALIKA,MALE,56,SC,IND,Sitar,1161596,1154420,1119,0,1119,0.07,0.1,0.1,1548594,,,
Odisha,Jajpur,MANTU SETHI,MALE,30,SC,JNTADRBARP,Hockey and ball,1161596,1154420,954,2,956,0.06,0.08,0.08,1548594,,,
Odisha,Jajpur,BINOD KUMAR JENA,MALE,32,SC,GNASURKP,Battery Torch,1161596,1154420,876,3,879,0.06,0.08,0.08,1548594,,,
Odisha,Dhenkanal,RUDRA NARAYAN PANY,MALE,65,GENERAL,BJP,Lotus,1202003,1177896,593907,4814,598721,39.04,49.81,50.83,1533702,,,
Odisha,Dhenkanal,ABINASH SAMAL,MALE,36,GENERAL,BJD,Conch,1202003,1177896,520144,2010,522154,34.05,43.44,44.33,1533702,,,
Odisha,Dhenkanal,SASHMITA BEHERA,FEMALE,52,GENERAL,INC,Hand,1202003,1177896,34052,678,34730,2.26,2.89,2.95,1533702,,,
Odisha,Dhenkanal,NOTA,,,,NOTA,NOTA,1202003,1177896,13731,46,13777,0.9,1.15,1.17,1533702,,,
Odisha,Dhenkanal,PRAFULLA KUMAR NAIK,MALE,48,SC,BSP,Elephant,1202003,1177896,4850,45,4895,0.32,0.41,0.42,1533702,,,
Odisha,Dhenkanal,MAHESWAR SAHOO,MALE,40,GENERAL,IND,Camera,1202003,1177896,4614,15,4629,0.3,0.39,0.39,1533702,,,
Odisha,Dhenkanal,MANASI SWAIN,FEMALE,41,GENERAL,SUCI,Glass tumbler,1202003,1177896,3376,8,3384,0.22,0.28,0.29,1533702,,,
Odisha,Dhenkanal,PRIYABRATA GARNAIK,MALE,43,GENERAL,IND,Bat,1202003,1177896,2904,5,2909,0.19,0.24,0.25,1533702,,,
Odisha,Dhenkanal,JANARDAN NAIK,MALE,49,SC,IND,Ship,1202003,1177896,2647,6,2653,0.17,0.22,0.23,1533702,,,
Odisha,Dhenkanal,KAILAS CHANDRA PRADHAN,MALE,43,GENERAL,IND,Dish antenna,1202003,1177896,2205,8,2213,0.14,0.18,0.19,1533702,,,
Odisha,Dhenkanal,SWAPNA RANI JAMES,FEMALE,49,GENERAL,US,Boat with man and sail,1202003,1177896,1603,5,1608,0.1,0.13,0.14,1533702,,,
Odisha,Bolangir,SANGEETA KUMARI SINGH DEO,FEMALE,62,GENERAL,BJP,Lotus,1404453,1384184,614196,3548,617744,34.25,43.98,44.63,1803544,,,
Odisha,Bolangir,SURENDRA SINGH BHOI,MALE,62,GENERAL,BJD,Conch,1404453,1384184,483964,1116,485080,26.9,34.54,35.04,1803544,,,
Odisha,Bolangir,MANOJ KUMAR MISHRA,MALE,55,GENERAL,INC,Hand,1404453,1384184,229577,1297,230874,12.8,16.44,16.68,1803544,,,
Odisha,Bolangir,NOTA,,,,NOTA,NOTA,1404453,1384184,16010,54,16064,0.89,1.14,1.16,1803544,,,
Odisha,Bolangir,SUNIL KUMAR BHOI,MALE,37,GENERAL,SUCI,Glass tumbler,1404453,1384184,10334,21,10355,0.57,0.74,0.75,1803544,,,
Odisha,Bolangir,JAGADISH CHANDRA BIBHAR,MALE,59,SC,BSP,Elephant,1404453,1384184,9404,65,9469,0.53,0.67,0.68,1803544,,,
Odisha,Bolangir,BALRAM SINGH YADAV,MALE,55,GENERAL,IND,Stool,1404453,1384184,8637,37,8674,0.48,0.62,0.63,1803544,,,
Odisha,Bolangir,MADHUSUDAN BARIK,MALE,42,SC,APoI,Coat,1404453,1384184,7239,13,7252,0.4,0.52,0.52,1803544,,,
Odisha,Bolangir,BALARAM SA,MALE,52,SC,IND,Cauliflower,1404453,1384184,6092,5,6097,0.34,0.43,0.44,1803544,,,
Odisha,Bolangir,AKSHAYA DISHRI,MALE,50,GENERAL,NAPt,Apple,1404453,1384184,5465,4,5469,0.3,0.39,0.4,1803544,,,
