33 - CONSTITUENCY WISE DETAILED RESULT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Votes Secured,,,% of Votes Secured,,,,,,
State Name,PC Name,Candidate Name,Gender,Age,Category,Party Name,Party Symbol,"Total Votes Polled In
The Constituency",Valid Votes,General,Postal,Total,Over Total Electors In Constituency,Over Total Votes Polled In Constituency,Over Total Valid Votes Polled In Constituency,Total Electors,,,
Andhra Pradesh,Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),MALE,56,GENERAL,BJP,Lotus,1232553,1223597,699382,8118,707500,48,57.4,57.82,1473811,,,
Andhra Pradesh,Narsapuram,UMABALA GUDURI,FEMALE,57,GENERAL,YSRCP,Ceiling fan,1232553,1223597,426037,4599,430636,29.22,34.94,35.19,1473811,,,
Andhra Pradesh,Narsapuram,K.B.R.NAIDU,MALE,64,GENERAL,INC,Hand,1232553,1223597,34298,939,35237,2.39,2.86,2.88,1473811,,,
Andhra Pradesh,Narsapuram,NOTA,,,,NOTA,NOTA,1232553,1223597,7554,125,7679,0.52,0.62,0.63,1473811,,,
Andhra Pradesh,Narsapuram,PRASANNA KUMAR UNDURTHI,MALE,33,SC,IND,Diamond,1232553,1223597,6350,15,6365,0.43,0.52,0.52,1473811,,,
Andhra Pradesh,Narsapuram,SIRRA RAJU,MALE,56,SC,BSP,Elephant,1232553,1223597,5945,71,6016,0.41,0.49,0.49,1473811,,,
Andhra Pradesh,Narsapuram,MEDAPATI VENKATA VARAHALA REDDY,MALE,49,GENERAL,IND,Chappals,1232553,1223597,5966,3,5969,0.41,0.48,0.49,1473811,,,
Andhra Pradesh,Narsapuram,BALAGAM NAYAKAR,MALE,51,GENERAL,IND,Bucket,1232553,1223597,5232,8,5240,0.36,0.43,0.43,1473811,,,
Andhra Pradesh,Narsapuram,NALLI RAJESH,MALE,41,SC,IND,Air conditioner,1232553,1223597,4684,0,4684,0.32,0.38,0.38,1473811,,,
Andhra Pradesh,Narsapuram,KETHA SREENU,MALE,43,GENERAL,IND,Baby walker,1232553,1223597,3140,5,3145,0.21,0.26,0.26,1473811,,,
Andhra Pradesh,Narsapuram,OLETY NAGENDRA KRISHNA,MALE,55,GENERAL,JRBP,Coat,1232553,1223597,3112,4,3116,0.21,0.25,0.25,1473811,,,
Andhra Pradesh,Narsapuram,ADDEPALLI VEERA VENKAT SUBBA RAO,MALE,36,GENERAL,IND,Almirah,1232553,1223597,2781,3,2784,0.19,0.23,0.23,1473811,,,
Andhra Pradesh,Narsapuram,ANAND CHANDULAL JASTI,MALE,68,GENERAL,IND,Slate,1232553,1223597,2726,0,2726,0.18,0.22,0.22,1473811,,,
