state_slug,pc_name_normalized,tcpd_reservation,eci_2024_derived_reservation,agreement
bihar,samastipur,SC,SC,AGREE
bihar,samastipur (sc),SC,,TCPD_ONLY
bihar,saran,GEN,GEN,AGREE
bihar,sasaram,SC,SC,AGREE
bihar,sasaram (sc),SC,,TCPD_ONLY
bihar,sheohar,GEN,GEN,AGREE
bihar,sitamarhi,GEN,GEN,AGREE
bihar,siwan,GEN,GEN,AGREE
bihar,supaul,GEN,GEN,AGREE
bihar,ujiarpur,GEN,GEN,AGREE
bihar,vaishali,GEN,GEN,AGREE
bihar,valmiki nagar,GEN,GEN,AGREE
chandigarh,chandigarh,GEN,GEN,AGREE
chhattisgarh,bastar,ST,ST,AGREE
chhattisgarh,bilaspur,GEN,GEN,AGREE
chhattisgarh,durg,GEN,GEN,AGREE
chhattisgarh,janjgir champa,SC,SC,AGREE
chhattisgarh,kanker,ST,ST,AGREE
chhattisgarh,korba,GEN,GEN,AGREE
chhattisgarh,mahasamund,GEN,GEN,AGREE
chhattisgarh,raigarh,ST,ST,AGREE
chhattisgarh,raipur,GEN,GEN,AGREE
chhattisgarh,rajnandgaon,GEN,GEN,AGREE
chhattisgarh,sarguja,ST,,TCPD_ONLY
chhattisgarh,surguja,,ST,ECI_ONLY
dadra-and-nagar-haveli-and-daman-and-diu,dadar & nagar haveli,ST,ST,AGREE
dadra-and-nagar-haveli-and-daman-and-diu,dadra and nagar haveli,ST,,TCPD_ONLY
dadra-and-nagar-haveli-and-daman-and-diu,daman & diu,GEN,GEN,AGREE
delhi,chandni chowk,GEN,GEN,AGREE
delhi,east delhi,GEN,GEN,AGREE
delhi,new delhi,GEN,GEN,AGREE
delhi,north east delhi,GEN,GEN,AGREE
delhi,north west delhi,SC,SC,AGREE
delhi,south delhi,GEN,GEN,AGREE
delhi,west delhi,GEN,GEN,AGREE
goa,north goa,GEN,GEN,AGREE
goa,south goa,GEN,GEN,AGREE
gujarat,ahmedabad east,GEN,GEN,AGREE
gujarat,ahmedabad west,SC,SC,AGREE
gujarat,amreli,GEN,GEN,AGREE
gujarat,anand,GEN,GEN,AGREE
gujarat,banaskantha,GEN,GEN,AGREE
gujarat,bardoli,ST,ST,AGREE
gujarat,bharuch,GEN,GEN,AGREE
gujarat,bhavnagar,GEN,GEN,AGREE
gujarat,chhota udaipur,ST,ST,AGREE
gujarat,dahod,ST,ST,AGREE
gujarat,gandhinagar,GEN,GEN,AGREE
gujarat,jamnagar,GEN,GEN,AGREE
gujarat,junagadh,GEN,GEN,AGREE
gujarat,kachchh,SC,SC,AGREE
gujarat,kheda,GEN,GEN,AGREE
gujarat,mahesana,GEN,GEN,AGREE
gujarat,navsari,GEN,GEN,AGREE
gujarat,panchmahal,GEN,GEN,AGREE
gujarat,patan,GEN,GEN,AGREE
gujarat,porbandar,GEN,GEN,AGREE
gujarat,rajkot,GEN,GEN,AGREE
gujarat,sabarkantha,GEN,GEN,AGREE
gujarat,surat,GEN,,TCPD_ONLY
gujarat,surendranagar,GEN,GEN,AGREE
gujarat,vadodara,GEN,GEN,AGREE
gujarat,valsad,ST,ST,AGREE
haryana,ambala,SC,SC,AGREE
haryana,bhiwani mahendragarh,GEN,GEN,AGREE
haryana,faridabad,GEN,GEN,AGREE
haryana,gurgaon,GEN,GEN,AGREE
haryana,hisar,GEN,GEN,AGREE
haryana,karnal,GEN,GEN,AGREE
haryana,kurukshetra,GEN,GEN,AGREE
haryana,rohtak,GEN,GEN,AGREE
haryana,sirsa,SC,SC,AGREE
haryana,sonipat,GEN,GEN,AGREE
himachal-pradesh,hamirpur,GEN,GEN,AGREE
himachal-pradesh,kangra,GEN,GEN,AGREE
himachal-pradesh,mandi,GEN,GEN,AGREE
himachal-pradesh,shimla,SC,SC,AGREE
jammu-and-kashmir,anantnag,GEN,,TCPD_ONLY
jammu-and-kashmir,anantnag rajouri,,GEN,ECI_ONLY
jammu-and-kashmir,baramulla,GEN,GEN,AGREE
jammu-and-kashmir,jammu,GEN,GEN,AGREE
jammu-and-kashmir,ladakh,GEN,,TCPD_ONLY
jammu-and-kashmir,srinagar,GEN,GEN,AGREE
jammu-and-kashmir,udhampur,GEN,GEN,AGREE
jharkhand,chatra,GEN,GEN,AGREE
jharkhand,dhanbad,GEN,GEN,AGREE
jharkhand,dumka,ST,ST,AGREE
jharkhand,giridih,GEN,GEN,AGREE
jharkhand,godda,GEN,GEN,AGREE
jharkhand,hazaribagh,GEN,GEN,AGREE
jharkhand,jamshedpur,GEN,GEN,AGREE
jharkhand,khunti,ST,ST,AGREE
jharkhand,kodarma,GEN,GEN,AGREE
jharkhand,lohardaga,ST,ST,AGREE
jharkhand,palamau,SC,,TCPD_ONLY
jharkhand,palamu,,SC,ECI_ONLY
jharkhand,rajmahal,ST,ST,AGREE
jharkhand,ranchi,GEN,GEN,AGREE
jharkhand,singhbhum,ST,ST,AGREE
karnataka,bagalkot,GEN,GEN,AGREE
karnataka,bangalore central,GEN,GEN,AGREE
karnataka,bangalore north,GEN,GEN,AGREE
karnataka,bangalore rural,GEN,GEN,AGREE
karnataka,bangalore south,GEN,GEN,AGREE
karnataka,belgaum,GEN,GEN,AGREE
karnataka,bellary,ST,ST,AGREE
karnataka,bellory,ST,,TCPD_ONLY
karnataka,bidar,GEN,GEN,AGREE
karnataka,bijapur,SC,SC,AGREE
karnataka,chamarajanagar,SC,SC,AGREE
karnataka,chikkballapur,GEN,GEN,AGREE
karnataka,chikkodi,GEN,GEN,AGREE
karnataka,chitradurga,SC,SC,AGREE
karnataka,dakshina kannada,GEN,GEN,AGREE
karnataka,davanagere,GEN,GEN,AGREE
karnataka,dharwad,GEN,GEN,AGREE
karnataka,gulbarga,SC,SC,AGREE
karnataka,hassan,GEN,GEN,AGREE
karnataka,haveri,GEN,GEN,AGREE
karnataka,kolar,SC,SC,AGREE
karnataka,koppal,GEN,GEN,AGREE
karnataka,mandya,GEN,GEN,AGREE
karnataka,mysore,GEN,GEN,AGREE
karnataka,raichur,ST,ST,AGREE
karnataka,shimoga,GEN,GEN,AGREE
karnataka,tumkur,GEN,GEN,AGREE
karnataka,udupi chikmagalur,GEN,GEN,AGREE
karnataka,uttara kannada,GEN,GEN,AGREE
kerala,alappuzha,GEN,GEN,AGREE
kerala,alathur,SC,SC,AGREE
kerala,attingal,GEN,GEN,AGREE
kerala,chalakudy,GEN,GEN,AGREE
kerala,ernakulam,GEN,GEN,AGREE
kerala,idukki,GEN,GEN,AGREE
kerala,kannur,GEN,GEN,AGREE
kerala,kasaragod,GEN,GEN,AGREE
kerala,kollam,GEN,GEN,AGREE
kerala,kottayam,GEN,GEN,AGREE
kerala,kozhikode,GEN,GEN,AGREE
kerala,malappuram,GEN,GEN,AGREE
kerala,"malappuram , district, malappuram",GEN,,TCPD_ONLY
kerala,mavelikkara,SC,SC,AGREE
kerala,palakkad,GEN,GEN,AGREE
kerala,pathanamthitta,GEN,GEN,AGREE
kerala,ponnani,GEN,GEN,AGREE
kerala,thiruvananthapuram,GEN,GEN,AGREE
kerala,thrissur,GEN,GEN,AGREE
kerala,vadakara,GEN,GEN,AGREE
kerala,wayanad,GEN,GEN,AGREE
ladakh,ladakh,,ST,ECI_ONLY
lakshadweep,lakshadweep,ST,ST,AGREE
madhya-pradesh,balaghat,GEN,GEN,AGREE
madhya-pradesh,betul,ST,ST,AGREE
madhya-pradesh,bhind,SC,SC,AGREE
madhya-pradesh,bhopal,GEN,GEN,AGREE
madhya-pradesh,chhindwara,GEN,GEN,AGREE
madhya-pradesh,damoh,GEN,GEN,AGREE
madhya-pradesh,dewas,SC,SC,AGREE
madhya-pradesh,dhar,ST,ST,AGREE
madhya-pradesh,guna,GEN,GEN,AGREE
madhya-pradesh,gwalior,GEN,GEN,AGREE
madhya-pradesh,hoshangabad,GEN,GEN,AGREE
madhya-pradesh,indore,GEN,GEN,AGREE
madhya-pradesh,jabalpur,GEN,GEN,AGREE
madhya-pradesh,khajuraho,GEN,GEN,AGREE
madhya-pradesh,khandwa,GEN,GEN,AGREE
madhya-pradesh,khargone,ST,ST,AGREE
