external_key,external_short,external_full,proposed_party_id,current_party_id,action,n_oracles_present,n_oracles_agreeing,oracles_agreeing,oracles_disagreeing,verdict,curator_note,curator_source_id
CPM,CPM,Communist Party of India (Marxist),parties.IN.CPIM,parties.IN.CPIM,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
CPIML,CPIML,Communist Party of India (Marxist-Leninist) Liberation,parties.IN.CPIMLL,parties.IN.CPIMLL,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
DMDK,DMDK,Desiya Murpokku Dravida Kazhagam,parties.IN.DMDK,parties.IN.DMDK,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
DMK,DMK,Dravida Munnetra Kazhagam,parties.IN.DMK,parties.IN.DMK,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
GFP,GFP,Goa Forward Party,parties.IN.GFP,parties.IN.GFP,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
HAMS,HAMS,Hindustani Awam Morcha (Secular),parties.IN.HAM_SECULAR,parties.IN.HAM_SECULAR,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
INC,INC,Indian National Congress,parties.IN.INC,parties.IN.INC,match,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
INLD,INLD,Indian National Lok Dal,parties.IN.INLD,parties.IN.INLD,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
IPFT,IPFT,Indigenous People's Front of Tripura,parties.IN.IPFT,parties.IN.IPFT,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
IUML,IUML,Indian Union Muslim League,parties.IN.IUML,parties.IN.IUML,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
JDS,JDS,Janata Dal (Secular),parties.IN.JDS,parties.IN.JDS,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
JDU,JDU,Janata Dal (United),parties.IN.JDU,parties.IN.JDU,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
JJP,JJP,Jannayak Janata Party,parties.IN.JJP,parties.IN.JJP,enrich,2,2,eci-registered|yen-gov-canonical,,VERIFIED,,
