ac_entity_id,parent_pc_entity_id,parent_pc_eci_no,match_method,overlap_frac,source_id
IN-AC-2008-delhi-eci35,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.9511,src-7cd5269de2e7
IN-AC-2008-delhi-eci36,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.8511,src-7cd5269de2e7
IN-AC-2008-delhi-eci37,IN-PC-2008-delhi-eci6,6,geometric_overlap,0.9945,src-7cd5269de2e7
IN-AC-2008-delhi-eci38,IN-PC-2008-delhi-eci4,4,geometric_overlap,0.9901,src-7cd5269de2e7
IN-AC-2008-delhi-eci39,IN-PC-2008-delhi-eci4,4,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci4,IN-PC-2008-delhi-eci1,1,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci40,IN-PC-2008-delhi-eci4,4,geometric_overlap,0.989,src-7cd5269de2e7
IN-AC-2008-delhi-eci41,IN-PC-2008-delhi-eci3,3,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci42,IN-PC-2008-delhi-eci4,4,geometric_overlap,0.9923,src-7cd5269de2e7
IN-AC-2008-delhi-eci43,IN-PC-2008-delhi-eci4,4,geometric_overlap,0.9082,src-7cd5269de2e7
IN-AC-2008-delhi-eci44,IN-PC-2008-delhi-eci4,4,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci45,IN-PC-2008-delhi-eci7,7,geometric_overlap,0.8473,src-7cd5269de2e7
IN-AC-2008-delhi-eci46,IN-PC-2008-delhi-eci7,7,geometric_overlap,0.8854,src-7cd5269de2e7
IN-AC-2008-delhi-eci47,IN-PC-2008-delhi-eci7,7,geometric_overlap,0.9306,src-7cd5269de2e7
IN-AC-2008-delhi-eci48,IN-PC-2008-delhi-eci7,7,geometric_overlap,0.8825,src-7cd5269de2e7
IN-AC-2008-delhi-eci49,IN-PC-2008-delhi-eci7,7,geometric_overlap,0.9799,src-7cd5269de2e7
IN-AC-2008-delhi-eci5,IN-PC-2008-delhi-eci5,5,geometric_overlap,0.9971,src-7cd5269de2e7
IN-AC-2008-delhi-eci50,IN-PC-2008-delhi-eci4,4,geometric_overlap,0.8609,src-7cd5269de2e7
IN-AC-2008-delhi-eci51,IN-PC-2008-delhi-eci7,7,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci52,IN-PC-2008-delhi-eci7,7,geometric_overlap,0.9591,src-7cd5269de2e7
IN-AC-2008-delhi-eci53,IN-PC-2008-delhi-eci7,7,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci54,IN-PC-2008-delhi-eci3,3,geometric_overlap,0.9094,src-7cd5269de2e7
IN-AC-2008-delhi-eci55,IN-PC-2008-delhi-eci3,3,geometric_overlap,0.999,src-7cd5269de2e7
IN-AC-2008-delhi-eci56,IN-PC-2008-delhi-eci3,3,geometric_overlap,0.8603,src-7cd5269de2e7
IN-AC-2008-delhi-eci57,IN-PC-2008-delhi-eci3,3,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci58,IN-PC-2008-delhi-eci3,3,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci59,IN-PC-2008-delhi-eci3,3,geometric_overlap,0.998,src-7cd5269de2e7
IN-AC-2008-delhi-eci6,IN-PC-2008-delhi-eci5,5,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci60,IN-PC-2008-delhi-eci3,3,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci61,IN-PC-2008-delhi-eci3,3,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci62,IN-PC-2008-delhi-eci3,3,geometric_overlap,0.8215,src-7cd5269de2e7
IN-AC-2008-delhi-eci63,IN-PC-2008-delhi-eci2,2,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci64,IN-PC-2008-delhi-eci2,2,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci65,IN-PC-2008-delhi-eci2,2,geometric_overlap,0.8313,src-7cd5269de2e7
IN-AC-2008-delhi-eci66,IN-PC-2008-delhi-eci2,2,geometric_overlap,0.8828,src-7cd5269de2e7
IN-AC-2008-delhi-eci67,IN-PC-2008-delhi-eci2,2,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci68,IN-PC-2008-delhi-eci2,2,geometric_overlap,0.8607,src-7cd5269de2e7
IN-AC-2008-delhi-eci69,IN-PC-2008-delhi-eci2,2,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci7,IN-PC-2008-delhi-eci5,5,geometric_overlap,0.9236,src-7cd5269de2e7
IN-AC-2008-delhi-eci70,IN-PC-2008-delhi-eci2,2,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-delhi-eci8,IN-PC-2008-delhi-eci5,5,geometric_overlap,0.9319,src-7cd5269de2e7
IN-AC-2008-delhi-eci9,IN-PC-2008-delhi-eci5,5,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-goa-eci24,IN-PC-2008-goa-481,2,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-gujarat-eci68,IN-PC-2008-gujarat-354,10,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-gujarat-eci79,IN-PC-2008-gujarat-345,12,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-haryana-eci25,IN-PC-2008-haryana-35,5,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-haryana-eci43,IN-PC-2008-haryana-38,3,geometric_overlap,0.9837,src-7cd5269de2e7
IN-AC-2008-haryana-eci52,IN-PC-2008-haryana-34,4,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-haryana-eci62,IN-PC-2008-haryana-37,7,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-haryana-eci88,IN-PC-2008-haryana-32,10,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-haryana-eci89,IN-PC-2008-haryana-32,10,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-jharkhand-eci44,IN-PC-2008-jharkhand-265,9,geometric_overlap,0.9769,src-7cd5269de2e7
IN-AC-2008-jharkhand-eci49,IN-PC-2008-jharkhand-265,9,soi_composition,1,src-7cd5269de2e7
IN-AC-2008-jharkhand-eci63,IN-PC-2008-jharkhand-271,8,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci11,IN-PC-2008-karnataka-457,2,geometric_overlap,0.9747,src-7cd5269de2e7
IN-AC-2008-karnataka-eci113,IN-PC-2008-karnataka-476,14,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci132,IN-PC-2008-karnataka-477,19,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci164,IN-PC-2008-karnataka-453,25,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci168,IN-PC-2008-karnataka-453,25,geometric_overlap,0.8876,src-7cd5269de2e7
IN-AC-2008-karnataka-eci170,IN-PC-2008-karnataka-456,26,geometric_overlap,0.8596,src-7cd5269de2e7
IN-AC-2008-karnataka-eci186,IN-PC-2008-karnataka-473,20,geometric_overlap,0.9694,src-7cd5269de2e7
IN-AC-2008-karnataka-eci203,IN-PC-2008-karnataka-465,17,geometric_overlap,0.8049,src-7cd5269de2e7
IN-AC-2008-karnataka-eci216,IN-PC-2008-karnataka-474,21,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci217,IN-PC-2008-karnataka-474,21,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci218,IN-PC-2008-karnataka-474,21,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci45,IN-PC-2008-karnataka-468,5,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci54,IN-PC-2008-karnataka-475,6,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci72,IN-PC-2008-karnataka-467,11,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci73,IN-PC-2008-karnataka-467,11,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-karnataka-eci74,IN-PC-2008-karnataka-467,11,geometric_overlap,1,src-7cd5269de2e7
IN-AC-2008-kerala-eci135,IN-PC-2008-kerala-499,20,geometric_overlap,0.9999,src-7cd5269de2e7
IN-AC-2008-kerala-eci28,IN-PC-2008-kerala-493,5,geometric_overlap,0.9152,src-7cd5269de2e7
IN-AC-2008-madhya-pradesh-eci62,IN-PC-2008-madhya-pradesh-328,9,geometric_overlap,0.9913,src-7cd5269de2e7
IN-AC-2008-maharashtra-eci107,IN-PC-2008-maharashtra-365,19,geometric_overlap,0.9683,src-7cd5269de2e7
IN-AC-2008-maharashtra-eci13,IN-PC-2008-maharashtra-377,3,geometric_overlap,1,src-7cd5269de2e7
