layer_id,level,entity_state,entity_district,entity_city,partition_path,format,crs,simplification_algorithm,simplification_tolerance_deg,original_feature_count,retained_feature_count,unkeyed_count,unkeyed_keys_json,size_bytes,source_id,notes,delimitation_vintage
boundaries.in.panchayats.state=in_s01.district=747,panchayat,S01,747,,boundaries/in/panchayats/state=in_s01/district=747/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,314,314,0,,1134846,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=748,panchayat,S01,748,,boundaries/in/panchayats/state=in_s01/district=748/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,543,543,0,,2159781,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=749,panchayat,S01,749,,boundaries/in/panchayats/state=in_s01/district=749/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,287,287,0,,1385904,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=750,panchayat,S01,750,,boundaries/in/panchayats/state=in_s01/district=750/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,271,271,0,,1166576,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=751,panchayat,S01,751,,boundaries/in/panchayats/state=in_s01/district=751/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,380,380,0,,1556867,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=752,panchayat,S01,752,,boundaries/in/panchayats/state=in_s01/district=752/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,722,722,0,,2209607,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=753,panchayat,S01,753,,boundaries/in/panchayats/state=in_s01/district=753/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,461,461,0,,2196163,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=754,panchayat,S01,754,,boundaries/in/panchayats/state=in_s01/district=754/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,388,388,0,,1556469,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s01.district=755,panchayat,S01,755,,boundaries/in/panchayats/state=in_s01/district=755/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,448,448,0,,1807565,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=280,panchayat,S03,280,,boundaries/in/panchayats/state=in_s03/district=280/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,225,225,0,,621973,src-a1dd899f902d,,
