party_id,short,full,eci_codes,brand_colour,symbol_asset,wikipedia,aliases,recognition_scope,home_state_codes,founded_year,dissolved_year,predecessor_party_ids,successor_party_ids,name_history,claims_to_parent_name,name_native_script,is_sentinel
parties.IN.DMDK,DMDK,Desiya Murpokku Dravida Kazhagam,581,,party-symbols/nagara.svg,,,state,IN-TN,2006,,,,,,,
parties.IN.DMK,DMK,Dravida Munnetra Kazhagam,582,#FA2223,party-symbols/rising-sun.svg,https://en.wikipedia.org/wiki/Dravida_Munnetra_Kazhagam,DRAVIDA MUNNETRA KAZHAGAM,state,IN-TN|IN-PY,1962,,,,,,,
parties.IN.DMM,DMM,DMM,,,,,,,,1989,,,,,,,
parties.IN.DMMK,DMMK,DMMK,,,,,,,,,,,,,,,
parties.IN.DMSK,DMSK,DMSK,,,,,,,,,,,,,,,
parties.IN.DONP,DONP,DONP,,,,,,,,2019,,,,,,,
parties.IN.DPI,DPI,DPI,,,,,DEPI,,,1991,,,,,,,
parties.IN.DRAVIDA_MURPOKKU_MAKKAL_KATCHI,Dravida Murpokku Makkal Katchi,Dravida Murpokku Makkal Katchi,,,,,,,,2021,,,,,,,
parties.IN.EDP,EDP,EDP,,,,,,,,2016,,,,,,,
parties.IN.ETMK,ETMK,ETMK,,,,,,,,,,,,,,,
parties.IN.EZHUCHI_TAMILARGAL_MUNNETRA_KAZHAGAM,Ezhuchi Tamilargal Munnetra Kazhagam,Ezhuchi Tamilargal Munnetra Kazhagam,,,,,,,,2014,,,,,,,
parties.IN.FDLP,FDLP,FDLP,,,,,,,,2016,,,,,,,
parties.IN.FIP,FIP,FIP,,,,,TFIP,,,2016,,,,,,,
parties.IN.GAAP,GAAP,GAAP,,,,,GAP,,,2014,,,,,,,
parties.IN.GANASANGAM_PARTY_OF_INDIA,Ganasangam Party of India,Ganasangam Party of India,,,,,,,,2016,,,,,,,
parties.IN.GAPP,GAPP,GAPP,,,,,,,,2016,,,,,,,
parties.IN.GFP,GFP,Goa Forward Party,,,party-symbols/coconut.svg,,,unrecognised_registered,IN-GA,2017,,,,,,,
parties.IN.GGP,GGP,GGP,,,,,,,,1993,,,,,,,
parties.IN.GJCP,GJCP,GJCP,,,,,,,,2017,,,,,,,
parties.IN.GJL,GJL,GJL,,,,,,,,1990,,,,,,,
parties.IN.GJP,GJP,GJP,,,,,,,,1989,,,,,,,
parties.IN.GKC,GKC,GKC,,,,,,,,1980,,,,,,,
parties.IN.GMI,GMI,GMI,,,,,,,,2016,,,,,,,
parties.IN.GMK,GMK,GMK,,,,,,,,1991,,,,,,,
parties.IN.GMS,GMS,GMS,,,,,,,,2008,,,,,,,
parties.IN.GOKMK,GOKMK,GOKMK,,,,,,,,2016,,,,,,,
parties.IN.GPI,GPI,GPI,,,,,,,,1989,,,,,,,
parties.IN.GPP,GPP,GPP,,,,,,,,2012,,,,,,,
parties.IN.GSP,GSP,GSP,,,,,,,,1995,,,,,,,
parties.IN.GYVP,GYVP,GYVP,,,,,,,,1999,,,,,,,
parties.IN.HAM_SECULAR,HAM(S),Hindustani Awam Morcha (Secular),,,,,HAMS,state,IN-BR,2015,,,,,,,
parties.IN.HAPA,HAPa,HAPa,,,,,,,,2017,,,,,,,
parties.IN.HBP,HBP,HBP,,,,,,,,2019,,,,,,,
parties.IN.HEAP,HEAP,HEAP,,,,,,,,2004,,,,,,,
parties.IN.HINDUSTAN_JANTA_PARTY,Hindustan Janta Party,Hindustan Janta Party,,,,,,,,,,,,,,,
parties.IN.HIPPA,HIPPA,HIPPA,,,,,,,,2014,,,,,,,
parties.IN.HISWP,HISWP,HISWP,,,,,,,,2009,,,,,,,
parties.IN.HJP,HJP,HJP,,,,,HJD|HJKP,,,1989,,,,,,,
parties.IN.HMS,HMS,HMS,,,,,,,,,,,,,,,
parties.IN.HND,HND,HND,,,,,HINDUSTHAN NIRMAN DAL,,,2010,,,,,,,
parties.IN.HRPI,HRPI,HRPI,,,,,,,,1996,,,,,,,
parties.IN.HSPDP,HSPDP,Hill State People's Democratic Party,,,,,HPD|HPDP|HPSD,state,,1978,,,,,,,
parties.IN.HSS,HSS,HSS,,,,,,,,1989,,,,,,,
parties.IN.ICF,ICF,ICF,,,,,,,,2016,,,,,,,
parties.IN.ICJ,ICJ,ICJ,,,,,,state,,1984,,,,,,,
parties.IN.ICJ_BG,ICJ(BG),ICJ(BG),,,,,,,,,,,,,,,
parties.IN.ICS,ICS,ICS,,,,,IC(S),state,,1982,,,,,,,
parties.IN.ICS_SCS,ICS(SCS),ICS(SCS),,,,,ICS (SCS),national,,1987,,,,,,,
parties.IN.IDMMK,IDMMK,IDMMK,,,,,,,,,,,,,,,
parties.IN.IDP,IDP,IDP,,,,,,,,1996,,,,,,,
parties.IN.IF,IF,IF,,,,,,,,2012,,,,,,,
parties.IN.IFT,IFT,IFT,,,,,,,,1989,,,,,,,
parties.IN.IFTP,IFTP,IFTP,,,,,,,,,,,,,,,
parties.IN.IJK,IJK,IJK,,,,,INDIYA JANANAYAKA KATCHI,,,2010,,,,,,,
parties.IN.IJP,IJP,IJP,,,,,,,,1989,,,,,,,
parties.IN.ILANTAMILAR_MUNNANI_KAZHAGAM,Ilantamilar Munnani Kazhagam,Ilantamilar Munnani Kazhagam,,,,,IMK,,,2019,,,,,,,
parties.IN.IML,IML,IML,,,,,,state,,1980,,,,,,,
parties.IN.INC,INC,Indian National Congress,742,#00BFFF,party-symbols/hand.svg,https://en.wikipedia.org/wiki/Indian_National_Congress,CON|CONG|INDIAN NATIONAL CONGRESS,national,,1962,,,,,,,
parties.IN.INCP,INCP,INCP,,,,,,,,2017,,,,,,,
parties.IN.INC_I,INC(I),INC(I),,,,,,,,,,,,,,,
parties.IN.INC_U,INC(U),INC(U),,,,,,national,,1980,,,,,,,
parties.IN.IND,IND,Independent,,,,,I|IIND|INDEPENDENT,sentinel,,1962,,,,,,,true
parties.IN.INDHIA_KUDIARASU_KATCHI,Indhia Kudiarasu Katchi,Indhia Kudiarasu Katchi,,,,,,,,2021,,,,,,,
parties.IN.INDIA_DRAVIDA_MAKKAL_MUNNETRA_KATCHI,India Dravida Makkal Munnetra Katchi,India Dravida Makkal Munnetra Katchi,,,,,,,,2016,,,,,,,
parties.IN.INL,INL,INL,,,,,INDIAN NATIONAL LEAGUE,,,1994,,,,,,,
parties.IN.INLD,INLD,Indian National Lok Dal,,#005747,party-symbols/spectacles.svg,https://en.wikipedia.org/wiki/Indian_National_Lok_Dal,,state,IN-HR,1998,,,,,,,
parties.IN.INMMK,INMMK,INMMK,,,,,,,,2016,,,,,,,
parties.IN.INNP,INNP,INNP,,,,,,,,2019,,,,,,,
parties.IN.INPT,INPT,Indigenous Nationalist Party of Twipra,,,,,INNPT,,,2003,,,,,,,
parties.IN.IPF,IPF,IPF,,,,,,,,1989,,,,,,,
parties.IN.IPFT,IPFT,Indigenous People's Front of Tripura,,,,,,state,IN-TR,2013,,,,,,,
parties.IN.ISP,ISP,ISP,,,,,,,,1971,,,,,,,
parties.IN.IUML,IUML,Indian Union Muslim League,772,#006600,party-symbols/ladder.svg,https://en.wikipedia.org/wiki/Indian_Union_Muslim_League,MUL,state,IN-KL,1971,,,,,,,
parties.IN.IVP,IVP,IVP,,,,,,,,2006,,,,,,,
parties.IN.JAC,JAC,JAC,,,,,,,,1967,,,,,,,
parties.IN.JALOP,JALOP,JALOP,,,,,,,,2019,,,,,,,
parties.IN.JANADIP,JANADIP,JANADIP,,,,,,,,2017,,,,,,,
parties.IN.JANSAPP,JANSAPP,JANSAPP,,,,,,,,2017,,,,,,,
parties.IN.JAPL,JAPL,Jan Adhikar Party (Loktantrik),,,,,,,,2015,,,,,,,
parties.IN.JASD,JASD,JASD,,,,,,,,2012,,,,,,,
parties.IN.JASP,JASP,JASP,,,,,,,,2014,,,,,,,
parties.IN.JCC,JCC,Janta Congress Chhattisgarh,,#FFC0DB,party-symbols/farmer-ploughing-within-square.jpg,https://en.wikipedia.org/wiki/Janta_Congress_Chhattisgarh,,,,,,,,,,,
parties.IN.JD,JD,Janata Dal,,,,,,,,1988,,parties.IN.JP,parties.IN.JDU|parties.IN.JDS|parties.IN.RJD|parties.IN.BJD|parties.IN.LJP|parties.IN.SP,,,,
parties.IN.JDS,JD(S),Janata Dal (Secular),,#02865A,party-symbols/female-farmer.svg,https://en.wikipedia.org/wiki/Janata_Dal_(Secular),JD (S)|JDS,state,IN-KA,1999,,parties.IN.JD,,,,,
