party_id,short,full,eci_codes,brand_colour,symbol_asset,wikipedia,aliases,recognition_scope,home_state_codes,founded_year,dissolved_year,predecessor_party_ids,successor_party_ids,name_history,claims_to_parent_name,name_native_script,is_sentinel
parties.IN.MANPA,MANPA,MANPA,,,,,MNP,,,2017,,,,,,,
parties.IN.MARP,MARP,MARP,,,,,,,,2014,,,,,,,
parties.IN.MBT,MBT,MBT,,,,,,,,1994,,,,,,,
parties.IN.MDMK,MDMK,Marumalarchi Dravida Munnetra Kazhagam,,,,,,state,,1996,,,,,,,
parties.IN.MELPHC,MELPHC,MELPHC,,,,,MHA,,,1991,,,,,,,
parties.IN.MEP,MEP,MEP,,,,,,,,2019,,,,,,,
parties.IN.MGMK,MGMK,MGMK,,,,,,,,1991,,,,,,,
parties.IN.MGP,MGP,Maharashtrawadi Gomantak Party,,#AF7050,party-symbols/lion.svg,https://en.wikipedia.org/wiki/Maharashtrawadi_Gomantak_Party,,state,IN-GA,,,,,,,,
parties.IN.MGRK,MGRK,MGRK,,,,,,,,1996,,,,,,,
parties.IN.MGRM,MGRM,MGRM,,,,,,,,1996,,,,,,,
parties.IN.MGRTK,MGRTK,MGRTK,,,,,,,,2011,,,,,,,
parties.IN.MGR_MAKKAL_KATCHI,MGR Makkal Katchi,MGR Makkal Katchi,,,,,,,,2021,,,,,,,
parties.IN.MHBHVCAG,MHBHVCAG,MHBHVCAG,,,,,,,,2019,,,,,,,
parties.IN.MKAT,MKAT,MKAT,,,,,,,,,,,,,,,
parties.IN.MLPOIRF,MLPOIRF,MLPOIRF,,,,,,,,2019,,,,,,,
parties.IN.MMKA,MMKA,MMKA,,,,,,,,2009,,,,,,,
parties.IN.MMS,MMS,MMS,,,,,,,,1996,,,,,,,
parties.IN.MNDP,MNDP,MNDP,,,,,,,,2009,,,,,,,
parties.IN.MNF,MNF,Mizo National Front,,#2E5694,party-symbols/star.svg,https://en.wikipedia.org/wiki/Mizo_National_Front,,state,IN-MZ,1987,,,,,,,
parties.IN.MNK_PLP,MNK(PLP),MNK(PLP),,,,,,,,2001,,,,,,,
parties.IN.MNM,MNM,Makkal Needhi Maiam,,,,,MAKKAL NEEDHI MAIAM,,,2019,,,,,,,
parties.IN.MNS,MNS,Maharashtra Navnirman Sena,,#5F2301,party-symbols/railway-engine.png,https://en.wikipedia.org/wiki/Maharashtra_Navnirman_Sena,,,,2009,,,,,,,
parties.IN.MPP,MPP,MPP,,,,,,,,1989,,,,,,,
parties.IN.MPS_T,MPS(T),MPS(T),,,,,,,,2014,,,,,,,
parties.IN.MRC,MRC,MRC,,,,,,,,1995,,,,,,,
parties.IN.MRRC,MRRC,MRRC,,,,,,,,2004,,,,,,,
parties.IN.MSF,MSF,MSF,,,,,,,,2004,,,,,,,
parties.IN.MSK,MSK,MSK,,,,,,,,,,,,,,,
parties.IN.MSKK,MSKK,MSKK,,,,,,,,,,,,,,,
parties.IN.MTD,MTD,MTD,,,,,,,,2001,,,,,,,
parties.IN.MVA,MVA,MVA,,,,,,,,2014,,,,,,,
parties.IN.MVC,MVC,MVC,,,,,,,,1995,,,,,,,
parties.IN.MY_INDIA_PARTY,My India Party,My India Party,,,,,,,,2021,,,,,,,
parties.IN.NAADAALUM_MAKKAL_KATCHI,Naadaalum Makkal Katchi,Naadaalum Makkal Katchi,,,,,,,,2021,,,,,,,
parties.IN.NAAM_INDIAR_PARTY,Naam Indiar Party,Naam Indiar Party,,,,,NIDP,,,2019,,,,,,,
parties.IN.NAMADHU_MAKKAL_KATCHI,Namadhu Makkal Katchi,Namadhu Makkal Katchi,,,,,,,,2009,,,,,,,
parties.IN.NAMATHU_KONGU_MUNNETRA_KALAGAM,Namathu Kongu Munnetra Kalagam,Namathu Kongu Munnetra Kalagam,,,,,,,,2021,,,,,,,
parties.IN.NAM_INDIA_NAAM_INDIYAR_KATCHI,Nam India Naam Indiyar Katchi,Nam India Naam Indiyar Katchi,,,,,,,,2021,,,,,,,
parties.IN.NAP,NAP,NAP,,,,,,,,2012,,,,,,,
parties.IN.NATIONAL_DEMOCRATIC_PARTY_OF_SOUTH_INDIA,National Democratic Party of South India,National Democratic Party of South India,,,,,,,,2021,,,,,,,
parties.IN.NBN,NBN,NBN,,,,,,,,2012,,,,,,,
parties.IN.NBNM,NBNM,NBNM,,,,,,,,2017,,,,,,,
parties.IN.NBNP,NBNP,NBNP,,,,,BNNP|NNP,,,2002,,,,,,,
parties.IN.NBPP,NBPP,NBPP,,,,,,,,2014,,,,,,,
parties.IN.NCO,NCO,NCO,,,,,,national,,1970,,,,,,,
parties.IN.NCP,NCP,Nationalist Congress Party,,,,https://en.wikipedia.org/wiki/Nationalist_Congress_Party,NATIONALIST CONGRESS PARTY,state,IN-MH|IN-NL,1999,,,,,true,,
parties.IN.NCP_SP,NCPSP,Nationalist Congress Party (Sharadchandra Pawar),,#0029B0,party-symbols/man-blowing-turha.png,https://en.wikipedia.org/wiki/Nationalist_Congress_Party_%E2%80%93_Sharadchandra_Pawar,,state,IN-MH,2024,,parties.IN.NCP,,,,,
parties.IN.NDPP,NDPP,Nationalist Democratic Progressive Party,,,,,,state,IN-NL,2018,,,,,,,
parties.IN.NELU,NELU,NELU,,,,,,,,2009,,,,,,,
parties.IN.NEW_GENERATION_PEOPLE_S_PARTY,New Generation People’s Party,New Generation People’s Party,,,,,,,,2021,,,,,,,
parties.IN.NINSHAD,NINSHAD,Nirbal Indian Shoshit Hamara Aam Dal,,,,,,,,2017,,,,,,,
parties.IN.NJANP,NJANP,NJANP,,,,,,,,2019,,,,,,,
parties.IN.NJP,NJP,NJP,,,,,,,,1962,,,,,,,
parties.IN.NLHP,NLHP,NLHP,,,,,,,,2007,,,,,,,
parties.IN.NLP,NLP,NLP,,,,,,,,1997,,,,,,,
parties.IN.NMK,NMK,NMK,,,,,,,,,,,,,,,
parties.IN.NMP,NMP,NMP,,,,,,,,1999,,,,,,,
parties.IN.NOTA,NOTA,None of the Above,,,,,,sentinel,,2013,,,,,,,true
parties.IN.NPF,NPF,Naga People's Front,,,,,,state,IN-MN|IN-NL,,,,,,,,
parties.IN.NPP,NPP,National People's Party,,#FFCA61,,https://en.wikipedia.org/wiki/National_People%27s_Party_(India),,national,,,,,,,,,
parties.IN.NRP,NRP,NRP,,,,,,,,1989,,,,,,,
parties.IN.NRSP,NRSP,NRSP,,,,,,,,2019,,,,,,,
parties.IN.NSAMP,NSAMP,NSAMP,,,,,,,,2014,,,,,,,
parties.IN.NSCP,NSCP,NSCP,,,,,,,,2007,,,,,,,
parties.IN.NSM,NSM,NSM,,,,,,,,2012,,,,,,,
parties.IN.NSMP,NSMP,NSMP,,,,,,,,2007,,,,,,,
parties.IN.NSPU,NSPU,NSPU,,,,,,,,2019,,,,,,,
parties.IN.NTK,NTK,Naam Tamilar Katchi,,#B31818,party-symbols/farmer-carrying-plough.jpg,https://en.wikipedia.org/wiki/Naam_Tamilar_Katchi,NAAM TAMILAR KATCHI,,,2016,,,,,,,
parties.IN.NVAS,NVAS,NVAS,,,,,,,,1995,,,,,,,
parties.IN.NVMK,NVMK,NVMK,,,,,,,,2001,,,,,,,
parties.IN.NVPP,NVPP,NVPP,,,,,,,,1995,,,,,,,
parties.IN.NYMK,NYMK,Neyam Makkal Kazhagam,3737,,,,,,,,,,,,,,
parties.IN.NYP,NYP,NYP,,,,,,,,2009,,,,,,,
parties.IN.PAP,PAP,PAP,,,,,,,,2012,,,,,,,
parties.IN.PB,PB,PB,,,,,PURATCHI BHARATHAM,,,2001,,,,,,,
parties.IN.PBI,PBI,PBI,,,,,,,,1971,,,,,,,
parties.IN.PBPA,pbpa,pbpa,,,,,,,,2019,,,,,,,
parties.IN.PECP,PECP,PECP,,,,,,,,2009,,,,,,,
parties.IN.PEOPLE_S_PARTY_OF_INDIA_SECULAR,People's Party of India(secular),People's Party of India(secular),,,,,,,,2009,,,,,,,
parties.IN.PHJSP,PHJSP,PHJSP,,,,,,,,2019,,,,,,,
parties.IN.PHSP,PHSP,PHSP,,,,,,,,2004,,,,,,,
parties.IN.PJP,PJP,PJP,,,,,,,,1969,,,,,,,
parties.IN.PMK,PMK,Pattali Makkal Katchi,1272,,,,PATTALI MAKKAL KATCHI,state,IN-TN,1989,,,,,,,
parties.IN.PMM,PMM,PMM,,,,,,,,1991,,,,,,,
parties.IN.PNK,PNK,PNK,,,,,,,,2001,,,,,,,
parties.IN.POUI,POUI,POUI,,,,,,,,2019,,,,,,,
parties.IN.PPA,PPA,People's Party of Arunachal,,,,,,,,1978,,,,,,,
parties.IN.PPID,PPID,PPID,,,,,,,,2018,,,,,,,
parties.IN.PPIS,PPIS,PPIS,,,,,,,,,,,,,,,
parties.IN.PPS,PPS,PPS,,,,,,,,2017,,,,,,,
parties.IN.PRBHPRP,PRBHPRP,PRBHPRP,,,,,,,,2019,,,,,,,
parties.IN.PRBP,PRBP,PRBP,,,,,PRP,,,2002,,,,,,,
parties.IN.PRCP,PRCP,PRCP,,,,,,,,2004,,,,,,,
parties.IN.PREP,PREP,PREP,,,,,,,,2014,,,,,,,
parties.IN.PRPI,PRPI,PRPI,,,,,,,,2003,,,,,,,
parties.IN.PSP,PSP,PSP,,,,,,,,1964,,,,,,,
parties.IN.PSPU,PSPU,PSPU,,,,,PHSP(U),,,2018,,,,,,,
parties.IN.PSSS,PSSS,PSSS,,,,,,,,1995,,,,,,,
parties.IN.PT,PT,Puthiya Tamilagam,,,,,PUTHIYA TAMILAGAM,unrecognised_registered,IN-TN,1998,,,,,,,
parties.IN.PTK,PTK,PTK,,,,,,,,2016,,,,,,,
parties.IN.PTSS,PTSS,PTSS,,,,,,,,2004,,,,,,,
parties.IN.PWP,PWP,PWP,,,,,,,,1962,,,,,,,
parties.IN.PWPI,PWPI,PWPI,,,,,,,,,,,,,,,
parties.IN.RAJPA,RAJPA,RAJPA,,,,,RJP,,,1996,,,,,,,
parties.IN.RAPA,RAPA,RAPA,,,,,,,,2014,,,,,,,
parties.IN.RAS,RAS,RAS,,,,,,,,1998,,,,,,,
parties.IN.RASHTRIYA_ULAMA_COUNCIL,Rashtriya Ulama Council,Rashtriya Ulama Council,,,,,,,,2012,,,,,,,
parties.IN.RASMARP,RASMARP,RASMARP,,,,,,,,2019,,,,,,,
parties.IN.RBCP,RBCP,RBCP,,,,,,,,2003,,,,,,,
parties.IN.RBS,RBS,RBS,,,,,,,,2014,,,,,,,
parties.IN.RBSP,RBSP,RBSP,,,,,,,,2014,,,,,,,
parties.IN.REALDP,REALDP,REALDP,,,,,R.D.P,,,2011,,,,,,,
parties.IN.REP,REP,REP,,,,,,,,2014,,,,,,,
parties.IN.REPUBLICAN_PARTY_OF_INDIA_SIVARAJ,Republican Party of India  (Sivaraj),Republican Party of India  (Sivaraj),,,,,,,,1996,,,,,,,
parties.IN.RGJP,RGJP,RGJP,,,,,,,,2002,,,,,,,
parties.IN.RGP,RGP,Revolutionary Goans Party,,#E3C773,party-symbols/football.jpg,https://en.wikipedia.org/wiki/Revolutionary_Goans_Party,,,,,,,,,,,
parties.IN.RJANPTY,RJanPty,RJanPty,,,,,,,,2019,,,,,,,
parties.IN.RJBP,RJBP,RJBP,,,,,RJSMP,,,2018,,,,,,,
parties.IN.RJD,RJD,Rashtriya Janata Dal,1420,#056D05,party-symbols/hurricane-lamp.png,https://en.wikipedia.org/wiki/Rashtriya_Janata_Dal,RASHTRIYA JANATA DAL,state,IN-BR|IN-JH,1997,,parties.IN.JD,,,,,
parties.IN.RJRD,RJRD,Raijor Dal,3289,,,,,unrecognised_registered,IN-AS,,,,,,,,
parties.IN.RKBP,RKBP,RKBP,,,,,,,,2019,,,,,,,
parties.IN.RKCGP,RKCGP,RKCGP,,,,,,,,2014,,,,,,,
parties.IN.RKEP,RKEP,RKEP,,,,,,,,2002,,,,,,,
parties.IN.RKSP,RKSP,RKSP,,,,,RKSWP,,,2004,,,,,,,
parties.IN.RLD,RLD,Rashtriya Lok Dal,,,,,,state,IN-UP,1999,,,,,,,
parties.IN.RLP,RLP,Rashtriya Loktantrik Party,,#FFD42A,party-symbols/bottle.png,https://en.wikipedia.org/wiki/Rashtriya_Loktantrik_Party,,,,2009,,,,,,,
parties.IN.RLSP,RLSP,Rashtriya Lok Samta Party,,,,,BLSP,,,2014,,,,,,,
parties.IN.RMGP,RMGP,RMGP,,,,,,,,2012,,,,,,,
parties.IN.RMNMP,RMNMP,RMNMP,,,,,RMMP,,,1997,,,,,,,
parties.IN.RMP,RMP,RMP,,,,,,,,1975,,,,,,,
parties.IN.RMPOI,RMPOI,Revolutionary Marxist Party of India,2162,,,,,,,2017,,,,,,,
parties.IN.RPI,RPI,RPI,,,,,RPG,state,IN-MH,1964,,,,,,,
parties.IN.RPIA,RPI(A),Republican Party of India (A),,,,,RPI (A)|RPI(A,state,,1991,,,,,,,
parties.IN.RPIE,RPIE,RPIE,,,,,,,,2013,,,,,,,
parties.IN.RPIR,RPIR,RPIR,,,,,RPI(R),,,2017,,,,,,,
parties.IN.RPIS,RPIS,RPIS,,,,,,,,2019,,,,,,,
parties.IN.RPI_B,RPI(B),RPI(B),,,,,,,,1990,,,,,,,
parties.IN.RPI_D,RPI(D),RPI(D),,,,,,,,1993,,,,,,,
parties.IN.RPI_K,RPI(K),RPI(K),,,,,,,,,,,,,,,
parties.IN.RPI_KH,RPI(KH),RPI(KH),,,,,,,,,,,,,,,
parties.IN.RPI_KM,RPI(KM),RPI(KM),,,,,,,,1980,,,,,,,
parties.IN.RPI_S,RPI(S),RPI(S),,,,,,,,,,,,,,,
parties.IN.RPK,RPK,RPK,,,,,,,,1971,,,,,,,
parties.IN.RPM,RPM,RPM,,,,,,,,1990,,,,,,,
parties.IN.RPPI,RPPI,RPPI,,,,,RPP,,,1989,,,,,,,
parties.IN.RPPRINAT,RPPRINAT,Rashtriya Praja Party (Secular),,,,,,,,,,,,,,,
parties.IN.RPSN,RPSN,RPSN,,,,,,,,2014,,,,,,,
parties.IN.RP_K,RP(K),RP(K),,,,,,,,2006,,,,,,,
parties.IN.RRP,RRP,RRP,,,,,,,,2014,,,,,,,
parties.IN.RSDC,RSDC,RSDC,,,,,,,,2007,,,,,,,
parties.IN.RSNP,RSNP,RSNP,,,,,,,,2004,,,,,,,
parties.IN.RSP,RSP,Revolutionary Socialist Party,1534,,party-symbols/spade-and-stoker.png,,,state,IN-KL|IN-WB,,,,,,,,
parties.IN.RSPS,RSPS,RSPS,,,,,RASHTRIYA SAMAJ PAKSHA,,,2004,,,,,,,
parties.IN.RSP_S,RSP(S),RSP(S),,,,,,,,2009,,,,,,,
parties.IN.RSRP,RSRP,RSRP,,,,,,,,1995,,,,,,,
parties.IN.RSSD,RSSD,RSSD,,,,,,,,1993,,,,,,,
parties.IN.RSSDP,RSSDP,RSSDP,,,,,,,,2009,,,,,,,
parties.IN.RTORP,RTORP,RTORP,,,,,,,,2019,,,,,,,
parties.IN.RTRJP,RTRJP,RTRJP,,,,,,,,2012,,,,,,,
parties.IN.RUC,RUC,RUC,,,,,,,,,,,,,,,
parties.IN.RVNP,RVNP,RVNP,,,,,RASHTRAVADI JANATA PARTY|RVNP R,,,2003,,,,,,,
parties.IN.RVZP,RVZP,RVZP,,,,,,,,2017,,,,,,,
parties.IN.RWS,RWS,RWS,,,,,,,,2008,,,,,,,
parties.IN.SAD,SAD,Shiromani Akali Dal,,#0F204A,party-symbols/scales.svg,https://en.wikipedia.org/wiki/Shiromani_Akali_Dal,AD,state,,1962,,,,,,,
parties.IN.SADM,SAD(M),Shiromani Akali Dal (Amritsar),,,,,SAD(A)(SSM)|SADA,unrecognised_registered,IN-PB,1989,,,,,,,
parties.IN.SAJPCS,SAJPCS,SAJPCS,,,,,SJP(C),,,2017,,,,,,,
parties.IN.SAMANIYA_MAKKAL_NALA_KATCHI,Samaniya Makkal Nala Katchi,Samaniya Makkal Nala Katchi,,,,,,,,2021,,,,,,,
parties.IN.SAMATA_PARTY,Samata Party,Samata Party,,,,,,national,,1994,,,,,,,
parties.IN.SANS,SanS,SanS,,,,,,,,2019,,,,,,,
parties.IN.SAOI,SAOI,SAOI,,,,,,,,2014,,,,,,,
parties.IN.SAP,SAP,SAP,,,,,SLAP,,,1991,,,,,,,
parties.IN.SARAPA,SARAPA,SARAPA,,,,,,,,2014,,,,,,,
parties.IN.SASAP,SASAP,SASAP,,,,,,,,2014,,,,,,,
parties.IN.SASP,SASP,SASP,,,,,,,,2012,,,,,,,
parties.IN.SBBGP,SBBGP,SBBGP,,,,,,,,2019,,,,,,,
parties.IN.SBD,SBD,SBD,,,,,,,,2006,,,,,,,
parties.IN.SBHP,SBHP,SBHP,,,,,,,,1996,,,,,,,
parties.IN.SBSP,SBSP,Suheldev Bharatiya Samaj Party,,,,,,unrecognised_registered,IN-UP,2004,,,,,,,
parties.IN.SDF,SDF,Sikkim Democratic Front,,#FBEC5D,party-symbols/umbrella.png,https://en.wikipedia.org/wiki/Sikkim_Democratic_Front,,state,IN-SK,1994,,,,,,,
parties.IN.SDP,SDP,SDP,,,,,,,,2004,,,,,,,
parties.IN.SDPI,SDPI,Social Democratic Party of India,,,,,SDLPI,,,2012,,,,,,,
parties.IN.SERSNMH,SERSNMH,SERSNMH,,,,,,,,2019,,,,,,,
parties.IN.SHS,SHS,Shiv Sena,,,party-symbols/bow-and-arrow.svg,https://en.wikipedia.org/wiki/Shiv_Sena,,state,IN-MH,1966,,,,,true,,
parties.IN.SJP_M,SJP(M),SJP(M),,,,,,,,1995,,,,,,,
parties.IN.SJP_R,SJP(R),SJP(R),,,,,,,,1994,,,,,,,
parties.IN.SKM,SKM,Sikkim Krantikari Morcha,,#ED1E26,party-symbols/table-lamp.png,https://en.wikipedia.org/wiki/Sikkim_Krantikari_Morcha,,state,IN-SK,2014,,,,,,,
parties.IN.SMFB,SMFB,SMFB,,,,,SAMAJWADI FORWARD BLOC|SWFB,,,2018,,,,,,,
parties.IN.SMK,SMK,SMK,,,,,,,,2016,,,,,,,
parties.IN.SNS,SNS,SNS,,,,,,,,2014,,,,,,,
parties.IN.SOC,SOC,SOC,,,,,,national,,1962,,,,,,,
parties.IN.SOLI,SOLI,SOLI,,,,,SLI,,,1991,,,,,,,
parties.IN.SOP,SOP,SOP,,,,,,national,,1969,,,,,,,
parties.IN.SOP_L,SOP(L),SOP(L),,,,,SLP(L),,,1989,,,,,,,
parties.IN.SOP_P,SOP(P),SOP(P),,,,,SLP(R)|SOP(RP),,,1989,,,,,,,
parties.IN.SOUTH_INDIA_FORWARD_BLOC,South India Forward Bloc,South India Forward Bloc,,,,,,,,2021,,,,,,,
parties.IN.SP,SP,Samajwadi Party,,#FF2222,party-symbols/cycle.png,https://en.wikipedia.org/wiki/Samajwadi_Party,,state,IN-UP,1992,,parties.IN.JD,,,,,
parties.IN.SPCP,SPCP,SPCP,,,,,,,,2003,,,,,,,
parties.IN.SPSP,SPSP,SPSP,,,,,,,,1999,,,,,,,
parties.IN.SP_I,SP(I),SP(I),,,,,SOCIALIST PARTY (INDIA),,,2012,,,,,,,
parties.IN.SRS,SRS,SRS,,,,,,,,2014,,,,,,,
parties.IN.SSD,SSD,SSD,,,,,,,,1977,,,,,,,
parties.IN.SSP,SSP,SSP,,,,,SHP|SHSP,,,1989,,,,,,,
parties.IN.SSRD,SSRD,SSRD,,,,,,,,2014,,,,,,,
parties.IN.SS_UBT,SHSUBT,Shiv Sena (Uddhav Balasaheb Thackeray),,#FD7D24,party-symbols/flaming-torch.png,https://en.wikipedia.org/wiki/Shiv_Sena_(UBT),SHS_UBT|SHS-UBT|SS-UBT|SSUBT|SHIV SENA UBT,state,IN-MH,2023,,parties.IN.SHS,,,,,
parties.IN.STBP,STBP,STBP,,,,,,,,1999,,,,,,,
parties.IN.STBSP,STBSP,STBSP,,,,,,,,2017,,,,,,,
parties.IN.SUCI,SUCI,Socialist Unity Centre of India (Communist),,,,,SUC|SUC(COMMU.)|SUCI(C)|SUCI(COMMUNIST),state,,1962,,,,,,,
parties.IN.SUNP,SUNP,SUNP,,,,,,,,2016,,,,,,,
parties.IN.SVPP,SVPP,SVPP,,,,,,,,2009,,,,,,,
parties.IN.SVRP,SVRP,SVRP,,,,,,,,2004,,,,,,,
parties.IN.SVSP,SVSP,SVSP,,,,,,,,1996,,,,,,,
parties.IN.SWA,SWA,SWA,,,,,,national,,1962,,,,,,,
parties.IN.SWARAJ,SWARAJ,SWARAJ,,,,,SWARAJ INDIA|SWI,,,2018,,,,,,,
parties.IN.SWJP,SWJP,SWJP,,,,,SAMAJWADI JAN PARISHAD,,,1996,,,,,,,
parties.IN.SWP,SWP,SWP,,,,,,,,2009,,,,,,,
parties.IN.SYP,SYP,SYP,,,,,,,,1996,,,,,,,
parties.IN.TAMILAGA_MAKKAL_THANNURIMAI_KATCHI,Tamilaga Makkal Thannurimai Katchi,Tamilaga Makkal Thannurimai Katchi,,,,,,,,2021,,,,,,,
parties.IN.TAMILNADU_MAHATMA_GANDHI_MAKKAL_KATCHI,Tamilnadu Mahatma Gandhi Makkal Katchi,Tamilnadu Mahatma Gandhi Makkal Katchi,,,,,,,,2021,,,,,,,
parties.IN.TAMILNADU_MAKKAL_NALVAZHVU_PERIYAKKAM,Tamilnadu Makkal Nalvazhvu Periyakkam,Tamilnadu Makkal Nalvazhvu Periyakkam,,,,,,,,2021,,,,,,,
parties.IN.TAMIL_NADU_ILANGYAR_KATCHI,Tamil Nadu Ilangyar Katchi,Tamil Nadu Ilangyar Katchi,,,,,TNLK,,,2019,,,,,,,
parties.IN.TAMIL_TELUGU_NATIONAL_PARTY,Tamil Telugu National Party,Tamil Telugu National Party,,,,,TTNP,,,2019,,,,,,,
parties.IN.TAMIZHAGA_MURPOKKU_MAKKAL_KATCHI,Tamizhaga Murpokku Makkal Katchi,Tamizhaga Murpokku Makkal Katchi,,,,,,,,2019,,,,,,,
parties.IN.TB,TB,TB,,,,,,,,2001,,,,,,,
parties.IN.TDI,TDI,TDI,,,,,,,,1991,,,,,,,
parties.IN.TDK,TDK,TDK,,,,,,,,1999,,,,,,,
parties.IN.TDP,TDP,Telugu Desam Party,,#FFED00,party-symbols/cycle.png,https://en.wikipedia.org/wiki/Telugu_Desam_Party,TD,state,IN-AP,1983,,,,,,,
parties.IN.THAMIZHAGA_MUNNETRA_CONGRESS,Thamizhaga Munnetra Congress,Thamizhaga Munnetra Congress,,,,,,,,2021,,,,,,,
parties.IN.THMM,THMM,THMM,,,,,,,,1996,,,,,,,
parties.IN.THP,THP,THP,,,,,,,,2016,,,,,,,
parties.IN.THPI,THPI,THPI,,,,,,,,1998,,,,,,,
parties.IN.TIPU_SULTAN_PARTY,Tipu Sultan Party,Tipu Sultan Party,,,,,,,,2019,,,,,,,
parties.IN.TLJ,TLJ,TLJ,,,,,,,,1993,,,,,,,
parties.IN.TLK,TLK,TLK,,,,,TRM,,,1989,,,,,,,
parties.IN.TMC_M,TMC(M),Tamil Maanila Congress (Moopanar),,,,,,,,1996,,,,,,,
parties.IN.TMK,TMK,TMK,,,,,,,,2016,,,,,,,
parties.IN.TMM,TMM,TMM,,,,,,,,1989,,,,,,,
parties.IN.TMMK,TMMK,TMMK,,,,,,,,2011,,,,,,,
parties.IN.TMP,TMP,Tipra Motha Party,,,party-symbols/tipra-logo.jpg,,TIPRA,state,IN-TR,,,,,,,,
parties.IN.TMUL,TMUL,TMUL,,,,,,,,1991,,,,,,,
parties.IN.TNC,TNC,TNC,,,,,,,,1984,,,,,,,
parties.IN.TNC_K,TNC(K),TNC(K),,,,,,,,,,,,,,,
parties.IN.TNHVYK,TNHVYK,TNHVYK,,,,,TNHVK,,,1993,,,,,,,
parties.IN.TNJC,TNJC,TNJC,,,,,,,,2006,,,,,,,
parties.IN.TNKMI,TNKMI,TNKMI,,,,,,,,1996,,,,,,,
parties.IN.TNMC,TNMC,TNMC,,,,,,,,1996,,,,,,,
parties.IN.TNPP,TNPP,TNPP,,,,,,,,2001,,,,,,,
parties.IN.TPSTP,TPSTP,TPSTP,,,,,,,,,,,,,,,
parties.IN.TRPK,TRPK,TRPK,,,,,,,,2019,,,,,,,
parties.IN.TSC,TSC,TSC,,,,,,,,2016,,,,,,,
parties.IN.TVK,TVK,Tamilaga Vettri Kazhagam,3679,,,,,unrecognised_registered,IN-TN,,,,,,,,
parties.IN.TYMK,TYMK,TYMK,,,,,,,,2001,,,,,,,
parties.IN.TZP,TZP,TZP,,,,,,,,1996,,,,,,,
parties.IN.UCPI,UCPI,UCPI,,,,,,,,1990,,,,,,,
parties.IN.UDP,UDP,United Democratic Party,,,party-symbols/drums.png,,,,,1998,,,,,,,
parties.IN.UKKD,UKKD,Uttarakhand Kranti Dal,,,,,UKD,,,1991,,,,,,,
parties.IN.ULAGA_MAKKAL_KATCHI,Ulaga Makkal Katchi,Ulaga Makkal Katchi,,,,,,,,2021,,,,,,,
parties.IN.UMK,UMK,UMK,,,,,,,,2009,,,,,,,
parties.IN.UMSK,UMSK,UMSK,,,,,,,,1991,,,,,,,
parties.IN.UNCP,UnCP,UnCP,,,,,,,,2019,,,,,,,
parties.IN.UNITED_STATES_OF_INDIA_PARTY,United States of India Party,United States of India Party,,,,,USIP,,,2019,,,,,,,
parties.IN.UNIVERSAL_BROTHERHOOD_MOVEMENT,Universal Brotherhood Movement,Universal Brotherhood Movement,,,,,UBM,,,2019,,,,,,,
parties.IN.UNK,UNK,Unresolved Party,,,,,,sentinel,,,,,,,,,true
parties.IN.UPK,UPK,UPK,,,,,,,,2001,,,,,,,
parties.IN.UPPL,UPPL,United People's Party Liberal,,,,,,state,IN-AS,2019,,,,,,,
parties.IN.USCPI,USCPI,USCPI,,,,,,,,2009,,,,,,,
parties.IN.VAK,VAK,VAK,,,,,,,,2006,,,,,,,
parties.IN.VALAMAANA_TAMIZHAGAM_KATCHI,Valamaana  Tamizhagam   Katchi,Valamaana  Tamizhagam   Katchi,,,,,,,,2016,,,,,,,
parties.IN.VBA,VBA,VBA,,,,,,unrecognised_registered,IN-MH,2019,,,,,,,
parties.IN.VBMP,VBMP,VBMP,,,,,,,,2016,,,,,,,
parties.IN.VBP,VBP,VBP,,,,,,,,1989,,,,,,,
parties.IN.VCK,VCK,Viduthalai Chiruthaigal Katchi,1847,,,,VIDUTHALAI CHIRUTHAIGAL KATCHI,unrecognised_registered,IN-TN,2006,,,,,,,
parties.IN.VEERATH_THIYAGI_VISWANATHADOSS_THOZHILALAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,,,,,,,,2021,,,,,,,
parties.IN.VHS,VHS,VHS,,,,,,,,2007,,,,,,,
parties.IN.VIDIAL_VALARCHI_PERANI,Vidial Valarchi Perani,Vidial Valarchi Perani,,,,,,,,2021,,,,,,,
parties.IN.VINPA,VINPA,VINPA,,,,,VIKAS INDIA PARTY,,,2019,,,,,,,
parties.IN.VJC,VJC,VJC,,,,,,,,2004,,,,,,,
parties.IN.VMP,VMP,VMP,,,,,,,,2019,,,,,,,
parties.IN.VPP,VPP,Voice of the People Party,,,party-symbols/winnower.png,,,,,,,,,,,,
parties.IN.VRA,VRA,VRA,,,,,,,,2019,,,,,,,
parties.IN.VRP,VRP,VRP,,,,,,,,2004,,,,,,,
parties.IN.VTIP,VTIP,VTIP,,,,,,,,2016,,,,,,,
parties.IN.VTK,VTK,VTK,,,,,,,,,,,,,,,
parties.IN.VVIP,VVIP,VVIP,,,,,,,,2016,,,,,,,
parties.IN.WPI,WPI,WPI,,,,,,,,1969,,,,,,,
parties.IN.WPOI,WPOI,Welfare Party of India,,,,,,,,2012,,,,,,,
parties.IN.YJJP,YJJP,YJJP,,,,,,,,2017,,,,,,,
parties.IN.YPD,YPD,YPD,,,,,,,,2017,,,,,,,
