electoral_id,lgd_district_id,is_primary,lgd_snapshot,source_id
IN-AC-2008-andhra-pradesh-3252,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3253,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3254,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3255,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3256,andhra-pradesh/y-s-r-kadapa,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3257,andhra-pradesh/east-godavari,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3257,andhra-pradesh/kakinada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3258,andhra-pradesh/kakinada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3259,andhra-pradesh/kakinada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3260,andhra-pradesh/kakinada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3261,andhra-pradesh/kakinada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3262,andhra-pradesh/kakinada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3263,andhra-pradesh/kakinada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3278,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3279,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3280,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3281,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3282,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3283,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3284,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3285,andhra-pradesh/krishna,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3286,andhra-pradesh/krishna,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3286,andhra-pradesh/ntr,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3287,andhra-pradesh/krishna,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3288,andhra-pradesh/krishna,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3289,andhra-pradesh/krishna,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3290,andhra-pradesh/krishna,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3291,andhra-pradesh/krishna,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3334,andhra-pradesh/nandyal,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3335,andhra-pradesh/nandyal,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3336,andhra-pradesh/nandyal,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3337,andhra-pradesh/nandyal,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3338,andhra-pradesh/nandyal,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3339,andhra-pradesh/kurnool,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3339,andhra-pradesh/nandyal,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3340,andhra-pradesh/nandyal,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3341,andhra-pradesh/palnadu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3342,andhra-pradesh/palnadu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3343,andhra-pradesh/palnadu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3344,andhra-pradesh/palnadu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3345,andhra-pradesh/palnadu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3346,andhra-pradesh/palnadu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3347,andhra-pradesh/palnadu,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3348,andhra-pradesh/west-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3349,andhra-pradesh/west-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3350,andhra-pradesh/west-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3351,andhra-pradesh/west-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3352,andhra-pradesh/west-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3353,andhra-pradesh/west-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3354,andhra-pradesh/west-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3355,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3356,andhra-pradesh/prakasam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3357,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3358,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3359,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3360,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3361,andhra-pradesh/sri-potti-sriramulu-nellore,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3369,andhra-pradesh/prakasam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3370,andhra-pradesh/markapuram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3371,andhra-pradesh/markapuram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3372,andhra-pradesh/prakasam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3373,andhra-pradesh/markapuram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3374,andhra-pradesh/prakasam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3375,andhra-pradesh/markapuram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3383,andhra-pradesh/east-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3383,andhra-pradesh/kakinada,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3384,andhra-pradesh/east-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3384,andhra-pradesh/eluru,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3385,andhra-pradesh/east-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3386,andhra-pradesh/east-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3387,andhra-pradesh/east-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3388,andhra-pradesh/east-godavari,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3389,andhra-pradesh/east-godavari,true,2026-06-05,src-3a2ad82ba6e5
