entity_id,name,parent,entity_kind,aliases,census_2001_code,census_2011_code
bihar/saharsa,Saharsa,bihar,district,lgd:216,12,214
bihar/samastipur,Samastipur,bihar,district,lgd:217,19,221
bihar/saran,Saran,bihar,district,lgd:218,17,219
bihar/sheikhpura,Sheikhpura,bihar,district,lgd:219,26,228
bihar/sheohar,Sheohar,bihar,district,lgd:220,3,205
bihar/sitamarhi,Sitamarhi,bihar,district,lgd:221,4,206
bihar/siwan,Siwan,bihar,district,lgd:222,16,218
bihar/supaul,Supaul,bihar,district,lgd:223,6,208
bihar/vaishali,Vaishali,bihar,district,lgd:224,18,220
chandigarh,Chandigarh,IN,state,IN-CH|U02|lgd:4,4,4
chandigarh/chandigarh,Chandigarh,chandigarh,district,lgd:44,1,55
chhattisgarh,Chhattisgarh,IN,state,IN-CT|S26|lgd:22,22,22
chhattisgarh/balod,Balod,chhattisgarh,district,lgd:646,,
chhattisgarh/balodabazar-bhatapara,Balodabazar-Bhatapara,chhattisgarh,district,lgd:644,,
chhattisgarh/balrampur-ramanujganj,Balrampur-Ramanujganj,chhattisgarh,district,lgd:649,,
chhattisgarh/bastar,Bastar,chhattisgarh,district,lgd:374,15,414
chhattisgarh/bemetara,Bemetara,chhattisgarh,district,lgd:650,,
chhattisgarh/bijapur,Bijapur,chhattisgarh,district,lgd:636,16,417
chhattisgarh/bilaspur,Bilaspur,chhattisgarh,district,lgd:375,7,406
chhattisgarh/dakshin-bastar-dantewada,Dakshin Bastar Dantewada,chhattisgarh,district,lgd:376,16,416
chhattisgarh/dhamtari,Dhamtari,chhattisgarh,district,lgd:377,13,412
chhattisgarh/durg,Durg,chhattisgarh,district,lgd:378,10,409
chhattisgarh/gariyaband,Gariyaband,chhattisgarh,district,lgd:645,,
chhattisgarh/gaurela-pendra-marwahi,Gaurela-Pendra-Marwahi,chhattisgarh,district,lgd:734,,
chhattisgarh/janjgir-champa,Janjgir-Champa,chhattisgarh,district,lgd:379,6,405
chhattisgarh/jashpur,Jashpur,chhattisgarh,district,lgd:380,3,402
chhattisgarh/kabeerdham,Kabeerdham,chhattisgarh,district,lgd:382,8,407
chhattisgarh/khairagarh-chhuikhadan-gandai,Khairagarh-Chhuikhadan-Gandai,chhattisgarh,district,lgd:759,,
chhattisgarh/kondagaon,Kondagaon,chhattisgarh,district,lgd:643,,
chhattisgarh/korba,Korba,chhattisgarh,district,lgd:383,5,404
chhattisgarh/korea,Korea,chhattisgarh,district,lgd:384,1,400
chhattisgarh/mahasamund,Mahasamund,chhattisgarh,district,lgd:385,12,411
chhattisgarh/manendragarh-chirmiri-bharatpur-m-c-b,Manendragarh-Chirmiri-Bharatpur(M C B),chhattisgarh,district,lgd:760,,
chhattisgarh/mohla-manpur-ambagarh-chouki,Mohla-Manpur-Ambagarh Chouki,chhattisgarh,district,lgd:761,,
chhattisgarh/mungeli,Mungeli,chhattisgarh,district,lgd:647,,
chhattisgarh/narayanpur,Narayanpur,chhattisgarh,district,lgd:637,,415
chhattisgarh/raigarh,Raigarh,chhattisgarh,district,lgd:386,4,403
chhattisgarh/raipur,Raipur,chhattisgarh,district,lgd:387,11,410
chhattisgarh/rajnandgaon,Rajnandgaon,chhattisgarh,district,lgd:388,9,408
chhattisgarh/sakti,Sakti,chhattisgarh,district,lgd:762,,
chhattisgarh/sarangarh-bilaigarh,Sarangarh-Bilaigarh,chhattisgarh,district,lgd:763,,
chhattisgarh/sukma,Sukma,chhattisgarh,district,lgd:642,,
chhattisgarh/surajpur,Surajpur,chhattisgarh,district,lgd:648,,
chhattisgarh/surguja,Surguja,chhattisgarh,district,lgd:389,2,401
chhattisgarh/uttar-bastar-kanker,Uttar Bastar Kanker,chhattisgarh,district,lgd:381,14,413
dadra-and-nagar-haveli-and-daman-and-diu,Dadra And Nagar Haveli And Daman And Diu,IN,state,IN-DH|U03|lgd:38|The Dadra And Nagar Haveli And Daman And Diu,,
dadra-and-nagar-haveli-and-daman-and-diu/dadra-and-nagar-haveli,Dadra And Nagar Haveli,dadra-and-nagar-haveli-and-daman-and-diu,district,lgd:465,1,496
dadra-and-nagar-haveli-and-daman-and-diu/daman,Daman,dadra-and-nagar-haveli-and-daman-and-diu,district,lgd:463,2,495
dadra-and-nagar-haveli-and-daman-and-diu/diu,Diu,dadra-and-nagar-haveli-and-daman-and-diu,district,lgd:464,1,494
delhi,Delhi,IN,state,IN-DL|U05|lgd:7,7,7
delhi/central,Central,delhi,district,lgd:77,6,95
delhi/central-north,Central North,delhi,district,lgd:796,,
delhi/east,East,delhi,district,lgd:78,4,93
delhi/new-delhi,New Delhi,delhi,district,lgd:79,5,94
delhi/north,North,delhi,district,lgd:80,2,91
delhi/north-east,North East,delhi,district,lgd:81,3,92
delhi/north-west,North West,delhi,district,lgd:82,1,90
delhi/old-delhi,Old Delhi,delhi,district,lgd:795,,
delhi/outer-north,Outer North,delhi,district,lgd:794,,
delhi/shahdara,Shahdara,delhi,district,lgd:671,,
delhi/south,South,delhi,district,lgd:83,9,98
delhi/south-east,South East,delhi,district,lgd:670,,
delhi/south-west,South West,delhi,district,lgd:84,8,97
delhi/west,West,delhi,district,lgd:85,7,96
goa,Goa,IN,state,IN-GA|S05|lgd:30,30,30
goa/kushavati,Kushavati,goa,district,lgd:793,,
goa/north-goa,North Goa,goa,district,lgd:551,1,585
goa/south-goa,South Goa,goa,district,lgd:552,2,586
gujarat,Gujarat,IN,state,IN-GJ|S06|lgd:24,24,24
gujarat/ahmedabad,Ahmedabad,gujarat,district,lgd:438,7,474
gujarat/amreli,Amreli,gujarat,district,lgd:439,13,480
gujarat/anand,Anand,gujarat,district,lgd:440,15,482
gujarat/arvalli,Arvalli,gujarat,district,lgd:672,,
gujarat/banas-kantha,Banas Kantha,gujarat,district,lgd:441,2,469
gujarat/bharuch,Bharuch,gujarat,district,lgd:442,21,488
gujarat/bhavnagar,Bhavnagar,gujarat,district,lgd:443,14,481
gujarat/botad,Botad,gujarat,district,lgd:676,,
gujarat/chhotaudepur,Chhotaudepur,gujarat,district,lgd:668,,
gujarat/dahod,Dahod,gujarat,district,lgd:445,18,485
gujarat/dangs,Dangs,gujarat,district,lgd:444,23,489
gujarat/devbhumi-dwarka,Devbhumi Dwarka,gujarat,district,lgd:674,,
gujarat/gandhinagar,Gandhinagar,gujarat,district,lgd:446,6,473
gujarat/gir-somnath,Gir Somnath,gujarat,district,lgd:675,,
gujarat/jamnagar,Jamnagar,gujarat,district,lgd:447,10,477
gujarat/junagadh,Junagadh,gujarat,district,lgd:448,12,479
gujarat/kachchh,Kachchh,gujarat,district,lgd:449,1,468
gujarat/kheda,Kheda,gujarat,district,lgd:450,16,483
gujarat/mahesana,Mahesana,gujarat,district,lgd:451,4,471
gujarat/mahisagar,Mahisagar,gujarat,district,lgd:669,,
gujarat/morbi,Morbi,gujarat,district,lgd:673,,
gujarat/narmada,Narmada,gujarat,district,lgd:452,20,487
gujarat/navsari,Navsari,gujarat,district,lgd:453,24,490
gujarat/panch-mahals,Panch Mahals,gujarat,district,lgd:454,17,484
gujarat/patan,Patan,gujarat,district,lgd:455,3,470
gujarat/porbandar,Porbandar,gujarat,district,lgd:456,11,478
gujarat/rajkot,Rajkot,gujarat,district,lgd:457,9,476
gujarat/sabar-kantha,Sabar Kantha,gujarat,district,lgd:458,5,472
gujarat/surat,Surat,gujarat,district,lgd:459,22,492
gujarat/surendranagar,Surendranagar,gujarat,district,lgd:460,8,475
gujarat/tapi,Tapi,gujarat,district,lgd:641,,493
gujarat/vadodara,Vadodara,gujarat,district,lgd:461,19,486
gujarat/valsad,Valsad,gujarat,district,lgd:462,25,491
gujarat/vav-tharad,Vav-Tharad,gujarat,district,lgd:789,,
haryana,Haryana,IN,state,IN-HR|S07|lgd:6,6,6
haryana/ambala,Ambala,haryana,district,lgd:58,2,70
haryana/bhiwani,Bhiwani,haryana,district,lgd:59,13,81
haryana/charkhi-dadri,Charkhi Dadri,haryana,district,lgd:701,,
haryana/faridabad,Faridabad,haryana,district,lgd:60,19,88
haryana/fatehabad,Fatehabad,haryana,district,lgd:61,10,78
haryana/gurugram,Gurugram,haryana,district,lgd:62,18,86
haryana/hansi,Hansi,haryana,district,lgd:792,,
haryana/hisar,Hisar,haryana,district,lgd:63,12,80
haryana/jhajjar,Jhajjar,haryana,district,lgd:64,15,83
haryana/jind,Jind,haryana,district,lgd:65,9,77
haryana/kaithal,Kaithal,haryana,district,lgd:66,5,73
haryana/karnal,Karnal,haryana,district,lgd:67,6,74
haryana/kurukshetra,Kurukshetra,haryana,district,lgd:68,4,72
haryana/mahendragarh,Mahendragarh,haryana,district,lgd:69,16,84
