electoral_id,lgd_district_id,delim_year,boundary_snapshot,overlap_kind
IN-AC-2008-bihar-1205,bihar/khagaria,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1207,bihar/samastipur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1210,bihar/saharsa,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1211,bihar/purnia,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1212,bihar/kishanganj,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1217,bihar/madhepura,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1229,bihar/saran,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1231,bihar/siwan,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1235,bihar/patna,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1237,bihar/lakhisarai,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1241,bihar/muzaffarpur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1247,bihar/nalanda,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1255,bihar/nawada,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1260,bihar/pashchim-champaran,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1262,bihar/purbi-champaran,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-bihar-1308,bihar/sheohar,2008,lgd:2026-06-01,partial
IN-AC-2008-bihar-1308,bihar/sitamarhi,2008,lgd:2026-06-01,partial
IN-AC-2008-bihar-1326,bihar/supaul,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chandigarh-273,chandigarh/chandigarh,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2369,chhattisgarh/bastar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2370,chhattisgarh/bijapur,2008,lgd:2026-06-01,partial
IN-AC-2008-chhattisgarh-2370,chhattisgarh/narayanpur,2008,lgd:2026-06-01,partial
IN-AC-2008-chhattisgarh-2372,chhattisgarh/dakshin-bastar-dantewada,2008,lgd:2026-06-01,partial
IN-AC-2008-chhattisgarh-2372,chhattisgarh/sukma,2008,lgd:2026-06-01,partial
IN-AC-2008-chhattisgarh-2374,chhattisgarh/kondagaon,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2377,chhattisgarh/bilaspur,2008,lgd:2026-06-01,partial
IN-AC-2008-chhattisgarh-2377,chhattisgarh/mungeli,2008,lgd:2026-06-01,partial
IN-AC-2008-chhattisgarh-2380,chhattisgarh/gaurela-pendra-marwahi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2385,chhattisgarh/durg,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2386,chhattisgarh/bemetara,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2394,chhattisgarh/janjgir-champa,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-chhattisgarh-2395,chhattisgarh/balodabazar-bhatapara,2008,lgd:2026-06-01,partial
