external_key,party_short_raw,state,year,n_rows,bucket,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,tcpd_start_year,tcpd_last_year,tcpd_state_disambiguation,current_party_id,proposed_party_id,action,oracle,curator_note
ALLJP,AllJP,andhra-pradesh,2019-2024,2,B2,677,,All India Jaihind Party,AIJHP,2018,2019,singleton,parties.IN.UNK,parties.IN.AIJHP,alias-add,tcpd-catalogue-B2,TCPD pid 677 ('All India Jaihind Party'); bridges to existing canonical via abbreviation 'AIJHP'.
AMP,AMP,bihar|uttar-pradesh,2012-2016,3,B2,72,Local Party,Adarsh Manavtawadi Party,AMP,2012,2014,singleton,parties.IN.UNK,parties.IN.AMP,mint-new,tcpd-catalogue-B2,TCPD pid 72 ('Adarsh Manavtawadi Party'); minting new slug 'parties.IN.AMP' from frequent_abbrev 'AMP'.
ANSP,ANSP,madhya-pradesh,2019-2024,2,B2,104,,Ahinsa Samaj Party,AHSP,2018,2019,singleton,parties.IN.UNK,parties.IN.AHSP,alias-add,tcpd-catalogue-B2,TCPD pid 104 ('Ahinsa Samaj Party'); bridges to existing canonical via abbreviation 'AHSP'.
AP,AP,bihar|delhi|haryana|jharkhand|uttar-pradesh,2009-2020,13,B2,1005,Local Party,Awami Party,AP,1998,2020,singleton,parties.IN.UNK,parties.IN.AP,mint-new,tcpd-catalogue-B2,TCPD pid 1005 ('Awami Party'); minting new slug 'parties.IN.AP' from frequent_abbrev 'AP'.
AVVP,AVVP,madhya-pradesh,2019,1,B2,94,,Adhikar Vikas Party,ADVIP,2018,2019,singleton,parties.IN.UNK,parties.IN.ADVIP,alias-add,tcpd-catalogue-B2,TCPD pid 94 ('Adhikar Vikas Party'); bridges to existing canonical via abbreviation 'ADVIP'.
BAAP,BAAP,madhya-pradesh|maharashtra,2018-2024,8,B2,24389,,Bharat Jan Aadhar Party,BAAP,2019,2019,state-match,parties.IN.UNK,parties.IN.BAAP,mint-new,tcpd-catalogue-B2,TCPD pid 24389 ('Bharat Jan Aadhar Party'); minting new slug 'parties.IN.BAAP' from frequent_abbrev 'BAAP'.
BAHUJAN SAMAJ PARTY  (AMBEDKAR),Bahujan Samaj Party  (Ambedkar),punjab,2022,12,B1,9654,Local Party,Bahujan Samaj Party  (Ambedkar),BSP(A),1993,2019,singleton,parties.IN.UNK,parties.IN.BSP_A,alias-add,tcpd-catalogue-B1,TCPD pid 9654 ('Bahujan Samaj Party  (Ambedkar)'); bridges to existing canonical via abbreviation 'BSP(A)'.
BEP(R),BEP(R),bihar,2010,3,B2,9054,Local Party,Bahujan Ekta Party ( R ),BEP(R),1999,2010,singleton,parties.IN.UNK,parties.IN.BEP_R_IN_BR,mint-new,tcpd-catalogue-B2,TCPD pid 9054 ('Bahujan Ekta Party ( R )'); minting new slug 'parties.IN.BEP_R_IN_BR' from disambiguated abbreviation 'BEP(R)'. Disambiguated against existing canonical parties.IN.BEP_R with incompatible Party_Name.
BHAJP,BHAJP,bihar,2010,1,B2,9065,Local Party,Bharatiya Jagaran Party,BHJAP,2009,2015,singleton,parties.IN.UNK,parties.IN.BHJAP,alias-add,tcpd-catalogue-B2,TCPD pid 9065 ('Bharatiya Jagaran Party'); bridges to existing canonical via abbreviation 'BHJAP'.
BHSAPA,BhSaPa,uttar-pradesh,2012,1,B2,1841,Local Party,Bharatiya Sarvajan Party,BASAP,2012,2017,singleton,parties.IN.UNK,parties.IN.BASAP,alias-add,tcpd-catalogue-B2,TCPD pid 1841 ('Bharatiya Sarvajan Party'); bridges to existing canonical via abbreviation 'BASAP'.
BHVSP,BhVSP,uttar-pradesh,2012,8,B2,1862,Local Party,Bharatiya Vanchitsamaj Party,BAVAP,2012,2019,singleton,parties.IN.UNK,parties.IN.BAVAP,alias-add,tcpd-catalogue-B2,TCPD pid 1862 ('Bharatiya Vanchitsamaj Party'); bridges to existing canonical via abbreviation 'BAVAP'.
BJBP,BJBP,madhya-pradesh,2009-2011,2,B2,9076,Local Party,Bharatiya Jai Bheem Party,BJBP,2009,2009,singleton,parties.IN.UNK,parties.IN.BJBP,mint-new,tcpd-catalogue-B2,TCPD pid 9076 ('Bharatiya Jai Bheem Party'); minting new slug 'parties.IN.BJBP' from frequent_abbrev 'BJBP'.
BJJP,BJJP,delhi|madhya-pradesh,2018-2024,3,B2,9084,Local Party,BHARATIYA JAN JAGRUTI PARTY,BJJP,1998,1998,state-match,parties.IN.UNK,parties.IN.BJJP,mint-new,tcpd-catalogue-B2,TCPD pid 9084 ('BHARATIYA JAN JAGRUTI PARTY'); minting new slug 'parties.IN.BJJP' from frequent_abbrev 'BJJP'.
BJKD(D),BJKD(D),bihar|rajasthan,2014-2018,7,B2,9086,Local Party,Bharatiya Jan Kranti Dal (Democratic),BJKD,2009,2020,singleton,parties.IN.UNK,parties.IN.BJKD,alias-add,tcpd-catalogue-B2,TCPD pid 9086 ('Bharatiya Jan Kranti Dal (Democratic)'); bridges to existing canonical via abbreviation 'BJKD'.
BJMP,BJMP,madhya-pradesh,2018,2,B2,1420,,Bharatiya Jan Morcha Party,BHJMP,2018,2019,singleton,parties.IN.UNK,parties.IN.BHJMP,alias-add,tcpd-catalogue-B2,TCPD pid 1420 ('Bharatiya Jan Morcha Party'); bridges to existing canonical via abbreviation 'BHJMP'.
BJSPP,BJSPP,madhya-pradesh,2019,1,B2,1915,,Bhartiya Jan Sampark Party,BJSMP,2018,2019,singleton,parties.IN.UNK,parties.IN.BJSMP,alias-add,tcpd-catalogue-B2,TCPD pid 1915 ('Bhartiya Jan Sampark Party'); bridges to existing canonical via abbreviation 'BJSMP'.
BJVP,BJVP,uttar-pradesh,2012-2017,2,B2,1678,Local Party,Bharatiya Janvadi Party,BJVP,2002,2017,year-match,parties.IN.UNK,parties.IN.BJVP,mint-new,tcpd-catalogue-B2,TCPD pid 1678 ('Bharatiya Janvadi Party'); minting new slug 'parties.IN.BJVP' from frequent_abbrev 'BJVP'.
BLPGL,BLPGL,bihar|delhi,2009-2020,2,B2,9417,Local Party,Bharatiya Loktantrik Party(Gandhi-Lohiawadi),BLPGL,2009,2009,state-match,parties.IN.UNK,parties.IN.BLPGL,mint-new,tcpd-catalogue-B2,TCPD pid 9417 ('Bharatiya Loktantrik Party(Gandhi-Lohiawadi)'); minting new slug 'parties.IN.BLPGL' from frequent_abbrev 'BLPGL'.
BRP(I),BRP(I),karnataka,2018,2,B2,15871,Local Party,Bhartiya Republican Party (Insan),BRPI,2014,2019,singleton,parties.IN.UNK,parties.IN.BRPI,alias-add,tcpd-catalogue-B2,TCPD pid 15871 ('Bhartiya Republican Party (Insan)'); bridges to existing canonical via abbreviation 'BRPI'.
BSK,BSK,uttar-pradesh,2009,1,B2,9505,Local Party,Bharatiya Sarvkalayan Kranti Dal,BSK,2004,2009,year-match,parties.IN.UNK,parties.IN.BSK,mint-new,tcpd-catalogue-B2,TCPD pid 9505 ('Bharatiya Sarvkalayan Kranti Dal'); minting new slug 'parties.IN.BSK' from frequent_abbrev 'BSK'.
BSNP,BSNP,delhi|haryana,2019-2020,13,B2,9512,Local Party,Bhartiya Sangthit Nagrik Party,BSNP,1991,1991,state-match,parties.IN.UNK,parties.IN.BSNP,mint-new,tcpd-catalogue-B2,TCPD pid 9512 ('Bhartiya Sangthit Nagrik Party'); minting new slug 'parties.IN.BSNP' from frequent_abbrev 'BSNP'.
BSSP,BSSP,andhra-pradesh|chhattisgarh|jharkhand,2008-2018,17,B2,1823,Local Party,Bharatiya Sadbhawna Samaj Party,BSSP,2008,2013,state-match,parties.IN.UNK,parties.IN.BSSP,mint-new,tcpd-catalogue-B2,TCPD pid 1823 ('Bharatiya Sadbhawna Samaj Party'); minting new slug 'parties.IN.BSSP' from frequent_abbrev 'BSSP'.
BUMM,BUMM,madhya-pradesh,2018,1,B2,9427,Local Party,Bundelkhand Mukti Morcha,BMM,1996,2018,singleton,parties.IN.UNK,parties.IN.BMM,alias-add,tcpd-catalogue-B2,TCPD pid 9427 ('Bundelkhand Mukti Morcha'); bridges to existing canonical via abbreviation 'BMM'.
BUNDELKHAND VIKAS  DAL,Bundelkhand Vikas  Dal,uttar-pradesh,2022,1,B1,2121,,Bundelkhand Vikas Dal,BVD,1993,1993,singleton,parties.IN.UNK,parties.IN.BVD,mint-new,tcpd-catalogue-B1,TCPD pid 2121 ('Bundelkhand Vikas Dal'); minting new slug 'parties.IN.BVD' from frequent_abbrev 'BVD'.
BVP,BVP,bihar|delhi|punjab,2008-2014,3,B2,9679,Local Party,Bahujan Vikas Party,BVP,1998,2009,singleton,parties.IN.UNK,parties.IN.BVP,mint-new,tcpd-catalogue-B2,TCPD pid 9679 ('Bahujan Vikas Party'); minting new slug 'parties.IN.BVP' from frequent_abbrev 'BVP'.
BYPP,BYPP,andhra-pradesh|bihar|chhattisgarh|jharkhand,2019-2024,9,B2,2011,,Bhartiya Panchyat Party,BPCP,2018,2020,singleton,parties.IN.UNK,parties.IN.BPCP,alias-add,tcpd-catalogue-B2,TCPD pid 2011 ('Bhartiya Panchyat Party'); bridges to existing canonical via abbreviation 'BPCP'.
CONGRESS,Congress,maharashtra,2018,1,B1,3482,National Party,CONGRESS,INC,1962,2021,singleton,parties.IN.UNK,parties.IN.INC,alias-add,tcpd-catalogue-B1,TCPD pid 3482 ('CONGRESS'); bridges to existing canonical via abbreviation 'INC'.
CSJP,CSJP,chhattisgarh,2018,2,B2,2135,,Chhattisgarh Sanyukt Jatiye Party,CHSJP,2013,2018,singleton,parties.IN.UNK,parties.IN.CHSJP,alias-add,tcpd-catalogue-B2,TCPD pid 2135 ('Chhattisgarh Sanyukt Jatiye Party'); bridges to existing canonical via abbreviation 'CHSJP'.
CVP,CVP,chhattisgarh,2009,1,B2,2124,Local Party,Champaran Vikas Party,CVP,1995,1999,singleton,parties.IN.UNK,parties.IN.CVP,mint-new,tcpd-catalogue-B2,TCPD pid 2124 ('Champaran Vikas Party'); minting new slug 'parties.IN.CVP' from frequent_abbrev 'CVP'.
DPK,DPK,tamil-nadu,2009,1,B2,10227,Local Party,Desia Pathukappu Kazhagam,DPK,2009,2009,singleton,parties.IN.UNK,parties.IN.DPK,mint-new,tcpd-catalogue-B2,TCPD pid 10227 ('Desia Pathukappu Kazhagam'); minting new slug 'parties.IN.DPK' from frequent_abbrev 'DPK'.
DVP(B),DVP(B),madhya-pradesh,2018,1,B2,15972,Local Party,Dalit Vikas Party(Bharat),DAVP,2014,2018,singleton,parties.IN.UNK,parties.IN.DAVP,alias-add,tcpd-catalogue-B2,TCPD pid 15972 ('Dalit Vikas Party(Bharat)'); bridges to existing canonical via abbreviation 'DAVP'.
ESKP,ESKP,kerala|uttar-pradesh,2014-2015,2,B2,15989,Local Party,Ex-Sainik Kissan Party,ESKP,2014,2014,singleton,parties.IN.UNK,parties.IN.ESKP,mint-new,tcpd-catalogue-B2,TCPD pid 15989 ('Ex-Sainik Kissan Party'); minting new slug 'parties.IN.ESKP' from frequent_abbrev 'ESKP'.
ICPA,ICPA,odisha,2014-2019,7,B2,3344,,Indian Christian Secular Party,ICP,2014,2019,singleton,parties.IN.UNK,parties.IN.ICSP,alias-add,tcpd-catalogue-B2,TCPD pid 3344 ('Indian Christian Secular Party'); bridges to existing canonical via abbreviation 'ICP'.
IICR,IICR,rajasthan,2019,1,B2,3424,,Indian Indira Congress (R),IIC(R),2018,2019,singleton,parties.IN.UNK,parties.IN.IIC_R,alias-add,tcpd-catalogue-B2,TCPD pid 3424 ('Indian Indira Congress (R)'); bridges to existing canonical via abbreviation 'IIC(R)'.
IMPP,IMPP,andhra-pradesh|telangana,2012-2014,3,B2,24695,,Indian Minorities Political Party,IMPP,2014,2014,singleton,parties.IN.UNK,parties.IN.IMPP,mint-new,tcpd-catalogue-B2,TCPD pid 24695 ('Indian Minorities Political Party'); minting new slug 'parties.IN.IMPP' from frequent_abbrev 'IMPP'.
INDIAN NEW CONGRESS PARTY,Indian New Congress Party,karnataka,2023,1,B1,3875,,Indian New Congress Party,INCP,2017,2019,singleton,parties.IN.UNK,parties.IN.INCP,alias-add,tcpd-catalogue-B1,TCPD pid 3875 ('Indian New Congress Party'); bridges to existing canonical via abbreviation 'INCP'.
JBP,JBP,delhi|jharkhand|karnataka,2009,3,B2,10868,Local Party,Jai Bharat Party,JBP,2009,2009,singleton,parties.IN.UNK,parties.IN.JBP,mint-new,tcpd-catalogue-B2,TCPD pid 10868 ('Jai Bharat Party'); minting new slug 'parties.IN.JBP' from frequent_abbrev 'JBP'.
JCPB,JCPB,assam,2016,1,B2,10870,Local Party,Janata Congress Party of Bharatvarsha,JC,1991,2016,singleton,parties.IN.UNK,parties.IN.JAC,alias-add,tcpd-catalogue-B2,TCPD pid 10870 ('Janata Congress Party of Bharatvarsha'); bridges to existing canonical via abbreviation 'JC'.
JD(UNITED),JD(United),bihar|madhya-pradesh|puducherry|uttar-pradesh,2014-2018,5,B2,4526,State-based Party,Janata Party (United),JD(U),2008,2015,singleton,parties.IN.UNK,parties.IN.JDU,alias-add,tcpd-catalogue-B2,TCPD pid 4526 ('Janata Party (United)'); bridges to existing canonical via abbreviation 'JD(U)'.
JDL,JDL,uttar-pradesh,2019-2022,18,B2,24443,,Jansatta Dal Loktantrik,JDL,2019,2019,singleton,parties.IN.UNK,parties.IN.JDL,mint-new,tcpd-catalogue-B2,TCPD pid 24443 ('Jansatta Dal Loktantrik'); minting new slug 'parties.IN.JDL' from frequent_abbrev 'JDL'.
JISWP,JISWP,telangana,2018,18,B2,4054,,Jai Swaraj Party,JASWP,2018,2019,singleton,parties.IN.UNK,parties.IN.JASWP,alias-add,tcpd-catalogue-B2,TCPD pid 4054 ('Jai Swaraj Party'); bridges to existing canonical via abbreviation 'JASWP'.
JLP,JLP,madhya-pradesh,2018,5,B2,4034,,Jai Lok Party,JLOKP,2018,2019,singleton,parties.IN.UNK,parties.IN.JLOKP,alias-add,tcpd-catalogue-B2,TCPD pid 4034 ('Jai Lok Party'); bridges to existing canonical via abbreviation 'JLOKP'.
JND,JND,madhya-pradesh|uttar-pradesh,2011-2014,11,B2,4185,Local Party,Jan-Nyay Dal,JND,2011,2014,year-match,parties.IN.UNK,parties.IN.JND,mint-new,tcpd-catalogue-B2,TCPD pid 4185 ('Jan-Nyay Dal'); minting new slug 'parties.IN.JND' from frequent_abbrev 'JND'.
JVHNP,JVHNP,telangana,2018,4,B2,4190,,Jana Vaahini Party,JNVP,2018,2019,singleton,parties.IN.UNK,parties.IN.JNVP,alias-add,tcpd-catalogue-B2,TCPD pid 4190 ('Jana Vaahini Party'); bridges to existing canonical via abbreviation 'JNVP'.
KMZSP,KMZSP,chhattisgarh,2018,1,B2,4862,,Kisan Mazdoor Sangharsh Party,KMSP,2018,2019,singleton,parties.IN.UNK,parties.IN.KMSP,alias-add,tcpd-catalogue-B2,TCPD pid 4862 ('Kisan Mazdoor Sangharsh Party'); bridges to existing canonical via abbreviation 'KMSP'.
MAP,MAP,uttar-pradesh,2009-2016,4,B2,5410,,MAZDOOR PARISHAD,MAP,1969,2016,year-match,parties.IN.UNK,parties.IN.MAP,mint-new,tcpd-catalogue-B2,TCPD pid 5410 ('MAZDOOR PARISHAD'); minting new slug 'parties.IN.MAP' from frequent_abbrev 'MAP'.
MMSP,MMSP,andhra-pradesh|telangana,2014,4,B2,5289,Local Party,Majlis Markaz-e-Siyasee Party,MMP,2014,2018,state-match,parties.IN.UNK,parties.IN.MMP,alias-add,tcpd-catalogue-B2,TCPD pid 5289 ('Majlis Markaz-e-Siyasee Party'); bridges to existing canonical via abbreviation 'MMP'.
MP,MP,madhya-pradesh|rajasthan|uttar-pradesh,2014-2018,4,B2,11636,Local Party,Manava Party,MP,1998,2004,state-match,parties.IN.UNK,parties.IN.MP,mint-new,tcpd-catalogue-B2,TCPD pid 11636 ('Manava Party'); minting new slug 'parties.IN.MP' from frequent_abbrev 'MP'.
NDP,NDP,bihar|jammu-and-kashmir|karnataka,2008-2016,6,B2,5603,Local Party,National Development Party,NDEP,2008,2019,state-match,parties.IN.UNK,parties.IN.NDEP,alias-add,tcpd-catalogue-B2,TCPD pid 5603 ('National Development Party'); bridges to existing canonical via abbreviation 'NDEP'.
NSCBRP,NSCBRP,uttar-pradesh,2012,2,B2,18275,,Netaji Subhash Chander Bose Rashtriya Azad Party,NSCBRAP,2012,2019,singleton,parties.IN.UNK,parties.IN.NSCBRAP,alias-add,tcpd-catalogue-B2,TCPD pid 18275 ('Netaji Subhash Chander Bose Rashtriya Azad Party'); bridges to existing canonical via abbreviation 'NSCBRAP'.
NTRTD(LP),NTRTD(LP),andhra-pradesh,2012,2,B2,11834,Local Party,NTR Telugu Desam Party (Lakshmi Parvathi),NTRTDP(LP),1996,2012,singleton,parties.IN.UNK,parties.IN.NTRTDP_LP,alias-add,tcpd-catalogue-B2,TCPD pid 11834 ('NTR Telugu Desam Party (Lakshmi Parvathi)'); bridges to existing canonical via abbreviation 'NTRTDP(LP)'.
NVDMP,NVDMP,telangana,2018,1,B2,5841,Local Party,Navodayam Party,NPT,2014,2019,singleton,parties.IN.UNK,parties.IN.NPT,alias-add,tcpd-catalogue-B2,TCPD pid 5841 ('Navodayam Party'); bridges to existing canonical via abbreviation 'NPT'.
PM,PM,delhi|karnataka,2017-2018,2,B2,6283,,Purvanchal Mahapanchayat,PMPT,2015,2021,singleton,parties.IN.UNK,parties.IN.PMPT,alias-add,tcpd-catalogue-B2,TCPD pid 6283 ('Purvanchal Mahapanchayat'); bridges to existing canonical via abbreviation 'PMPT'.
PP,PP,andhra-pradesh|jharkhand|uttar-pradesh,2009-2019,19,B2,11914,Local Party,Praja Party,PP,2004,2019,state-match,parties.IN.UNK,parties.IN.PP,mint-new,tcpd-catalogue-B2,TCPD pid 11914 ('Praja Party'); minting new slug 'parties.IN.PP' from frequent_abbrev 'PP'.
PPP,PPP,karnataka|punjab,2012-2018,15,B2,11933,Local Party,Punjab People's Party,PNPP,1989,2012,state-match,parties.IN.UNK,parties.IN.PNPP,alias-add,tcpd-catalogue-B2,"TCPD pid 11933 (""Punjab People's Party""); bridges to existing canonical via abbreviation 'PNPP'."
PRISMP,PRISMP,mizoram,2019,1,B2,11945,Local Party,Peoples Representation for Identity and Status of Mizoram (PRISM) Party,PRISM,1998,2019,singleton,parties.IN.UNK,parties.IN.PRISM,alias-add,tcpd-catalogue-B2,TCPD pid 11945 ('Peoples Representation for Identity and Status of Mizoram (PRISM) Party'); bridges to existing canonical via abbreviation 'PRISM'.
PUJP,PUJP,assam|bihar|delhi|jharkhand|karnataka|odisha|tamil-nadu|west-bengal,2019-2020,19,B2,24534,,Purvanchal Janta Party (Secular),PUJP,2019,2020,state-match,parties.IN.UNK,parties.IN.PUJP,mint-new,tcpd-catalogue-B2,TCPD pid 24534 ('Purvanchal Janta Party (Secular)'); minting new slug 'parties.IN.PUJP' from frequent_abbrev 'PUJP'.
RAD,RAD,uttar-pradesh,2009,3,B2,12029,Local Party,Rashtriya Agraniye Dal,RAD,2009,2009,singleton,parties.IN.UNK,parties.IN.RAD,mint-new,tcpd-catalogue-B2,TCPD pid 12029 ('Rashtriya Agraniye Dal'); minting new slug 'parties.IN.RAD' from frequent_abbrev 'RAD'.
RAJAP,RAJAP,uttar-pradesh,2017,15,B2,12088,Local Party,Rashtriya Jan  Adhikar Party,RJAP,2004,2020,singleton,parties.IN.UNK,parties.IN.RJAP,alias-add,tcpd-catalogue-B2,TCPD pid 12088 ('Rashtriya Jan  Adhikar Party'); bridges to existing canonical via abbreviation 'RJAP'.
RAMSP GAS,RAMSP Gas,delhi,2013,1,B2,6731,Local Party,Rashtriya Manav samman Party,RAMSP,2012,2014,singleton,parties.IN.UNK,parties.IN.RAMSP,alias-add,tcpd-catalogue-B2,TCPD pid 6731 ('Rashtriya Manav samman Party'); bridges to existing canonical via abbreviation 'RAMSP'.
RAPTY,RAPty,madhya-pradesh,2019,1,B2,6404,,Rashtriya Aamjan Party,RAMJP,2018,2019,singleton,parties.IN.UNK,parties.IN.RAMJP,alias-add,tcpd-catalogue-B2,TCPD pid 6404 ('Rashtriya Aamjan Party'); bridges to existing canonical via abbreviation 'RAMJP'.
RASHTRIYA SAMTA VIKAS PARTY,Rashtriya Samta Vikas Party,uttar-pradesh,2022,2,B1,24403,,Rashtriya Samta Vikas Party,RSVP,2019,2019,singleton,parties.IN.UNK,parties.IN.RSVP,mint-new,tcpd-catalogue-B1,TCPD pid 24403 ('Rashtriya Samta Vikas Party'); minting new slug 'parties.IN.RSVP' from frequent_abbrev 'RSVP'.
RBHP,RBHP,delhi|haryana|uttar-pradesh,2011-2015,17,B2,6440,Local Party,Rashtriya Bahujan Hitay Party,RBHP,2012,2015,singleton,parties.IN.UNK,parties.IN.RBHP,mint-new,tcpd-catalogue-B2,TCPD pid 6440 ('Rashtriya Bahujan Hitay Party'); minting new slug 'parties.IN.RBHP' from frequent_abbrev 'RBHP'.
RKP,RKP,uttar-pradesh,2014,1,B2,6609,Local Party,Rashtriya Kisan Party,RKP,1996,2003,singleton,parties.IN.UNK,parties.IN.RKP,mint-new,tcpd-catalogue-B2,TCPD pid 6609 ('Rashtriya Kisan Party'); minting new slug 'parties.IN.RKP' from frequent_abbrev 'RKP'.
RLTP,RLTP,rajasthan,2019-2024,2,B2,6715,,Rashtriya Loktantrik Party,RALTP,2018,2019,singleton,parties.IN.UNK,parties.IN.RLP,alias-add,tcpd-catalogue-B2,TCPD pid 6715 ('Rashtriya Loktantrik Party'); bridges to existing canonical via abbreviation 'RALTP'.
RMKP,RMKP,rajasthan,2018,3,B2,6607,,Rashtriya Kisan Majdoor Party,RKMP,2017,2018,singleton,parties.IN.UNK,parties.IN.RKMP,alias-add,tcpd-catalogue-B2,TCPD pid 6607 ('Rashtriya Kisan Majdoor Party'); bridges to existing canonical via abbreviation 'RKMP'.
RND,RND,bihar|haryana|rajasthan|uttar-pradesh,2009-2019,8,B2,12200,Local Party,Rashtriya Naujawan Dal,RND,2009,2019,singleton,parties.IN.UNK,parties.IN.RND,mint-new,tcpd-catalogue-B2,TCPD pid 12200 ('Rashtriya Naujawan Dal'); minting new slug 'parties.IN.RND' from frequent_abbrev 'RND'.
RPB,RPB,uttar-pradesh,2019,1,B2,6373,,Rashtravadi Party (Bharat),RP(B),2018,2019,singleton,parties.IN.UNK,parties.IN.RP_B,alias-add,tcpd-catalogue-B2,TCPD pid 6373 ('Rashtravadi Party (Bharat)'); bridges to existing canonical via abbreviation 'RP(B)'.
RSRS,RSRS,andhra-pradesh,2012,1,B2,12375,Local Party,Rayalaseema Rashtra Samithi,RRS,2009,2019,singleton,parties.IN.UNK,parties.IN.RRS,alias-add,tcpd-catalogue-B2,TCPD pid 12375 ('Rayalaseema Rashtra Samithi'); bridges to existing canonical via abbreviation 'RRS'.
SBIP,SBIP,madhya-pradesh,2018,2,B2,8184,,Swarnib Bharat Inquilab,SBI,2013,2019,singleton,parties.IN.UNK,parties.IN.SBI,alias-add,tcpd-catalogue-B2,TCPD pid 8184 ('Swarnib Bharat Inquilab'); bridges to existing canonical via abbreviation 'SBI'.
SBP,SBP,bihar|haryana,2010-2014,4,B2,12539,Local Party,Sadbhavana Party,SBP,1999,1999,state-match,parties.IN.UNK,parties.IN.SBP,mint-new,tcpd-catalogue-B2,TCPD pid 12539 ('Sadbhavana Party'); minting new slug 'parties.IN.SBP' from frequent_abbrev 'SBP'.
SHD,SHD,bihar,2010-2020,3,B2,7707,,Sarvhara Dal,SHD,2005,2020,year-match,parties.IN.UNK,parties.IN.SHD,mint-new,tcpd-catalogue-B2,TCPD pid 7707 ('Sarvhara Dal'); minting new slug 'parties.IN.SHD' from frequent_abbrev 'SHD'.
