external_key,party_short_raw,state,year,n_rows,bucket,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,tcpd_start_year,tcpd_last_year,tcpd_state_disambiguation,current_party_id,proposed_party_id,action,oracle,curator_note,skip_reason
BHARATIYA APNA SAMAJ PARTY,Bharatiya Apna Samaj Party,uttar-pradesh,2022,5,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATIYA HITRAKSHAK PARTY,Bharatiya Hitrakshak Party,gujarat,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATIYA JAN JAGRITI PARTY,Bharatiya Jan Jagriti Party,punjab|uttar-pradesh|uttarakhand,2022,9,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATIYA PRAJA AIKYATA PARTY,Bharatiya Praja Aikyata Party,karnataka,2023,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATIYA SAMAJWADI PARTY (LOKTANTRIK),Bharatiya Samajwadi party (Loktantrik),uttarakhand,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATIYA SARVJAN VIKAS PARTY,Bharatiya Sarvjan Vikas Party,uttar-pradesh,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATIYA SUHELDEV JANATA PARTY,Bharatiya Suheldev Janata Party,uttar-pradesh,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARATIYA YUVA JAN EKTA PARTY,Bharatiya Yuva Jan Ekta Party,gujarat,2022,1,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARTIYA  SARVJAN PARTY,Bhartiya  Sarvjan Party,uttar-pradesh,2020-2022,4,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
BHARTIYA DAMITJAN PARTY,Bhartiya Damitjan Party,uttar-pradesh,2022,2,,,,,,,,,parties.IN.UNK,,,none,label not present in TCPD parties catalogue (Party_Name / Frequent_Abbreviation / Last_Abbreviation / Abbreviations).,not-in-tcpd-catalogue
