external_key,party_short_raw,state,year,n_rows,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,current_party_id,proposed_party_id,action,oracle,curator_note
ABD,ABD,haryana,2019-2024,2,24366,,Adim Bhartiya Dal,ABD,parties.IN.UNK,parties.IN.ABD,mint-new,tcpd-unique,TCPD Party_ID 24366 ('Adim Bhartiya Dal'); minting new slug 'parties.IN.ABD' from frequent_abbrev 'ABD'.
ABDBM,ABDBM,bihar|telangana|uttar-pradesh,2009-2018,6,250,Local Party,Akhil Bharatiya Desh Bhakt Morcha,ABDBM,parties.IN.UNK,parties.IN.ABDBM,mint-new,tcpd-unique,TCPD Party_ID 250 ('Akhil Bharatiya Desh Bhakt Morcha'); minting new slug 'parties.IN.ABDBM' from frequent_abbrev 'ABDBM'.
ABGL,ABGL,west-bengal,2011-2026,5,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (256|258); state-disambiguation also failed across our states (west-bengal).
ABHASP,ABHASP,uttar-pradesh,2017-2024,2,62,,Abhay Samaj Party,ABHASP,parties.IN.UNK,parties.IN.ABHASP,mint-new,tcpd-unique,TCPD Party_ID 62 ('Abhay Samaj Party'); minting new slug 'parties.IN.ABHASP' from frequent_abbrev 'ABHASP'.
ABHAY SAMAJ PARTY,ABHAY SAMAJ PARTY,uttar-pradesh,2022,2,62,,Abhay Samaj Party,ABHASP,parties.IN.UNK,parties.IN.ABHASP,mint-new,tcpd-unique,TCPD Party_ID 62 ('Abhay Samaj Party'); minting new slug 'parties.IN.ABHASP' from frequent_abbrev 'ABHASP'.
ABHINAV RAJASTHAN PARTY,ABHINAV RAJASTHAN PARTY,rajasthan,2021,1,64,,Abhinav Rajasthan Party,ABRJP,parties.IN.UNK,parties.IN.ABRJP,mint-new,tcpd-unique,TCPD Party_ID 64 ('Abhinav Rajasthan Party'); minting new slug 'parties.IN.ABRJP' from frequent_abbrev 'ABRJP'.
ABHKP,ABHKP,bihar|haryana|madhya-pradesh,2009-2024,11,402,Local Party,Akhil Bharatiya Hind Kranti Party,ABHKP,parties.IN.UNK,parties.IN.ABHKP,mint-new,tcpd-unique,TCPD Party_ID 402 ('Akhil Bharatiya Hind Kranti Party'); minting new slug 'parties.IN.ABHKP' from frequent_abbrev 'ABHKP'.
ABHP,ABHP,uttar-pradesh,2019,1,24446,,Adhunik Bharat Party,ABHP,parties.IN.UNK,parties.IN.ABHP,mint-new,tcpd-unique,TCPD Party_ID 24446 ('Adhunik Bharat Party'); minting new slug 'parties.IN.ABHP' from frequent_abbrev 'ABHP'.
ABHRTJNSVP,ABHRTJNSVP,maharashtra,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ABHSP,ABHSP,uttar-pradesh,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ABJP,ABJP,jharkhand|punjab,2009-2012,2,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (24577|508); state-disambiguation also failed across our states (jharkhand|punjab).
ABKMM,ABKMM,tamil-nadu,2009,1,8725,Local Party,Akhil Bharatiya Kisan Mazdoor Morcha,ABKMM,parties.IN.UNK,parties.IN.ABKMM,mint-new,tcpd-unique,TCPD Party_ID 8725 ('Akhil Bharatiya Kisan Mazdoor Morcha'); minting new slug 'parties.IN.ABKMM' from frequent_abbrev 'ABKMM'.
ABKMP,ABKMP,haryana,2019-2024,2,24486,,Akhil Bhartiya Kisan Majdoor Party,ABKMP,parties.IN.UNK,parties.IN.ABKMP,mint-new,tcpd-unique,TCPD Party_ID 24486 ('Akhil Bhartiya Kisan Majdoor Party'); minting new slug 'parties.IN.ABKMP' from frequent_abbrev 'ABKMP'.
ABKP,ABKP,madhya-pradesh,2008,2,402,Local Party,Akhil Bharatiya Hind Kranti Party,ABHKP,parties.IN.UNK,parties.IN.ABHKP,mint-new,tcpd-unique,TCPD Party_ID 402 ('Akhil Bharatiya Hind Kranti Party'); minting new slug 'parties.IN.ABHKP' from frequent_abbrev 'ABHKP'.
ABLP,ABLP,uttar-pradesh,2019,1,,,,,parties.IN.UNK,,disputed,none,TCPD collision: label maps to 2 Party_IDs (11554|24425); state-disambiguation also failed across our states (uttar-pradesh).
ABLTC,ABLTC,uttar-pradesh,2012,1,412,Local Party,Akhil Bharatiya Lok Tantrik Congress,ABLTC,parties.IN.UNK,parties.IN.ABLTC,mint-new,tcpd-unique,TCPD Party_ID 412 ('Akhil Bharatiya Lok Tantrik Congress'); minting new slug 'parties.IN.ABLTC' from frequent_abbrev 'ABLTC'.
ABLTP,ABLTP,haryana|uttar-pradesh,2009-2012,3,11554,Local Party,Akhil Bharatiya Loktantra Party,ABLTP,parties.IN.UNK,parties.IN.ABLTP,mint-new,tcpd-unique,TCPD Party_ID 11554 ('Akhil Bharatiya Loktantra Party'); minting new slug 'parties.IN.ABLTP' from frequent_abbrev 'ABLTP'.
ABMAD,ABMAD,chhattisgarh,2008,1,328,Local Party,Akhil Bharatiya Manav Adhikar Dal,ABMAD,parties.IN.UNK,parties.IN.ABMAD,mint-new,tcpd-unique,TCPD Party_ID 328 ('Akhil Bharatiya Manav Adhikar Dal'); minting new slug 'parties.IN.ABMAD' from frequent_abbrev 'ABMAD'.
ABML(S),ABML(S),andhra-pradesh|jammu-and-kashmir|karnataka|maharashtra|telangana|uttar-pradesh|uttarakhand,2012-2024,15,339,Local Party,Akhil Bharatiya Muslim League (Secular),ABML(S),parties.IN.UNK,parties.IN.ABML_S,mint-new,tcpd-unique,TCPD Party_ID 339 ('Akhil Bharatiya Muslim League (Secular)'); minting new slug 'parties.IN.ABML_S' from frequent_abbrev 'ABML(S)'.
