entity_id,time,fuel_type,value,source_id
assam,2018,renewable,64.58,src-4f495cca1e69
assam,2019,all,1803.07,src-4f495cca1e69
assam,2019,coal,750,src-4f495cca1e69
assam,2019,gas,619.21,src-4f495cca1e69
assam,2019,hydro,350,src-4f495cca1e69
assam,2019,renewable,83.86,src-4f495cca1e69
assam,2020,all,1808.03,src-4f495cca1e69
assam,2020,coal,750,src-4f495cca1e69
assam,2020,gas,620.36,src-4f495cca1e69
assam,2020,hydro,350,src-4f495cca1e69
assam,2020,renewable,87.67,src-4f495cca1e69
assam,2021,all,1874.41,src-4f495cca1e69
assam,2021,coal,750,src-4f495cca1e69
assam,2021,gas,620.36,src-4f495cca1e69
assam,2021,hydro,350,src-4f495cca1e69
assam,2021,renewable,154.05,src-4f495cca1e69
assam,2022,all,1881.39,src-4f495cca1e69
assam,2022,coal,750,src-4f495cca1e69
assam,2022,gas,597.36,src-4f495cca1e69
assam,2022,hydro,350,src-4f495cca1e69
assam,2022,renewable,184.02999999999997,src-4f495cca1e69
assam,2023,all,1889.65,src-4f495cca1e69
assam,2023,coal,750,src-4f495cca1e69
assam,2023,gas,597.36,src-4f495cca1e69
assam,2023,hydro,350,src-4f495cca1e69
assam,2023,renewable,192.29000000000002,src-4f495cca1e69
assam,2024,all,1930.01,src-4f495cca1e69
assam,2024,coal,750,src-4f495cca1e69
assam,2024,gas,597.36,src-4f495cca1e69
assam,2024,hydro,350,src-4f495cca1e69
assam,2024,renewable,232.64999999999998,src-4f495cca1e69
assam,2025,all,2305.64,src-4f495cca1e69
assam,2025,coal,750,src-4f495cca1e69
assam,2025,gas,597.36,src-4f495cca1e69
assam,2025,hydro,346,src-4f495cca1e69
assam,2025,renewable,612.28,src-4f495cca1e69
bihar,2015,all,4729.04,src-4f495cca1e69
bihar,2015,coal,4535,src-4f495cca1e69
bihar,2015,renewable,194.04000000000002,src-4f495cca1e69
bihar,2016,all,5039.7,src-4f495cca1e69
bihar,2016,coal,4730,src-4f495cca1e69
bihar,2016,renewable,309.7,src-4f495cca1e69
bihar,2017,all,5826.18,src-4f495cca1e69
bihar,2017,coal,5480,src-4f495cca1e69
bihar,2017,renewable,346.18,src-4f495cca1e69
bihar,2018,all,6082.23,src-4f495cca1e69
bihar,2018,coal,5730,src-4f495cca1e69
bihar,2018,renewable,352.23,src-4f495cca1e69
bihar,2019,all,6755.09,src-4f495cca1e69
bihar,2019,coal,6390,src-4f495cca1e69
bihar,2019,renewable,365.09000000000003,src-4f495cca1e69
bihar,2020,all,7426.63,src-4f495cca1e69
bihar,2020,coal,7050,src-4f495cca1e69
bihar,2020,renewable,376.63,src-4f495cca1e69
bihar,2021,all,8787.35,src-4f495cca1e69
bihar,2021,coal,8400,src-4f495cca1e69
bihar,2021,renewable,387.35,src-4f495cca1e69
bihar,2022,all,8789.61,src-4f495cca1e69
bihar,2022,coal,8400,src-4f495cca1e69
bihar,2022,renewable,389.61,src-4f495cca1e69
bihar,2023,all,9510.15,src-4f495cca1e69
bihar,2023,coal,9060,src-4f495cca1e69
bihar,2023,renewable,450.15,src-4f495cca1e69
bihar,2024,all,9599.26,src-4f495cca1e69
bihar,2024,coal,9060,src-4f495cca1e69
bihar,2024,renewable,539.26,src-4f495cca1e69
bihar,2025,all,10821.26,src-4f495cca1e69
bihar,2025,coal,10170,src-4f495cca1e69
bihar,2025,renewable,651.26,src-4f495cca1e69
chandigarh,2015,all,7.62,src-4f495cca1e69
chandigarh,2015,renewable,7.62,src-4f495cca1e69
chandigarh,2016,all,18.13,src-4f495cca1e69
chandigarh,2016,renewable,18.13,src-4f495cca1e69
chandigarh,2017,all,26.01,src-4f495cca1e69
chandigarh,2017,renewable,26.01,src-4f495cca1e69
chandigarh,2018,all,35.52,src-4f495cca1e69
chandigarh,2018,renewable,35.52,src-4f495cca1e69
chandigarh,2019,all,41.36,src-4f495cca1e69
chandigarh,2019,renewable,41.36,src-4f495cca1e69
chandigarh,2020,all,45.97,src-4f495cca1e69
chandigarh,2020,renewable,45.97,src-4f495cca1e69
chandigarh,2021,all,55.17,src-4f495cca1e69
chandigarh,2021,renewable,55.17,src-4f495cca1e69
chandigarh,2022,all,58.69,src-4f495cca1e69
chandigarh,2022,renewable,58.69,src-4f495cca1e69
chandigarh,2023,all,65.52,src-4f495cca1e69
chandigarh,2023,renewable,65.52,src-4f495cca1e69
chandigarh,2024,all,78.85,src-4f495cca1e69
chandigarh,2024,renewable,78.85,src-4f495cca1e69
chandigarh,2025,all,78.85,src-4f495cca1e69
chandigarh,2025,renewable,78.85,src-4f495cca1e69
chhattisgarh,2015,all,19980.66,src-4f495cca1e69
chhattisgarh,2015,coal,19458,src-4f495cca1e69
chhattisgarh,2015,hydro,120,src-4f495cca1e69
chhattisgarh,2015,renewable,402.66,src-4f495cca1e69
chhattisgarh,2016,all,20912.74,src-4f495cca1e69
chhattisgarh,2016,coal,20308,src-4f495cca1e69
chhattisgarh,2016,hydro,120,src-4f495cca1e69
chhattisgarh,2016,renewable,484.74,src-4f495cca1e69
chhattisgarh,2017,all,23453.42,src-4f495cca1e69
chhattisgarh,2017,coal,22668,src-4f495cca1e69
chhattisgarh,2017,hydro,120,src-4f495cca1e69
chhattisgarh,2017,renewable,665.42,src-4f495cca1e69
chhattisgarh,2018,all,24178.77,src-4f495cca1e69
chhattisgarh,2018,coal,23328,src-4f495cca1e69
chhattisgarh,2018,hydro,120,src-4f495cca1e69
chhattisgarh,2018,renewable,730.77,src-4f495cca1e69
chhattisgarh,2019,all,23992.89,src-4f495cca1e69
chhattisgarh,2019,coal,23128,src-4f495cca1e69
chhattisgarh,2019,hydro,120,src-4f495cca1e69
chhattisgarh,2019,renewable,744.89,src-4f495cca1e69
chhattisgarh,2020,all,24574.52,src-4f495cca1e69
chhattisgarh,2020,coal,23688,src-4f495cca1e69
chhattisgarh,2020,hydro,120,src-4f495cca1e69
chhattisgarh,2020,renewable,766.52,src-4f495cca1e69
chhattisgarh,2021,all,24677.08,src-4f495cca1e69
chhattisgarh,2021,coal,23688,src-4f495cca1e69
chhattisgarh,2021,hydro,120,src-4f495cca1e69
chhattisgarh,2021,renewable,869.08,src-4f495cca1e69
chhattisgarh,2022,all,25107.82,src-4f495cca1e69
chhattisgarh,2022,coal,23688,src-4f495cca1e69
chhattisgarh,2022,hydro,120,src-4f495cca1e69
chhattisgarh,2022,renewable,1299.8200000000002,src-4f495cca1e69
chhattisgarh,2023,all,25371.39,src-4f495cca1e69
chhattisgarh,2023,coal,23688,src-4f495cca1e69
chhattisgarh,2023,hydro,120,src-4f495cca1e69
chhattisgarh,2023,renewable,1563.39,src-4f495cca1e69
chhattisgarh,2024,all,25564.46,src-4f495cca1e69
chhattisgarh,2024,coal,23688,src-4f495cca1e69
chhattisgarh,2024,gas,48,src-4f495cca1e69
chhattisgarh,2024,hydro,120,src-4f495cca1e69
chhattisgarh,2024,renewable,1708.46,src-4f495cca1e69
chhattisgarh,2025,all,26416.56,src-4f495cca1e69
chhattisgarh,2025,coal,24093,src-4f495cca1e69
chhattisgarh,2025,hydro,120,src-4f495cca1e69
chhattisgarh,2025,renewable,2203.56,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2015,all,4,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2015,renewable,4,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2016,all,13.43,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2016,renewable,13.43,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2017,all,16.07,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2017,renewable,16.07,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2018,all,19.93,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2018,renewable,19.93,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2019,all,25.32,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2019,renewable,25.32,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2020,all,46.01,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2020,renewable,46.01,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2021,all,46.18,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2021,renewable,46.18,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2022,all,46.47,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2022,renewable,46.47,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2023,all,46.47,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2023,renewable,46.47,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2024,all,51.87,src-4f495cca1e69
dadra-and-nagar-haveli-and-daman-and-diu,2024,renewable,51.87,src-4f495cca1e69
