action,proposed_party_id,party_short_raw,tcpd_frequent_abbrev,tcpd_party_name,tcpd_party_type,state,tcpd_start_year,tcpd_last_year
mint-new,parties.IN.GNDWDKP,GNDWDKP,GNDWDKP,GNDWDKP,,,,
mint-new,parties.IN.GRBDMCTP,GRBDMCTP,GRBDMCTP,GRBDMCTP,,,,
mint-new,parties.IN.GRBKLYNP,GRBKLYNP,GRBKLYNP,GRBKLYNP,,,,
mint-new,parties.IN.GSD,GSD,GSD,GSD,,,,
mint-new,parties.IN.GSNJP,GSNJP,GSNJP,GSNJP,,,,
mint-new,parties.IN.GSSP,GSSP,GSSP,GSSP,,,,
mint-new,parties.IN.HCHLJP,HCHLJP,HCHLJP,HCHLJP,,,,
mint-new,parties.IN.HFPP,HFPP,HFPP,HFPP,,,,
mint-new,parties.IN.HINDSMJP,HINDSMJP,HINDSMJP,HINDSMJP,,,,
mint-new,parties.IN.HJPS,HJPS,HJPS,HJPS,,,,
mint-new,parties.IN.HMR,HMR,HMR,HMR,,,,
mint-new,parties.IN.HNDPPD,HNDPPD,HNDPPD,HNDPPD,,,,
mint-new,parties.IN.HNDSWRJD,HNDSWRJD,HNDSWRJD,HNDSWRJD,,,,
mint-new,parties.IN.HRJSP,HRJSP,HRJSP,HRJSP,,,,
mint-new,parties.IN.HS,HS,HS,HS,,,,
mint-new,parties.IN.HSVP,HSVP,HSVP,HSVP,,,,
mint-new,parties.IN.IBP,IBP,IBP,IBP,,,,
mint-new,parties.IN.IMP,IMP,IMP,IMP,,,,
mint-new,parties.IN.INDMP,INDMP,INDMP,INDMP,,,,
mint-new,parties.IN.INDPPLSADH,INDPPLSADH,INDPPLSADH,INDPPLSADH,,,,
mint-new,parties.IN.INGRP,INGRP,INGRP,INGRP,,,,
mint-new,parties.IN.INSAF,INSAF,INSAF,INSAF,,,,
mint-new,parties.IN.INYJP,INYJP,INYJP,INYJP,,,,
mint-new,parties.IN.JAISMP,JAISMP,JAISMP,JAISMP,,,,
mint-new,parties.IN.JAKAP,JAKAP,JAKAP,JAKAP,,,,
mint-new,parties.IN.JAKNPF,JAKNPF,JAKNPF,JAKNPF,,,,
mint-new,parties.IN.JCVIVP,JCVIVP,JCVIVP,JCVIVP,,,,
mint-new,parties.IN.JHNDCGP,JHNDCGP,JHNDCGP,JHNDCGP,,,,
mint-new,parties.IN.JIHNDNTLP,JIHNDNTLP,JIHNDNTLP,JIHNDNTLP,,,,
mint-new,parties.IN.JJSP,JJSP,JJSP,JJSP,,,,
mint-new,parties.IN.JKNPPB,JKNPPB,JKNPPB,JKNPPB,,,,
mint-new,parties.IN.JKRP,JKRP,JKRP,JKRP,,,,
mint-new,parties.IN.JNJWDIP,JNJWDIP,JNJWDIP,JNJWDIP,,,,
mint-new,parties.IN.JNLKVKSP,JNLKVKSP,JNLKVKSP,JNLKVKSP,,,,
mint-new,parties.IN.JNSGNDWP,JNSGNDWP,JNSGNDWP,JNSGNDWP,,,,
mint-new,parties.IN.JNSHSK,JNSHSK,JNSHSK,JNSHSK,,,,
mint-new,parties.IN.JNSKJNDL,JNSKJNDL,JNSKJNDL,JNSKJNDL,,,,
mint-new,parties.IN.JNSKTSMTP,JNSKTSMTP,JNSKTSMTP,JNSKTSMTP,,,,
mint-new,parties.IN.JNSNKP,JNSNKP,JNSNKP,JNSNKP,,,,
mint-new,parties.IN.JNTADRBARP,JNTADRBARP,JNTADRBARP,JNTADRBARP,,,,
mint-new,parties.IN.JNTASP,JNTASP,JNTASP,JNTASP,,,,
mint-new,parties.IN.JNTRAAWJP,JNTRAAWJP,JNTRAAWJP,JNTRAAWJP,,,,
mint-new,parties.IN.JNTSMTP,JNTSMTP,JNTSMTP,JNTSMTP,,,,
mint-new,parties.IN.JRBP,JRBP,JRBP,JRBP,,,,
mint-new,parties.IN.JSDP,JSDP,JSDP,JSDP,,,,
mint-new,parties.IN.JSKHP,JSKHP,JSKHP,JSKHP,,,,
mint-new,parties.IN.JSKP,JSKP,JSKP,JSKP,,,,
mint-new,parties.IN.JSPVR,JSPVR,JSPVR,JSPVR,,,,
mint-new,parties.IN.JSWBHVKP,JSWBHVKP,JSWBHVKP,JSWBHVKP,,,,
mint-new,parties.IN.JYVDRBP,JYVDRBP,JYVDRBP,JYVDRBP,,,,
mint-new,parties.IN.JAHP,JaHP,JaHP,JaHP,,,,
mint-new,parties.IN.KMGRKSNP,KMGRKSNP,KMGRKSNP,KMGRKSNP,,,,
mint-new,parties.IN.KMSMP,KMSMP,KMSMP,KMSMP,,,,
mint-new,parties.IN.KNBHJSWP,KNBHJSWP,KNBHJSWP,KNBHJSWP,,,,
mint-new,parties.IN.KPJD,KPJD,KPJD,KPJD,,,,
mint-new,parties.IN.KRJAP,KRJAP,KRJAP,KRJAP,,,,
mint-new,parties.IN.KRUNDSVKRA,KRUNDSVKRA,KRUNDSVKRA,KRUNDSVKRA,,,,
mint-new,parties.IN.KSNVSWP,KSNVSWP,KSNVSWP,KSNVSWP,,,,
mint-new,parties.IN.LBCP,LBCP,LBCP,LBCP,,,,
mint-new,parties.IN.LGP,LGP,LGP,LGP,,,,
mint-new,parties.IN.LKHAP,LKHAP,LKHAP,LKHAP,,,,
mint-new,parties.IN.LKRJJNTP,LKRJJNTP,LKRJJNTP,LKRJJNTP,,,,
mint-new,parties.IN.LKSWRJP,LKSWRJP,LKSWRJP,LKSWRJP,,,,
mint-new,parties.IN.LLRP,LLRP,LLRP,LLRP,,,,
mint-new,parties.IN.LPRSTRP,LPRSTRP,LPRSTRP,LPRSTRP,,,,
mint-new,parties.IN.LSEP,LSEP,LSEP,LSEP,,,,
mint-new,parties.IN.LSNP,LSNP,LSNP,LSNP,,,,
mint-new,parties.IN.MAHMMK,MAHMMK,MAHMMK,MAHMMK,,,,
mint-new,parties.IN.MAIIJP,MAIIJP,MAIIJP,MAIIJP,,,,
mint-new,parties.IN.MANAK,MANAK,MANAK,MANAK,,,,
mint-new,parties.IN.MBMP,MBMP,MBMP,MBMP,,,,
mint-new,parties.IN.MJLMSMJP,MJLMSMJP,MJLMSMJP,MJLMSMJP,,,,
mint-new,parties.IN.MLCNG,MLCNG,MLCNG,MLCNG,,,,
mint-new,parties.IN.MLD,MLD,MLD,MLD,,,,
mint-new,parties.IN.MNDB,MNDB,MNDB,MNDB,,,,
mint-new,parties.IN.MNGSMJP,MNGSMJP,MNGSMJP,MNGSMJP,,,,
mint-new,parties.IN.MNK,MNK,MNK,MNK,,,,
mint-new,parties.IN.MSMDNP,MSMDNP,MSMDNP,MSMDNP,,,,
mint-new,parties.IN.MTRSP,MTRSP,MTRSP,MTRSP,,,,
mint-new,parties.IN.NADLMMKLK,NADLMMKLK,NADLMMKLK,NADLMMKLK,,,,
mint-new,parties.IN.NAUP,NAUP,NAUP,NAUP,,,,
mint-new,parties.IN.NBBHNRSVP,NBBHNRSVP,NBBHNRSVP,NBBHNRSVP,,,,
mint-new,parties.IN.NBHS,NBHS,NBHS,NBHS,,,,
mint-new,parties.IN.NBNGPLPP,NBNGPLPP,NBNGPLPP,NBNGPLPP,,,,
mint-new,parties.IN.NDS,NDS,NDS,NDS,,,,
mint-new,parties.IN.NETHNP,NETHNP,NETHNP,NETHNP,,,,
mint-new,parties.IN.NGPP,NGPP,NGPP,NGPP,,,,
mint-new,parties.IN.NIUP,NIUP,NIUP,NIUP,,,,
mint-new,parties.IN.NJMP,NJMP,NJMP,NJMP,,,,
mint-new,parties.IN.NJNDL,NJNDL,NJNDL,NJNDL,,,,
mint-new,parties.IN.NMSP,NMSP,NMSP,NMSP,,,,
mint-new,parties.IN.NNRP,NNRP,NNRP,NNRP,,,,
mint-new,parties.IN.NP,NP,NP,NP,,,,
mint-new,parties.IN.NPM,NPM,NPM,NPM,,,,
mint-new,parties.IN.NRPI,NRPI,NRPI,NRPI,,,,
mint-new,parties.IN.NWLBRP,NWLBRP,NWLBRP,NWLBRP,,,,
mint-new,parties.IN.NWLP,NWLP,NWLP,NWLP,,,,
mint-new,parties.IN.ODSHJP,ODSHJP,ODSHJP,ODSHJP,,,,
mint-new,parties.IN.PASIP,PASIP,PASIP,PASIP,,,,
mint-new,parties.IN.PBM,PBM,PBM,PBM,,,,
mint-new,parties.IN.PEOPRTCP,PEOPRTCP,PEOPRTCP,PEOPRTCP,,,,
mint-new,parties.IN.PEP,PEP,PEP,PEP,,,,
mint-new,parties.IN.PHCPP,PHCPP,PHCPP,PHCPP,,,,
mint-new,parties.IN.PLTIJSTP,PLTIJSTP,PLTIJSTP,PLTIJSTP,,,,
mint-new,parties.IN.PMTDK,PMTDK,PMTDK,PMTDK,,,,
mint-new,parties.IN.PNGDSP,PNGDSP,PNGDSP,PNGDSP,,,,
mint-new,parties.IN.PNJBNP,PNJBNP,PNJBNP,PNJBNP,,,,
mint-new,parties.IN.PPI,PPI,PPI,PPI,,,,
mint-new,parties.IN.PPSP,PPSP,PPSP,PPSP,,,,
mint-new,parties.IN.PRJPP,PRJPP,PRJPP,PRJPP,,,,
mint-new,parties.IN.PRJVLGUP,PRJVLGUP,PRJVLGUP,PRJVLGUP,,,,
mint-new,parties.IN.PRJVNIP,PRJVNIP,PRJVNIP,PRJVNIP,,,,
mint-new,parties.IN.PRVPOI,PRVPOI,PRVPOI,PRVPOI,,,,
mint-new,parties.IN.PS,PS,PS,PS,,,,
mint-new,parties.IN.RASTSA,RASTSA,RASTSA,RASTSA,,,,
mint-new,parties.IN.RATLJNTAP,RATLJNTAP,RATLJNTAP,RATLJNTAP,,,,
mint-new,parties.IN.RDD,RDD,RDD,RDD,,,,
mint-new,parties.IN.RJKMP,RJKMP,RJKMP,RJKMP,,,,
mint-new,parties.IN.RJSTHNRJP,RJSTHNRJP,RJSTHNRJP,RJSTHNRJP,,,,
mint-new,parties.IN.RJUP,RJUP,RJUP,RJUP,,,,
mint-new,parties.IN.RKSYPP,RKSYPP,RKSYPP,RKSYPP,,,,
mint-new,parties.IN.RLPI,RLPI,RLPI,RLPI,,,,
mint-new,parties.IN.RMBP,RMBP,RMBP,RMBP,,,,
mint-new,parties.IN.RNVP,RNVP,RNVP,RNVP,,,,
mint-new,parties.IN.RPIB,RPIB,RPIB,RPIB,,,,
mint-new,parties.IN.RSHSNSP,RSHSNSP,RSHSNSP,RSHSNSP,,,,
mint-new,parties.IN.RSHTBHUP,RSHTBHUP,RSHTBHUP,RSHTBHUP,,,,
mint-new,parties.IN.RSHTLKM,RSHTLKM,RSHTLKM,RSHTLKM,,,,
mint-new,parties.IN.RSHTMNVP,RSHTMNVP,RSHTMNVP,RSHTMNVP,,,,
mint-new,parties.IN.RSHTSMNYPP,RSHTSMNYPP,RSHTSMNYPP,RSHTSMNYPP,,,,
mint-new,parties.IN.RSTHNDEKD,RSTHNDEKD,RSTHNDEKD,RSTHNDEKD,,,,
mint-new,parties.IN.RSTRSMPRP,RSTRSMPRP,RSTRSMPRP,RSTRSMPRP,,,,
mint-new,parties.IN.RSTRSNTP,RSTRSNTP,RSTRSNTP,RSTRSNTP,,,,
mint-new,parties.IN.RSTRSURKP,RSTRSURKP,RSTRSURKP,RSTRSURKP,,,,
mint-new,parties.IN.RSTWDIBHRT,RSTWDIBHRT,RSTWDIBHRT,RSTWDIBHRT,,,,
mint-new,parties.IN.RSUP,RSUP,RSUP,RSUP,,,,
mint-new,parties.IN.RTJAWP,RTJAWP,RTJAWP,RTJAWP,,,,
mint-new,parties.IN.RTJNMS,RTJNMS,RTJNMS,RTJNMS,,,,
mint-new,parties.IN.RTJSD,RTJSD,RTJSD,RTJSD,,,,
mint-new,parties.IN.RTRYDVBHMP,RTRYDVBHMP,RTRYDVBHMP,RTRYDVBHMP,,,,
mint-new,parties.IN.SACSP,SACSP,SACSP,SACSP,,,,
mint-new,parties.IN.SANBP,SANBP,SANBP,SANBP,,,,
mint-new,parties.IN.SBNP,SBNP,SBNP,SBNP,,,,
mint-new,parties.IN.SJAP,SJAP,SJAP,SJAP,,,,
mint-new,parties.IN.SKJLP,SKJLP,SKJLP,SKJLP,,,,
mint-new,parties.IN.SMBSP,SMBSP,SMBSP,SMBSP,,,,
mint-new,parties.IN.SMJDRP,SMJDRP,SMJDRP,SMJDRP,,,,
mint-new,parties.IN.SMJSKTP,SMJSKTP,SMJSKTP,SMJSKTP,,,,
mint-new,parties.IN.SMJSNGP,SMJSNGP,SMJSNGP,SMJSNGP,,,,
mint-new,parties.IN.SMJVKP,SMJVKP,SMJVKP,SMJVKP,,,,
mint-new,parties.IN.SMJWDLKPRS,SMJWDLKPRS,SMJWDLKPRS,SMJWDLKPRS,,,,
mint-new,parties.IN.SMKNK,SMKNK,SMKNK,SMKNK,,,,
mint-new,parties.IN.SMKP,SMKP,SMKP,SMKP,,,,
mint-new,parties.IN.SMNKJP,SMNKJP,SMNKJP,SMNKJP,,,,
mint-new,parties.IN.SMSSMJP,SMSSMJP,SMSSMJP,SMSSMJP,,,,
mint-new,parties.IN.SNHRABHRTP,SNHRABHRTP,SNHRABHRTP,SNHRABHRTP,,,,
mint-new,parties.IN.SNYGWDIP,SNYGWDIP,SNYGWDIP,SNYGWDIP,,,,
mint-new,parties.IN.SPIP,SPIP,SPIP,SPIP,,,,
mint-new,parties.IN.SPSTWDJAP,SPSTWDJAP,SPSTWDJAP,SPSTWDJAP,,,,
mint-new,parties.IN.SRKRP,SRKRP,SRKRP,SRKRP,,,,
mint-new,parties.IN.SRPSP,SRPSP,SRPSP,SRPSP,,,,
mint-new,parties.IN.SRVADID,SRVADID,SRVADID,SRVADID,,,,
mint-new,parties.IN.SRVLKTSP,SRVLKTSP,SRVLKTSP,SRVLKTSP,,,,
mint-new,parties.IN.SRVRP,SRVRP,SRVRP,SRVRP,,,,
mint-new,parties.IN.SSF,SSF,SSF,SSF,,,,
mint-new,parties.IN.SSS,SSS,SSS,SSS,,,,
mint-new,parties.IN.STHSHKRVP,STHSHKRVP,STHSHKRVP,STHSHKRVP,,,,
mint-new,parties.IN.STWDRKSKP,STWDRKSKP,STWDRKSKP,STWDRKSKP,,,,
mint-new,parties.IN.SVSAP,SVSAP,SVSAP,SVSAP,,,,
mint-new,parties.IN.SWNTRABYKT,SWNTRABYKT,SWNTRABYKT,SWNTRABYKT,,,,
mint-new,parties.IN.SWSSP,SWSSP,SWSSP,SWSSP,,,,
mint-new,parties.IN.SWTNKSP,SWTNKSP,SWTNKSP,SWTNKSP,,,,
mint-new,parties.IN.SZPB,SZPB,SZPB,SZPB,,,,
mint-new,parties.IN.TAGRNP,TAGRNP,TAGRNP,TAGRNP,,,,
mint-new,parties.IN.TCPY,TCPY,TCPY,TCPY,,,,
mint-new,parties.IN.TJP,TJP,TJP,TJP,,,,
mint-new,parties.IN.TK,TK,TK,TK,,,,
mint-new,parties.IN.TLGNARJYS,TLGNARJYS,TLGNARJYS,TLGNARJYS,,,,
mint-new,parties.IN.TLGUNGP,TLGUNGP,TLGUNGP,TLGUNGP,,,,
mint-new,parties.IN.TLRDSMTP,TLRDSMTP,TLRDSMTP,TLRDSMTP,,,,
mint-new,parties.IN.TMMDK,TMMDK,TMMDK,TMMDK,,,,
mint-new,parties.IN.TMNK,TMNK,TMNK,TMNK,,,,
mint-new,parties.IN.TMNP,TMNP,TMNP,TMNP,,,,
mint-new,parties.IN.TMTHK,TMTHK,TMTHK,TMTHK,,,,
mint-new,parties.IN.TPJRP,TPJRP,TPJRP,TPJRP,,,,
mint-new,parties.IN.TPSP,TPSP,TPSP,TPSP,,,,
mint-new,parties.IN.TRP,TRP,TRP,TRP,,,,
mint-new,parties.IN.TRPS,TRPS,TRPS,TRPS,,,,
mint-new,parties.IN.TTPTY,TTPty,TTPty,TTPty,,,,
mint-new,parties.IN.UMEDPI,UMEDPI,UMEDPI,UMEDPI,,,,
mint-new,parties.IN.URPI,URPI,URPI,URPI,,,,
mint-new,parties.IN.UTRASMNTP,UTRASMNTP,UTRASMNTP,UTRASMNTP,,,,
mint-new,parties.IN.VKK,VKK,VKK,VKK,,,,
mint-new,parties.IN.VKRMSP,VKRMSP,VKRMSP,VKRMSP,,,,
mint-new,parties.IN.VKVIP,VKVIP,VKVIP,VKVIP,,,,
mint-new,parties.IN.VOTPP,VOTPP,VOTPP,VOTPP,,,,
mint-new,parties.IN.VSJNP,VSJNP,VSJNP,VSJNP,,,,
mint-new,parties.IN.VTIPP,VTIPP,VTIPP,VTIPP,,,,
mint-new,parties.IN.VTRP,VTRP,VTRP,VTRP,,,,
mint-new,parties.IN.VTVTK,VTVTK,VTVTK,VTVTK,,,,
mint-new,parties.IN.YGATLSIP,YGATLSIP,YGATLSIP,YGATLSIP,,,,
mint-new,parties.IN.YIPP,YIPP,YIPP,YIPP,,,,
mint-new,parties.IN.YSEP,YSEP,YSEP,YSEP,,,,
mint-new,parties.IN.YVTRP,YVTRP,YVTRP,YVTRP,,,,
mint-new,parties.IN.APNIPP,apnipp,apnipp,apnipp,,,,
mint-new,parties.IN.NAFP,nafp,nafp,nafp,,,,
