election,state,body,ac_eci_no,constituency_name,electors,votes_polled,turnout_pct,rank,candidate_name,party_short,party_eci_code,votes,vote_share_pct,is_winner,is_nota,gender,age,category
AcGenFeb2023,S17,AC,34,Aghunato (ST),16040,13706,85.45,2,Hukiye N. Tissica,LJPRV,,6541,47.72,0,0,M,58,ST
AcGenFeb2023,S17,AC,34,Aghunato (ST),16040,13706,85.45,3,NOTA,NOTA,,32,0.23,0,1,,,
AcGenFeb2023,S17,AC,35,Zunheboto (ST),23021,19891,86.4,1,K. Tokugha Sukhalu,NDPP,,15921,80.04,1,0,M,68,ST
AcGenFeb2023,S17,AC,35,Zunheboto (ST),23021,19891,86.4,2,Akavi Sumi,NPF,,3893,19.57,0,0,M,46,ST
AcGenFeb2023,S17,AC,35,Zunheboto (ST),23021,19891,86.4,3,NOTA,NOTA,,77,0.39,0,1,,,
AcGenFeb2023,S17,AC,36,Satakha (ST),18439,16438,89.15,1,G. Kaito Aye,NDPP,,8875,53.99,1,0,M,70,ST
AcGenFeb2023,S17,AC,36,Satakha (ST),18439,16438,89.15,2,Zheito Chophy,LJPRV,,7524,45.77,0,0,M,47,ST
AcGenFeb2023,S17,AC,36,Satakha (ST),18439,16438,89.15,3,NOTA,NOTA,,39,0.24,0,1,,,
AcGenFeb2023,S17,AC,37,Tyui (ST),25750,24534,95.28,1,Yanthungo Patton,BJP,,16641,67.83,1,0,M,66,ST
AcGenFeb2023,S17,AC,37,Tyui (ST),25750,24534,95.28,2,Senchumo Lotha,JD(U),,7800,31.79,0,0,M,52,ST
AcGenFeb2023,S17,AC,37,Tyui (ST),25750,24534,95.28,3,Y.kikon,RJD,,41,0.17,0,0,M,58,ST
AcGenFeb2023,S17,AC,37,Tyui (ST),25750,24534,95.28,4,Hayithung Tungoe Lotha,IND,,31,0.13,0,0,M,42,ST
AcGenFeb2023,S17,AC,37,Tyui (ST),25750,24534,95.28,5,NOTA,NOTA,,21,0.09,0,1,,,
AcGenFeb2023,S17,AC,38,Wokha (ST),31252,29187,93.39,1,Y. Mhonbemo Humtsoe,NCP,,15949,54.64,1,0,M,64,ST
AcGenFeb2023,S17,AC,38,Wokha (ST),31252,29187,93.39,2,Renponthung Ezung,BJP,,12888,44.16,0,0,M,55,ST
AcGenFeb2023,S17,AC,38,Wokha (ST),31252,29187,93.39,3,N. Wobenthung Lotha,INC,,324,1.11,0,0,M,58,ST
AcGenFeb2023,S17,AC,38,Wokha (ST),31252,29187,93.39,4,NOTA,NOTA,,26,0.09,0,1,,,
AcGenFeb2023,S17,AC,39,Sanis (ST),24051,22896,95.2,1,Mhathung Yanthan,NDPP,,15076,65.85,1,0,M,63,ST
AcGenFeb2023,S17,AC,39,Sanis (ST),24051,22896,95.2,2,Senkathung Jami,RJD,,5563,24.3,0,0,M,62,ST
AcGenFeb2023,S17,AC,39,Sanis (ST),24051,22896,95.2,3,Dr. Roland Lotha,NPF,,1754,7.66,0,0,M,49,ST
AcGenFeb2023,S17,AC,39,Sanis (ST),24051,22896,95.2,4,Y. Sulanthung H Lotha,LJPRV,,289,1.26,0,0,M,61,ST
AcGenFeb2023,S17,AC,39,Sanis (ST),24051,22896,95.2,5,Mhonbemo,IND,,105,0.46,0,0,M,39,ST
