state,event,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing_party,n_oracles_agreeing_candidate,yen_gov_winner_party_id,yen_gov_winner_candidate_name,yen_gov_winner_votes,other_sources,party_id_alliance,verdict_party,verdict_candidate,verdict,curator_note,curator_source_id
west-bengal,AcGenApr2021,78,TEHATTA,2,2,2,parties.IN.AITC,Tapas Kumar Saha,97848,tcpd-state:parties.IN.AITC:Tapas Kumar Saha:97848,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,79,PALASHIPARA,2,2,2,parties.IN.AITC,Dr. Manik Bhattacharya,110274,tcpd-state:parties.IN.AITC:Dr. Manik Bhattacharya:110274,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,80,KALIGANJ,2,2,2,parties.IN.AITC,NASIRUDDIN AHAMED (LAL),111696,tcpd-state:parties.IN.AITC:NASIRUDDIN AHAMED (LAL):111696,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,81,NAKASHIPARA,2,2,2,parties.IN.AITC,Kallol Khan,104812,tcpd-state:parties.IN.AITC:Kallol Khan:104812,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,82,CHAPRA,2,2,2,parties.IN.AITC,RUKBANUR RAHMAN,73866,tcpd-state:parties.IN.AITC:RUKBANUR RAHMAN:73866,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,83,KRISHNANAGAR UTTAR,2,2,2,parties.IN.BJP,MUKUL ROY,109357,tcpd-state:parties.IN.BJP:MUKUL ROY:109357,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,84,NABADWIP,2,2,2,parties.IN.AITC,PUNDARIKAKSHYA SAHA,102170,tcpd-state:parties.IN.AITC:PUNDARIKAKSHYA SAHA:102170,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,85,KRISHNANAGAR DAKSHIN,2,2,2,parties.IN.AITC,UJJAL BISWAS,91738,tcpd-state:parties.IN.AITC:UJJAL BISWAS:91738,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,86,SANTIPUR,2,1,1,parties.IN.AITC,BRAJA KISHOR GOSWAMI,112087,tcpd-state:parties.IN.BJP:JAGANNATH SARKAR:109722,,DISPUTED,DISPUTED,DISPUTED,,
west-bengal,AcGenApr2021,87,RANAGHAT UTTAR PASCHIM,2,2,2,parties.IN.BJP,PARTHASARATHI CHATTERJEE,113637,tcpd-state:parties.IN.BJP:PARTHASARATHI CHATTERJEE:113637,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,88,KRISHNAGANJ,2,2,2,parties.IN.BJP,ASHIS KUMAR BISWAS,117668,tcpd-state:parties.IN.BJP:ASHIS KUMAR BISWAS:117668,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,89,RANAGHAT UTTAR PURBA,2,2,2,parties.IN.BJP,ASHIM BISWAS,116786,tcpd-state:parties.IN.BJP:ASHIM BISWAS:116786,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,90,RANAGHAT DAKSHIN,2,2,2,parties.IN.BJP,MUKUT MANI ADHIKARI,119260,tcpd-state:parties.IN.BJP:MUKUT MANI ADHIKARI:119260,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,91,CHAKDAHA,2,2,2,parties.IN.BJP,Bankim Chandra Ghosh,99368,tcpd-state:parties.IN.BJP:Bankim Chandra Ghosh:99368,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,92,KALYANI,2,2,2,parties.IN.BJP,AMBIKA ROY,97026,tcpd-state:parties.IN.BJP:AMBIKA ROY:97026,,VERIFIED,VERIFIED,VERIFIED,,
