entity_id,time,value,sex,source_id,processing_level
IN-AC-2008-tamil-nadu-3882,2021,98535,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3882,2021,62,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3883,2021,283121,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3883,2021,270668,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3883,2021,116,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3884,2021,82210,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3884,2021,76513,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3884,2021,34,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3885,2021,112220,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3885,2021,104904,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3885,2021,47,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3886,2021,103554,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3886,2021,96972,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3886,2021,52,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3887,2021,132732,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3887,2021,130194,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3887,2021,16,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3888,2021,117468,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3888,2021,115772,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3888,2021,19,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3889,2021,117645,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3889,2021,113561,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3889,2021,30,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3890,2021,133067,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3890,2021,130371,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3890,2021,12,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3891,2021,113844,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3891,2021,112479,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3891,2021,10,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3892,2021,135774,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3892,2021,132318,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3892,2021,3,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3893,2021,151061,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3893,2021,145849,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3893,2021,29,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3894,2021,97545,female,src-99455a24d3c4,minor
