lgd_state_code,ac_lgd_code,lgd_district_code,village_count,is_primary
5,293,52,111,true
5,294,52,707,true
5,294,56,1,false
5,295,47,155,false
5,295,55,298,true
5,296,52,745,true
5,297,51,220,true
5,298,54,387,true
5,298,55,1,false
5,299,52,562,true
5,300,47,229,true
5,301,52,617,true
5,301,55,1,false
5,302,50,8,true
5,303,50,66,true
5,304,49,10,true
5,305,49,92,true
5,306,50,85,true
5,307,50,63,true
5,307,51,1,false
5,308,50,79,true
5,309,50,78,true
5,310,50,52,true
5,311,50,85,true
5,312,50,61,true
5,313,50,46,true
5,314,49,29,true
5,315,50,34,true
5,316,56,133,true
5,317,45,34,false
5,317,51,110,true
5,318,56,63,true
5,319,51,220,true
5,320,56,107,true
5,321,51,126,true
5,322,56,59,true
5,323,56,28,true
5,324,56,123,true
5,325,51,51,true
5,326,51,453,true
5,327,56,75,true
5,328,56,41,true
5,329,56,79,true
5,330,49,370,true
5,331,49,81,true
5,332,55,263,true
5,333,57,224,true
5,334,55,182,true
5,335,49,49,true
5,336,55,233,true
5,336,57,1,false
5,337,57,265,true
5,338,49,41,true
5,340,49,92,true
5,341,53,1,false
5,341,55,550,true
5,342,49,65,true
5,343,57,239,true
6,344,58,30,true
6,345,58,119,true
6,346,76,180,true
6,347,70,202,true
6,348,58,177,true
6,349,58,192,true
6,350,70,71,true
6,351,76,274,true
6,352,76,61,true
6,353,69,110,true
6,354,701,218,true
6,355,59,34,true
6,356,701,130,true
6,357,59,122,true
6,358,69,133,true
6,359,69,133,true
6,360,69,88,true
6,361,59,107,true
6,362,60,1,true
6,365,60,27,true
6,366,619,124,true
6,367,619,49,true
6,368,619,97,true
6,369,60,71,true
6,369,619,42,false
6,370,60,97,true
6,371,62,80,true
6,372,72,177,true
6,373,604,149,true
6,374,62,12,true
6,375,604,157,true
6,376,62,139,true
6,377,604,103,true
6,378,72,103,true
6,379,62,69,true
6,379,604,55,false
6,380,63,56,true
6,381,63,40,true
6,381,70,1,false
6,382,59,66,true
6,383,792,53,true
6,385,63,54,true
6,385,792,2,false
6,386,63,2,false
6,386,792,69,true
6,387,65,69,true
6,388,63,53,true
6,388,792,3,false
6,389,67,94,true
6,390,67,116,true
6,391,67,153,true
6,392,71,65,true
6,393,67,11,true
6,394,67,109,true
6,396,71,55,true
6,397,71,107,true
6,398,66,129,true
6,399,66,51,true
6,400,66,70,true
6,401,68,158,true
6,402,68,110,true
6,403,66,56,true
6,404,76,176,true
6,405,68,123,true
6,406,68,68,true
6,407,64,105,true
6,408,64,35,true
6,409,64,58,true
6,410,73,60,true
6,411,64,78,true
6,412,73,47,true
6,413,72,144,true
6,414,73,57,true
6,416,74,72,true
6,417,74,83,true
6,418,61,62,true
6,419,74,92,true
6,420,65,61,true
6,420,66,1,false
6,421,66,1,false
6,421,74,91,true
6,422,61,183,true
6,423,74,37,true
6,424,61,103,true
6,425,75,71,true
6,426,75,102,true
6,427,75,65,true
6,428,65,38,true
6,429,65,71,true
6,430,75,64,true
6,431,75,117,true
6,432,65,75,true
6,433,75,13,true
8,504,86,7,true
8,506,102,292,true
8,507,86,247,true
8,508,86,134,true
8,509,86,121,false
8,509,774,173,true
8,510,86,162,true
8,511,86,166,true
8,512,87,235,true
8,513,87,18,true
8,514,782,147,true
8,515,770,232,true
8,516,770,147,true
8,516,782,36,false
8,517,87,223,true
8,517,97,4,false
8,518,87,253,true
8,519,770,217,true
8,520,88,335,true
8,521,88,367,true
8,521,109,1,false
8,522,99,267,true
8,523,99,235,true
8,524,88,288,true
8,525,88,267,true
8,525,629,66,false
8,526,88,407,true
8,527,99,258,true
8,528,90,598,true
8,529,90,346,false
8,529,775,518,true
8,530,90,788,true
8,531,90,188,false
8,531,775,765,true
8,532,103,574,true
8,533,775,315,true
8,534,90,858,true
8,535,775,260,true
8,536,91,339,true
8,537,91,100,true
8,538,109,1,false
8,538,115,1,false
8,538,767,200,true
8,539,767,270,true
8,540,87,207,true
8,541,87,1,false
8,541,91,301,true
8,542,87,1,false
8,542,767,253,true
8,543,91,208,true
8,544,92,261,true
8,544,774,69,false
8,546,94,391,true
8,547,92,355,true
8,548,92,381,true
8,549,92,398,true
8,550,92,287,true
8,551,92,268,true
8,552,100,751,true
8,553,93,1,true
8,555,93,107,true
8,556,93,1181,true
8,556,100,1,false
8,557,93,1150,true
8,558,93,468,true
8,559,93,146,true
8,560,95,329,true
8,560,629,142,false
8,561,95,616,true
8,562,95,293,true
8,563,95,377,true
8,564,117,238,true
8,565,95,189,true
8,565,629,171,false
8,566,629,494,true
8,567,117,406,true
8,568,101,266,true
8,569,96,112,true
8,570,101,246,true
8,571,96,144,true
8,572,96,174,true
8,573,96,188,true
8,574,96,176,true
8,575,96,273,true
8,576,97,232,true
8,577,102,267,true
8,578,102,428,true
8,579,97,265,true
8,580,97,328,true
8,581,87,2,false
8,581,97,197,true
8,582,97,187,true
8,583,87,282,true
8,583,782,3,false
8,584,100,113,true
8,585,101,405,true
8,586,100,536,true
8,587,101,603,true
8,588,100,752,true
8,589,100,426,true
8,590,101,442,true
8,591,100,554,true
